,Unnamed: 0,Unnamed: 0.1,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
0,0,0,RB,Christian McCaffrey (16006156) (LOCKED),Christian McCaffrey,16006156.0,RB/FLEX,9200.0,Final,CAR,30.13
1,1,1,WR,Tyreek Hill (16006352) (LOCKED),Tyreek Hill,16006352.0,WR/FLEX,9000.0,Final,KC,22.53
2,2,2,QB,Patrick Mahomes (16006097) (LOCKED),Patrick Mahomes,16006097.0,QB,8500.0,Final,KC,27.29
3,3,3,WR,Calvin Ridley (16006354) (LOCKED),Calvin Ridley,16006354.0,WR/FLEX,8500.0,Final,ATL,21.06
4,4,4,TE,Travis Kelce (16006636) (LOCKED),Travis Kelce,16006636.0,TE/FLEX,8500.0,Final,KC,22.12
5,5,5,QB,Lamar Jackson (16006098) (LOCKED),Lamar Jackson,16006098.0,QB,8000.0,Final,BAL,23.33
6,6,6,RB,Nick Chubb (16006158) (LOCKED),Nick Chubb,16006158.0,RB/FLEX,7800.0,Final,CLE,18.81
7,7,7,WR,DK Metcalf (16006356) (LOCKED),DK Metcalf,16006356.0,WR/FLEX,7800.0,Final,SEA,18.81
8,8,8,RB,David Montgomery (16006160) (LOCKED),David Montgomery,16006160.0,RB/FLEX,7700.0,Final,CHI,17.61
9,9,9,WR,Allen Robinson II (16006358) (LOCKED),Allen Robinson,16006358.0,WR/FLEX,7700.0,Final,CHI,17.95
10,10,10,RB,Austin Ekeler (16006162) (LOCKED),Austin Ekeler,16006162.0,RB/FLEX,7600.0,Final,LAC,16.47
11,11,11,QB,Deshaun Watson (16006099) (LOCKED),Deshaun Watson,16006099.0,QB,7600.0,Final,HOU,25.3
12,12,12,WR,Keenan Allen (16006360) (LOCKED),Keenan Allen,16006360.0,WR/FLEX,7500.0,Final,LAC,18.51
13,13,13,QB,Justin Herbert (16006100) (LOCKED),Justin Herbert,16006100.0,QB,7400.0,Final,LAC,23.7
14,14,14,RB,Jonathan Taylor (16006164) (LOCKED),Jonathan Taylor,16006164.0,RB/FLEX,7300.0,Final,IND,15.81
15,15,15,QB,Russell Wilson (16006101) (LOCKED),Russell Wilson,16006101.0,QB,7300.0,Final,SEA,24.91
16,16,16,WR,Robert Woods (16006362) (LOCKED),Robert Woods,16006362.0,WR/FLEX,7000.0,Final,LAR,16.3
17,17,17,QB,Jalen Hurts (16006102) (LOCKED),Jalen Hurts,16006102.0,QB,7000.0,Final,PHI,8.24
18,18,18,RB,Miles Sanders (16006166) (LOCKED),Miles Sanders,16006166.0,RB/FLEX,7000.0,Final,PHI,14.87
19,19,19,WR,Jarvis Landry (16006364) (LOCKED),Jarvis Landry,16006364.0,WR/FLEX,6900.0,Final,CLE,12.47
20,20,20,WR,Julio Jones (16006366) (LOCKED),Julio Jones,16006366.0,WR/FLEX,6800.0,Final,ATL,17.23
21,21,21,RB,James Robinson (16006168) (LOCKED),James Robinson,16006168.0,RB/FLEX,6800.0,Final,JAC,18.81
