Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Todd Gurley II (11573863),Todd Gurley II,11573863,RB/FLEX,9400,SEA@LAR 11/11/2018 04:25PM ET,LAR,30.33
RB,Melvin Gordon III (11573865),Melvin Gordon III,11573865,RB/FLEX,9000,LAC@OAK 11/11/2018 04:05PM ET,LAC,27.69
RB,Alvin Kamara (11573867),Alvin Kamara,11573867,RB/FLEX,8700,NO@CIN 11/11/2018 01:00PM ET,NO,28.46
RB,Kareem Hunt (11573869),Kareem Hunt,11573869,RB/FLEX,8500,ARI@KC 11/11/2018 01:00PM ET,KC,22.72
WR,Julio Jones (11574061),Julio Jones,11574061,WR/FLEX,8300,ATL@CLE 11/11/2018 01:00PM ET,ATL,21.8
WR,Michael Thomas (11574063),Michael Thomas,11574063,WR/FLEX,8100,NO@CIN 11/11/2018 01:00PM ET,NO,24.38
WR,Davante Adams (11574065),Davante Adams,11574065,WR/FLEX,7800,MIA@GB 11/11/2018 04:25PM ET,GB,22.75
RB,Joe Mixon (11573871),Joe Mixon,11573871,RB/FLEX,7700,NO@CIN 11/11/2018 01:00PM ET,CIN,19.07
WR,A.J. Green (11574067),A.J. Green,11574067,WR/FLEX,7600,NO@CIN 11/11/2018 01:00PM ET,CIN,19.34
WR,Tyler Boyd (11574069),Tyler Boyd,11574069,WR/FLEX,7500,NO@CIN 11/11/2018 01:00PM ET,CIN,18.79
WR,Tyreek Hill (11574071),Tyreek Hill,11574071,WR/FLEX,7300,ARI@KC 11/11/2018 01:00PM ET,KC,20.61
RB,James White (11573873),James White,11573873,RB/FLEX,7300,NE@TEN 11/11/2018 01:00PM ET,NE,21.96
QB,Patrick Mahomes (11573811),Patrick Mahomes,11573811,QB,7200,ARI@KC 11/11/2018 01:00PM ET,KC,30.53
WR,Keenan Allen (11574075),Keenan Allen,11574075,WR/FLEX,7100,LAC@OAK 11/11/2018 04:05PM ET,LAC,16.05
TE,Travis Kelce (11574327),Travis Kelce,11574327,TE/FLEX,7000,ARI@KC 11/11/2018 01:00PM ET,KC,18.9
WR,Mike Evans (11574073),Mike Evans,11574073,WR/FLEX,7000,WAS@TB 11/11/2018 01:00PM ET,TB,20.08
RB,David Johnson (11573875),David Johnson,11573875,RB/FLEX,6800,ARI@KC 11/11/2018 01:00PM ET,ARI,14.76
WR,Julian Edelman (11574077),Julian Edelman,11574077,WR/FLEX,6800,NE@TEN 11/11/2018 01:00PM ET,NE,16.90
