,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Julio Jones,ATL,8.0,6.8,7.3,113.0,97.6,106.1,1.0,0.4,0.6,0.1,0.0,0.1,1.2,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.1,17.0,12.7,14.1,10,WR
1,Davante Adams,GB,8.2,6.0,6.7,102.0,83.6,90.2,1.0,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,15.6,12.6,14.0,10,WR
2,Tyreek Hill,KC,6.0,4.7,5.5,100.0,72.6,85.8,1.0,0.6,0.7,1.6,0.2,1.2,10.3,1.7,6.8,0.1,0.0,0.1,0.0,0.1,0.0,16.0,12.5,13.9,10,WR
3,Antonio Brown,TB,7.9,6.2,7.1,95.9,77.3,88.5,1.0,0.7,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,15.6,11.9,13.8,10,WR
4,Michael Thomas,NO,8.3,6.5,7.6,107.0,88.6,96.2,1.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,15.0,13.0,13.7,10,WR
5,Odell Beckham,CLE,7.6,7.0,7.3,106.0,94.9,99.4,1.0,0.4,0.6,0.7,0.2,0.5,3.6,0.9,2.1,0.0,0.0,0.0,0.0,0.1,0.1,16.5,12.7,13.7,10,WR
6,Keenan Allen,LAC,7.0,5.6,6.3,98.5,74.3,87.3,1.0,0.5,0.7,1.1,0.0,0.6,7.5,0.0,4.2,0.0,0.0,0.0,0.1,0.1,0.1,14.5,11.0,12.9,10,WR
7,Mike Evans,TB,7.0,5.2,5.7,85.0,75.0,81.0,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,14.5,10.6,11.6,10,WR
8,Robert Woods,LAR,6.0,5.0,5.3,83.5,67.8,74.3,1.0,0.3,0.6,1.1,0.2,0.7,6.9,1.6,4.7,0.0,0.0,0.0,0.0,0.1,0.1,14.0,9.5,11.2,10,WR
9,Tyler Boyd,CIN,6.5,5.1,5.8,81.0,66.5,74.1,1.0,0.4,0.6,0.2,0.1,0.2,1.3,0.7,1.0,0.0,0.0,0.0,0.0,0.1,0.0,13.5,9.2,11.0,10,WR
10,Julian Edelman,NE,6.6,5.5,6.0,80.0,61.0,70.8,1.0,0.3,0.5,0.9,0.1,0.6,6.6,0.5,4.3,0.0,0.0,0.0,0.0,0.1,0.1,14.0,8.6,10.4,10,WR
11,Josh Gordon,SEA,6.0,3.9,4.6,85.0,61.8,69.6,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,14.5,9.0,10.4,10,WR
12,Marvin Jones,DET,5.2,3.8,4.7,75.2,58.8,68.2,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,10.3,10,WR
13,JuJu Smith-Schuster,PIT,6.9,5.0,6.1,86.2,65.0,77.7,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,11.4,6.5,10.0,10,WR
14,Alshon Jeffery,PHI,5.2,4.0,4.7,70.0,52.0,60.7,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,9.7,10,WR
15,Marquez Valdes-Scantling,GB,6.0,3.3,4.1,77.1,56.5,64.7,1.0,0.3,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7.5,9.6,10,WR
16,Kenny Golladay,DET,5.4,4.0,4.6,79.1,60.0,67.1,1.0,0.3,0.5,0.2,0.0,0.1,1.3,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,12.5,7.9,9.5,10,WR
17,Calvin Ridley,ATL,6.0,3.4,4.3,65.0,52.0,56.2,1.0,0.4,0.5,0.5,0.2,0.4,2.9,1.4,2.3,0.0,0.0,0.0,0.0,0.0,0.0,12.5,7.6,9.1,10,WR
