,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Carson Wentz (11617217),Dion Lewis (11617299),Alex Collins (11617309),Odell Beckham Jr. (11617453),Kenny Golladay (11617477),Corey Davis (11617481),Jared Cook (11617715),Saquon Barkley (11617267),Saints  (11617867),153.158,153.158
1,Drew Brees (11617216),Dion Lewis (11617299),Alvin Kamara (11617271),Odell Beckham Jr. (11617453),Kenny Golladay (11617477),Corey Davis (11617481),Jared Cook (11617715),Alex Collins (11617309),Saints  (11617867),152.264,152.264
2,Carson Wentz (11617217),Dion Lewis (11617299),Alex Collins (11617309),Odell Beckham Jr. (11617453),Amari Cooper (11617487),Corey Davis (11617481),Jared Cook (11617715),Saquon Barkley (11617267),Saints  (11617867),151.778,151.778
3,Drew Brees (11617216),Dion Lewis (11617299),Alex Collins (11617309),Odell Beckham Jr. (11617453),Amari Cooper (11617487),Corey Davis (11617481),Jared Cook (11617715),Ezekiel Elliott (11617269),Saints  (11617867),150.624,150.624
4,Carson Wentz (11617217),Alex Collins (11617309),Ezekiel Elliott (11617269),DeAndre Hopkins (11617455),Kenny Golladay (11617477),Amari Cooper (11617487),Jared Cook (11617715),Corey Davis (11617481),Saints  (11617867),150.268,150.268
5,Drew Brees (11617216),Dion Lewis (11617299),Alex Collins (11617309),DeAndre Hopkins (11617455),Kenny Golladay (11617477),Corey Davis (11617481),Jared Cook (11617715),Saquon Barkley (11617267),Saints  (11617867),149.714,149.714
6,Drew Brees (11617216),Dion Lewis (11617299),Alex Collins (11617309),DeAndre Hopkins (11617455),Kenny Golladay (11617477),Amari Cooper (11617487),Jared Cook (11617715),Saquon Barkley (11617267),Saints  (11617867),149.524,149.524
7,Drew Brees (11617216),Dion Lewis (11617299),Alvin Kamara (11617271),Kenny Golladay (11617477),Amari Cooper (11617487),Julio Jones (11617451),Jared Cook (11617715),Alex Collins (11617309),Saints  (11617867),148.994,148.994
8,Carson Wentz (11617217),Dion Lewis (11617299),Alex Collins (11617309),DeAndre Hopkins (11617455),Kenny Golladay (11617477),Corey Davis (11617481),Jared Cook (11617715),Melvin Gordon III (11617265),Saints  (11617867),148.338,148.338
9,Drew Brees (11617216),Dion Lewis (11617299),Alex Collins (11617309),DeAndre Hopkins (11617455),Kenny Golladay (11617477),Corey Davis (11617481),Jared Cook (11617715),Melvin Gordon III (11617265),Saints  (11617867),147.494,147.494
