"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Tyreek Hill","KC","6.1","100.7","0.9","1.1","6.6","0.1","0.0","16.4"
"DeAndre Hopkins","HOU","7.0","99.5","0.8","0.1","0.5","0.0","0.1","14.5"
"Adam Thielen","MIN","8.3","102.0","0.6","0.1","0.7","0.0","0.1","13.9"
"Antonio Brown","PIT","7.1","91.2","0.8","0.0","0.0","0.0","0.0","13.7"
"Davante Adams","GB","6.4","86.9","0.8","0.0","0.0","0.0","0.1","13.5"
"Odell Beckham Jr.","NYG","7.0","93.6","0.7","0.4","1.7","0.0","0.1","13.4"
"Michael Thomas","NO","7.2","91.0","0.7","0.0","0.0","0.0","0.1","13.1"
"Brandin Cooks","LAR","5.6","86.1","0.7","0.5","3.2","0.0","0.0","13.0"
"Mike Evans","TB","6.1","92.4","0.6","0.0","0.0","0.0","0.1","12.9"
"Robert Woods","LAR","5.7","83.4","0.6","0.8","5.2","0.0","0.0","12.5"
"Julio Jones","ATL","6.6","93.5","0.5","0.1","0.7","0.0","0.1","12.5"
"Keenan Allen","LAC","6.7","86.3","0.6","0.5","3.3","0.0","0.1","12.3"
"JuJu Smith-Schuster","PIT","6.3","86.2","0.6","0.0","0.2","0.0","0.0","12.3"
"Kenny Golladay","DET","5.5","82.9","0.6","0.1","0.4","0.0","0.0","11.9"
"Emmanuel Sanders","DEN","6.1","76.8","0.5","0.4","2.5","0.0","0.0","11.2"
"T.Y. Hilton","IND","5.1","74.7","0.6","0.0","0.0","0.0","0.1","11.1"
"Stefon Diggs","MIN","6.3","75.0","0.6","0.6","2.8","0.0","0.0","11.1"
"Amari Cooper","DAL","5.4","74.1","0.6","0.1","0.2","0.0","0.0","10.8"
"Julian Edelman","NE","5.6","67.2","0.5","0.5","3.5","0.0","0.1","10.0"
"D.J. Moore","CAR","5.0","64.4","0.4","0.7","6.2","0.0","0.1","9.5"
"Corey Davis","TEN","4.7","65.0","0.5","0.1","1.1","0.0","0.0","9.5"
"A.J. Green","CIN","5.1","72.2","0.4","0.0","0.0","0.0","0.1","9.4"
"Tyler Lockett","SEA","3.8","55.6","0.6","0.4","3.1","0.0","0.0","9.4"
"Tyler Boyd","CIN","4.6","61.0","0.5","0.1","0.8","0.0","0.0","9.1"
"Alshon Jeffery","PHI","4.2","56.5","0.5","0.0","0.0","0.0","0.0","8.8"
"Chris Godwin","TB","4.9","65.7","0.3","0.0","0.0","0.0","0.1","8.5"
"Josh Gordon","NE","4.2","63.4","0.3","0.0","0.0","0.0","0.0","8.3"
"Allen Robinson","CHI","3.9","52.6","0.5","0.0","0.0","0.0","0.0","8.1"
"David Moore","SEA","3.0","43.8","0.6","0.0","0.1","0.0","0.0","7.9"
