,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,George Kittle,Dallas Cowboys,147.64200000000002,49800
1,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,George Kittle,Minnesota Vikings,147.08200000000002,49900
2,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Latavius Murray,Minnesota Vikings,146.912,50000
3,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Todd Gurley,Minnesota Vikings,146.788,49800
4,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,Todd Gurley,Dallas Cowboys,146.46200000000002,49700
5,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Allen Robinson,Eric Ebron,Todd Gurley,Minnesota Vikings,146.41200000000003,49900
6,Patrick Mahomes,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,George Kittle,Minnesota Vikings,146.01200000000003,50000
7,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Todd Gurley,Minnesota Vikings,145.924,49700
8,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,Todd Gurley,Dallas Cowboys,145.794,50000
9,Deshaun Watson,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,George Kittle,Minnesota Vikings,145.68800000000002,50000
10,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Alvin Kamara,Minnesota Vikings,145.592,49700
11,Matt Ryan,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,George Kittle,Minnesota Vikings,145.49200000000002,49600
12,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,Alvin Kamara,Dallas Cowboys,145.46200000000002,50000
13,Patrick Mahomes,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Nelson Agholor,Eric Ebron,Todd Gurley,Dallas Cowboys,145.39200000000002,49800
14,Matt Ryan,Kareem Hunt,Todd Gurley,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,George Kittle,Dallas Cowboys,145.36200000000002,49900
15,Matt Ryan,Corey Clement,Latavius Murray,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,George Kittle,Minnesota Vikings,145.232,49700
16,Matt Ryan,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,Nelson Agholor,Eric Ebron,Latavius Murray,Dallas Cowboys,145.192,50000
17,Deshaun Watson,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Nelson Agholor,Minnesota Vikings,145.11800000000002,49900
18,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Michael Thomas,Minnesota Vikings,145.078,49500
19,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Tevin Coleman,Minnesota Vikings,144.972,49800
20,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,Nelson Agholor,Dallas Cowboys,144.948,49800
21,Matt Ryan,Corey Clement,Giovani Bernard,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,George Kittle,Minnesota Vikings,144.942,49800
22,Deshaun Watson,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Latavius Murray,Minnesota Vikings,144.93800000000002,49600
23,Deshaun Watson,Corey Clement,Todd Gurley,Julio Jones,Cooper Kupp,Allen Robinson,Eric Ebron,George Kittle,Minnesota Vikings,144.92800000000003,50000
24,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Alvin Kamara,Minnesota Vikings,144.924,50000
25,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Nelson Agholor,Minnesota Vikings,144.92200000000003,49500
26,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Allen Robinson,Minnesota Vikings,144.89800000000002,50000
27,Cam Newton,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,George Kittle,Minnesota Vikings,144.824,49900
28,Deshaun Watson,Corey Clement,Todd Gurley,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,Latavius Murray,Dallas Cowboys,144.80800000000002,49900
29,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,Tevin Coleman,Dallas Cowboys,144.80200000000002,49700
30,Matt Ryan,Corey Clement,Latavius Murray,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Giovani Bernard,Minnesota Vikings,144.77200000000002,49900
31,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,Latavius Murray,Dallas Cowboys,144.768,49500
32,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Nelson Agholor,Eric Ebron,Allen Robinson,Minnesota Vikings,144.74200000000002,50000
33,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Cooper Kupp,Allen Robinson,Eric Ebron,George Kittle,Minnesota Vikings,144.73200000000003,49600
34,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Allen Robinson,Minnesota Vikings,144.70200000000003,49600
35,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Nelson Agholor,Eric Ebron,Todd Gurley,Chicago Bears,144.702,49800
36,Deshaun Watson,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Nelson Agholor,Eric Ebron,George Kittle,Minnesota Vikings,144.65800000000002,49500
37,Deshaun Watson,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Giovani Bernard,Minnesota Vikings,144.64800000000002,49700
38,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,Latavius Murray,Dallas Cowboys,144.61200000000002,49500
39,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Michael Thomas,Allen Robinson,Eric Ebron,Latavius Murray,Dallas Cowboys,144.58800000000002,50000
40,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Michael Thomas,Nelson Agholor,Eric Ebron,Allen Robinson,Dallas Cowboys,144.57200000000003,49900
41,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Sammy Watkins,Eric Ebron,Todd Gurley,Minnesota Vikings,144.568,50000
42,Cam Newton,Corey Clement,Latavius Murray,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,George Kittle,Minnesota Vikings,144.564,50000
43,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Allen Robinson,Eric Ebron,Latavius Murray,Minnesota Vikings,144.562,49700
44,Deshaun Watson,Corey Clement,Todd Gurley,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,Giovani Bernard,Dallas Cowboys,144.51800000000003,50000
45,Matt Ryan,Kareem Hunt,Alvin Kamara,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,George Kittle,Minnesota Vikings,144.49200000000002,49900
46,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,Giovani Bernard,Dallas Cowboys,144.478,49600
47,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Nelson Agholor,George Kittle,Todd Gurley,Dallas Cowboys,144.46800000000002,50000
48,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Will Fuller,Eric Ebron,Todd Gurley,Dallas Cowboys,144.448,49900
49,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Nelson Agholor,Allen Robinson,Eric Ebron,Latavius Murray,Dallas Cowboys,144.43200000000002,50000
50,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Cooper Kupp,Keelan Cole,Eric Ebron,George Kittle,Minnesota Vikings,144.43200000000002,49800
51,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Keelan Cole,Minnesota Vikings,144.40200000000002,49800
52,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Michael Thomas,Allen Robinson,Eric Ebron,Latavius Murray,Dallas Cowboys,144.39200000000002,49600
53,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Sammy Watkins,Eric Ebron,Todd Gurley,Minnesota Vikings,144.372,49600
54,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,Giovani Bernard,Dallas Cowboys,144.32200000000003,49600
55,Patrick Mahomes,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,Nelson Agholor,Eric Ebron,George Kittle,Dallas Cowboys,144.29200000000003,50000
56,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Nelson Agholor,George Kittle,Todd Gurley,Dallas Cowboys,144.27200000000002,49600
57,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Allen Robinson,Eric Ebron,Giovani Bernard,Minnesota Vikings,144.27200000000002,49800
58,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Keelan Cole,Eric Ebron,Latavius Murray,Minnesota Vikings,144.262,49900
59,Cam Newton,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Nelson Agholor,Minnesota Vikings,144.25400000000002,49800
60,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Will Fuller,Eric Ebron,Todd Gurley,Dallas Cowboys,144.252,49500
61,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Nelson Agholor,Sammy Watkins,Eric Ebron,Todd Gurley,Dallas Cowboys,144.24200000000002,49900
62,Patrick Mahomes,Corey Clement,Latavius Murray,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,George Kittle,Minnesota Vikings,144.162,49800
63,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,Tevin Coleman,Dallas Cowboys,144.13400000000001,50000
64,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Michael Thomas,Allen Robinson,Eric Ebron,Giovani Bernard,Dallas Cowboys,144.10200000000003,49700
65,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Michael Thomas,Keelan Cole,Eric Ebron,Latavius Murray,Dallas Cowboys,144.092,49800
66,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,Nelson Agholor,Dallas Cowboys,144.084,49700
67,Patrick Mahomes,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Todd Gurley,Chicago Bears,144.082,49900
68,Cam Newton,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Latavius Murray,Minnesota Vikings,144.074,49500
69,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Allen Robinson,Will Fuller,Eric Ebron,Todd Gurley,Dallas Cowboys,144.07200000000003,50000
70,Cam Newton,Corey Clement,Todd Gurley,Julio Jones,Cooper Kupp,Allen Robinson,Eric Ebron,George Kittle,Minnesota Vikings,144.06400000000002,49900
71,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Allen Robinson,Minnesota Vikings,144.03400000000002,49900
72,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Keelan Cole,Eric Ebron,Giovani Bernard,Minnesota Vikings,143.972,50000
73,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Keelan Cole,Eric Ebron,Todd Gurley,Dallas Cowboys,143.96800000000002,49600
74,Patrick Mahomes,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,Allen Robinson,Dallas Cowboys,143.95200000000003,50000
75,Cam Newton,Corey Clement,Todd Gurley,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,Latavius Murray,Dallas Cowboys,143.94400000000002,49800
76,Deshaun Watson,Corey Clement,Latavius Murray,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Alvin Kamara,Minnesota Vikings,143.93800000000002,49900
77,Matt Ryan,Corey Clement,Alvin Kamara,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Nelson Agholor,Minnesota Vikings,143.92200000000003,49800
78,Cam Newton,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Allen Robinson,Eric Ebron,Latavius Murray,Minnesota Vikings,143.894,50000
79,Patrick Mahomes,Corey Clement,Giovani Bernard,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,George Kittle,Minnesota Vikings,143.872,49900
80,Matt Ryan,Todd Gurley,Tevin Coleman,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,George Kittle,Minnesota Vikings,143.872,50000
81,Deshaun Watson,Todd Gurley,Latavius Murray,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,George Kittle,Minnesota Vikings,143.83800000000002,49800
82,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Tyreek Hill,Dallas Cowboys,143.80200000000002,49800
83,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Michael Thomas,Keelan Cole,Eric Ebron,Giovani Bernard,Dallas Cowboys,143.80200000000002,49900
84,Cam Newton,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Giovani Bernard,Minnesota Vikings,143.78400000000002,49600
85,Matt Ryan,Corey Clement,Latavius Murray,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Alvin Kamara,Minnesota Vikings,143.74200000000002,49500
86,Matt Ryan,Corey Clement,Alvin Kamara,Julio Jones,Cooper Kupp,Allen Robinson,Eric Ebron,George Kittle,Minnesota Vikings,143.73200000000003,49900
87,Patrick Mahomes,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Tevin Coleman,Dallas Cowboys,143.73200000000003,49800
88,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Michael Thomas,Allen Robinson,Eric Ebron,Latavius Murray,Dallas Cowboys,143.72400000000002,49900
89,Patrick Mahomes,Corey Clement,Todd Gurley,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,George Kittle,Dallas Cowboys,143.71200000000002,49500
90,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Sammy Watkins,Eric Ebron,Todd Gurley,Minnesota Vikings,143.704,49900
91,Matt Ryan,Kareem Hunt,Tevin Coleman,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,George Kittle,Dallas Cowboys,143.70200000000003,49900
92,Patrick Mahomes,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Nelson Agholor,Dallas Cowboys,143.68200000000002,49500
93,Matt Ryan,Corey Clement,Kareem Hunt,Cooper Kupp,Michael Thomas,Allen Robinson,Eric Ebron,Todd Gurley,Dallas Cowboys,143.67200000000003,50000
