,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Matt Ryan,Corey Clement,Lamar Miller,Julio Jones,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Todd Gurley,Arizona Cardinals,149.55200000000002,49800
1,Matt Ryan,Dion Lewis,Lamar Miller,Julio Jones,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Todd Gurley,Arizona Cardinals,149.29200000000003,50000
2,Deshaun Watson,Corey Clement,Lamar Miller,Julio Jones,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Todd Gurley,Dallas Cowboys,149.24800000000002,50000
3,Matt Ryan,Corey Clement,Dion Lewis,Julio Jones,Demaryius Thomas,A.J. Green,Eric Ebron,Todd Gurley,Dallas Cowboys,149.07200000000003,49900
4,Matt Ryan,Corey Clement,Lamar Miller,Julio Jones,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Todd Gurley,Dallas Cowboys,149.05200000000002,49600
5,Matt Ryan,Corey Clement,Dion Lewis,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Todd Gurley,Arizona Cardinals,148.98200000000003,50000
6,Matt Ryan,Corey Clement,Dion Lewis,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Todd Gurley,Arizona Cardinals,148.98200000000003,50000
7,Jimmy Garoppolo,Corey Clement,Dion Lewis,Julio Jones,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Todd Gurley,Dallas Cowboys,148.94,49900
8,Drew Brees,Corey Clement,Dion Lewis,Julio Jones,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Todd Gurley,Arizona Cardinals,148.92600000000002,50000
9,Matt Ryan,Corey Clement,Dion Lewis,Julio Jones,Demaryius Thomas,A.J. Green,Eric Ebron,Todd Gurley,Kansas City Chiefs,148.872,50000
10,Matt Ryan,Corey Clement,Lamar Miller,Julio Jones,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Todd Gurley,Kansas City Chiefs,148.852,49700
11,Matt Ryan,Dion Lewis,Lamar Miller,Julio Jones,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Todd Gurley,Dallas Cowboys,148.79200000000003,49800
