,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Blake Bortles (11384909),T.J. Yeldon (11384985),David Johnson (11384977),Marvin Jones Jr. (11385245),Doug Baldwin (11385237),Julio Jones (11385177),Ricky Seals-Jones (11385499),Melvin Gordon III (11384959),Bengals  (11385665),150.93800000000002,150.93800000000002
1,Ben Roethlisberger (11384896),T.J. Yeldon (11384985),Melvin Gordon III (11384959),Doug Baldwin (11385237),Mike Williams (11385261),Julio Jones (11385177),Ricky Seals-Jones (11385499),Quincy Enunwa (11385231),Ravens  (11385663),146.766,146.766
2,Aaron Rodgers (11384901),T.J. Yeldon (11384985),Kerryon Johnson (11385007),Mike Williams (11385261),Julio Jones (11385177),Keelan Cole (11385241),Vance McDonald (11385489),Todd Gurley II (11384957),Bengals  (11385665),145.93200000000002,145.93200000000002
3,Aaron Rodgers (11384901),David Johnson (11384977),Melvin Gordon III (11384959),Marvin Jones Jr. (11385245),Julio Jones (11385177),Keelan Cole (11385241),Ricky Seals-Jones (11385499),Tyler Lockett (11385251),Ravens  (11385663),145.31199999999998,145.31199999999998
4,Carson Wentz (11384906),T.J. Yeldon (11384985),Bilal Powell (11385017),Mike Williams (11385261),Julio Jones (11385177),Tyler Boyd (11385215),David Njoku (11385493),Todd Gurley II (11384957),Bengals  (11385665),144.83,144.83
5,Carson Wentz (11384906),David Johnson (11384977),Kerryon Johnson (11385007),Marvin Jones Jr. (11385245),Julio Jones (11385177),Tyler Boyd (11385215),Ricky Seals-Jones (11385499),Melvin Gordon III (11384959),Bengals  (11385665),144.39000000000001,144.39000000000001
6,Carson Wentz (11384906),T.J. Yeldon (11384985),Bilal Powell (11385017),Marvin Jones Jr. (11385245),Tyler Lockett (11385251),Antonio Brown (11385175),David Njoku (11385493),Todd Gurley II (11384957),Bengals  (11385665),144.01000000000002,144.01000000000002
7,Aaron Rodgers (11384901),David Johnson (11384977),Kerryon Johnson (11385007),Doug Baldwin (11385237),Mike Williams (11385261),Antonio Brown (11385175),Ricky Seals-Jones (11385499),Melvin Gordon III (11384959),Bengals  (11385665),143.632,143.632
8,Matthew Stafford (11384907),Kareem Hunt (11384981),Todd Gurley II (11384957),Doug Baldwin (11385237),Mike Williams (11385261),Julio Jones (11385177),Ricky Seals-Jones (11385499),Amari Cooper (11385223),Ravens  (11385663),143.28,143.28
9,Carson Wentz (11384906),Bilal Powell (11385017),Todd Gurley II (11384957),Golden Tate (11385201),Mike Williams (11385261),Julio Jones (11385177),Ricky Seals-Jones (11385499),Quincy Enunwa (11385231),Jets  (11385667),142.91000000000003,142.91000000000003
