Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier
Matt Ryan,ATL,QB,5800.0,Matt Ryan (16006106) (LOCKED),19.18,22.213,25.784000000000002,30.29,18.128,21.884000000000004,26.590000000000003,19.128,22.584000000000003,27.19,261.10835996938727,224.9457027614024,191.4823374050842,1,1,1,1,1,2
Jared Goff,LAR,QB,5900.0,Jared Goff (16006105) (LOCKED),18.33,18.419999999999998,22.845000000000002,27.830000000000002,15.72,19.620000000000005,24.330000000000002,16.72,20.320000000000004,24.730000000000004,320.3040173724213,258.2622017947034,212.00143729787996,4,3,2,2,2,5
Andy Dalton,DAL,QB,5500.0,Andy Dalton (16006109) (LOCKED),13.53,16.629999999999995,20.795999999999996,22.55,13.979999999999999,17.576,19.200000000000003,15.379999999999997,18.676,20.200000000000003,330.7276007215876,264.47393729563385,243.90243902439025,7,4,3,3,3,7
Philip Rivers,IND,QB,5600.0,Philip Rivers (16006108) (LOCKED),16.64,17.009999999999998,21.017999999999997,25.19,14.359999999999998,17.608,21.990000000000002,15.359999999999998,18.308,21.990000000000002,329.2181069958848,266.4382909886764,222.310440651052,6,4,4,3,3,7
Carson Wentz,PHI,QB,5400.0,Carson Wentz (16006110) (LOCKED),18.37,15.998999999999999,20.236,24.802,14.244000000000002,17.516,21.262,15.444,18.416000000000004,21.962,337.5210950684418,266.85115635501086,217.7243770663656,9,5,5,3,3,8
Alex Smith,WAS,QB,5200.0,Alex Smith (16006114) (LOCKED),10.44,14.069999999999999,19.281,24.169999999999998,12.52,17.235999999999997,21.919999999999998,13.42,17.836,21.919999999999998,369.58066808813084,269.695555209792,215.14273893256103,11,5,6,4,4,9
Dak Prescott,DAL,QB,4000.0,Dak Prescott (16006144) (LOCKED),30.33,10.959999999999999,14.762000000000002,18.479999999999997,9.76,13.862,18.38,10.66,14.562000000000001,18.38,364.9635036496351,270.9659937677821,216.4502164502165,16,8,7,4,4,12
Joe Flacco,NYJ,QB,4900.0,Joe Flacco (16006121) (LOCKED),11.55,14.709999999999999,18.075000000000003,22.130000000000003,12.909999999999998,15.999999999999998,20.430000000000003,13.909999999999998,16.700000000000003,20.430000000000003,333.10673011556764,271.09266943291834,221.4188883868052,12,6,8,4,4,10
Case Keenum,CLE,QB,4800.0,Case Keenum (16006125) (LOCKED),1.84,13.165,17.442000000000004,22.580000000000005,11.139999999999999,14.952000000000002,19.780000000000005,12.34,16.052000000000003,20.780000000000005,364.6031143182682,275.1977984176126,212.57750221434893,13,7,9,4,4,11
Ben Roethlisberger,PIT,QB,6400.0,Ben Roethlisberger (16006103) (LOCKED),19.54,19.754999999999995,22.606,24.420000000000005,15.78,18.406000000000002,20.320000000000004,17.08,19.406000000000002,21.220000000000006,323.9686155403696,283.1106785809077,262.080262080262,5,3,10,5,3,8
Baker Mayfield,CLE,QB,6100.0,Baker Mayfield (16006104) (LOCKED),16.69,16.249999999999996,19.477999999999998,22.900000000000002,13.6,16.718,20.000000000000004,14.7,17.718,20.800000000000004,375.3846153846155,313.1738371496047,266.3755458515284,10,5,11,6,5,11
Deshaun Watson,HOU,QB,7600.0,Deshaun Watson (16006099) (LOCKED),25.3,18.728,22.924,27.099999999999998,16.567999999999998,20.244,23.75,17.868,21.244,24.65,405.8094831268688,331.5302739487001,280.4428044280443,3,3,12,7,3,10
Sam Darnold,NYJ,QB,5000.0,Sam Darnold (16006117) (LOCKED),12.19,11.249999999999998,15.054,18.74,9.55,13.754000000000001,16.790000000000003,10.95,14.854,17.59,444.4444444444445,332.1376378371197,266.8089647812167,15,8,13,7,7,15
