,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Texans,3.9,3.1,3.4,1.4,0.8,1.1,1.1,0.5,0.7,0.8,0.7,0.8,0.3,0.2,0.2,0.1,0.0,0.0,22.9,15.3,17.8,252.0,325.7,288.8,11.5,7.9,9.4,6,DST
1,Bears,3.0,2.2,2.6,1.4,0.8,1.0,1.0,0.5,0.7,1.4,0.8,1.1,0.3,0.2,0.2,0.1,0.1,0.1,17.0,13.7,15.8,238.0,303.1,270.6,10.0,7.3,8.7,6,DST
2,Eagles,2.7,2.1,2.4,1.0,0.7,0.9,1.2,0.5,0.7,1.6,0.7,1.2,0.3,0.2,0.2,0.0,0.0,0.0,21.5,17.8,19.4,322.0,333.4,327.7,8.5,7.6,8.0,6,DST
3,Packers,3.3,2.5,2.9,1.5,1.0,1.2,0.9,0.4,0.7,1.0,0.6,0.8,0.3,0.2,0.2,0.1,0.0,0.0,23.8,18.8,20.8,323.0,359.9,341.4,9.9,7.8,8.0,6,DST
4,Vikings,2.8,1.6,2.4,1.3,0.6,1.0,0.9,0.4,0.6,0.9,0.6,0.8,0.3,0.1,0.2,0.1,0.0,0.0,18.6,13.9,16.5,268.0,323.5,295.7,9.6,5.6,7.9,6,DST
5,Jaguars,3.1,2.5,2.8,1.0,0.8,0.9,0.9,0.5,0.6,1.2,0.8,1.0,0.3,0.1,0.2,0.1,0.0,0.0,19.9,17.7,18.6,275.0,309.4,292.2,9.0,7.7,7.9,6,DST
6,Ravens,2.4,2.0,2.2,1.2,0.8,1.0,0.7,0.5,0.6,1.0,0.8,0.9,0.3,0.2,0.2,0.0,0.0,0.0,20.5,15.5,18.3,274.0,277.0,275.5,8.6,6.8,7.7,6,DST
7,Bills,3.1,1.7,2.6,1.3,0.6,0.9,1.2,0.7,0.8,1.6,1.0,1.3,0.3,0.2,0.2,0.0,0.0,0.0,25.4,20.8,23.8,354.0,359.4,356.7,9.8,6.3,7.5,6,DST
8,Rams,2.9,2.1,2.5,1.3,1.0,1.1,0.9,0.5,0.7,1.2,0.8,1.0,0.3,0.2,0.2,0.0,0.0,0.0,21.8,21.1,21.5,357.3,382.0,369.7,8.5,7.4,7.4,6,DST
9,Falcons,2.7,2.0,2.5,1.4,1.0,1.1,0.9,0.5,0.7,1.2,0.7,1.0,0.3,0.1,0.2,0.0,0.0,0.0,30.3,24.8,27.4,424.3,425.0,424.7,7.4,6.1,7.4,6,DST
