,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Jameis Winston (11421653),Bilal Powell (11421760),Chris Carson (11421768),Julio Jones (11421928),Jarvis Landry (11421946),DeAndre Hopkins (11421930),David Njoku (11422226),Ezekiel Elliott (11421716),Bills  (11422412),160.51799999999997,160.51799999999997
1,Jameis Winston (11421653),Bilal Powell (11421760),Ezekiel Elliott (11421716),Julio Jones (11421928),DeAndre Hopkins (11421930),Mike Williams (11422006),Nick Vannett (11422240),Keenan Allen (11421934),Steelers  (11422410),154.41799999999998,154.41799999999998
2,Russell Wilson (11421654),Tevin Coleman (11421734),Ezekiel Elliott (11421716),Julio Jones (11421928),Jarvis Landry (11421946),Keenan Allen (11421934),Nick Vannett (11422240),Dion Lewis (11421752),Bills  (11422412),153.238,153.238
3,Jameis Winston (11421653),Chris Carson (11421768),David Johnson (11421728),Julio Jones (11421928),Christian Kirk (11422008),DeAndre Hopkins (11421930),Nick Vannett (11422240),Adam Thielen (11421922),Steelers  (11422410),152.408,152.408
4,Matt Ryan (11421644),Chris Carson (11421768),Ezekiel Elliott (11421716),Julio Jones (11421928),Mike Williams (11422006),Adam Thielen (11421922),David Njoku (11422226),Phillip Lindsay (11421762),Colts  (11422406),151.704,151.704
5,Jared Goff (11421651),Bilal Powell (11421760),Tevin Coleman (11421734),Julio Jones (11421928),Doug Baldwin (11421968),DeAndre Hopkins (11421930),C.J. Uzomah (11422238),Keenan Allen (11421934),Colts  (11422406),151.088,151.088
6,Jameis Winston (11421653),Tevin Coleman (11421734),Ezekiel Elliott (11421716),Jarvis Landry (11421946),DeAndre Hopkins (11421930),Mike Williams (11422006),C.J. Uzomah (11422238),Keenan Allen (11421934),Colts  (11422406),150.488,150.488
7,Jared Goff (11421651),Bilal Powell (11421760),Tevin Coleman (11421734),Jarvis Landry (11421946),Doug Baldwin (11421968),Adam Thielen (11421922),David Njoku (11422226),Keenan Allen (11421934),Bills  (11422412),149.91799999999998,149.91799999999998
8,Deshaun Watson (11421647),Bilal Powell (11421760),David Johnson (11421728),Julio Jones (11421928),Mohamed Sanu (11421982),DeAndre Hopkins (11421930),Nick Vannett (11422240),Keenan Allen (11421934),Steelers  (11422410),149.352,149.352
9,Deshaun Watson (11421647),Tevin Coleman (11421734),David Johnson (11421728),Julio Jones (11421928),Doug Baldwin (11421968),Keelan Cole (11421980),David Njoku (11422226),Keenan Allen (11421934),Colts  (11422406),148.772,148.772
