,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Jameis Winston,Chris Carson,Tevin Coleman,Julio Jones,Mohamed Sanu,Chester Rogers,Austin Hooper,Todd Gurley,Chicago Bears,148.16799999999998,49600
1,Jameis Winston,Ezekiel Elliott,Todd Gurley,Julio Jones,Mohamed Sanu,Chester Rogers,C.J. Uzomah,Austin Hooper,Chicago Bears,147.87800000000001,49800
2,Jameis Winston,Chris Carson,Tevin Coleman,Julio Jones,Mohamed Sanu,Keke Coutee,Austin Hooper,Todd Gurley,Chicago Bears,147.87800000000001,49700
3,Jameis Winston,Ezekiel Elliott,Todd Gurley,Julio Jones,Mohamed Sanu,Keke Coutee,C.J. Uzomah,Austin Hooper,Chicago Bears,147.588,49900
4,Matt Ryan,Chris Carson,Tevin Coleman,Julio Jones,Chester Rogers,Keke Coutee,C.J. Uzomah,Todd Gurley,Chicago Bears,146.69400000000002,49900
5,Jameis Winston,Chris Carson,T.J. Yeldon,Julio Jones,Chester Rogers,Keke Coutee,C.J. Uzomah,Todd Gurley,Chicago Bears,146.428,49900
6,Jameis Winston,Tevin Coleman,Todd Gurley,Julio Jones,Mohamed Sanu,Tyler Boyd,C.J. Uzomah,Austin Hooper,Chicago Bears,146.398,49700
7,Jameis Winston,Chris Carson,Todd Gurley,Julio Jones,Mohamed Sanu,Chester Rogers,C.J. Uzomah,Tyler Boyd,Chicago Bears,145.798,49700
8,Jameis Winston,Ezekiel Elliott,Todd Gurley,Julio Jones,Chester Rogers,Keke Coutee,C.J. Uzomah,Austin Hooper,Chicago Bears,145.648,49600
9,Jameis Winston,Chris Carson,Todd Gurley,Julio Jones,Mohamed Sanu,Keke Coutee,C.J. Uzomah,Tyler Boyd,Chicago Bears,145.508,49800
