,Player,Salary,Position
85,DK Metcalf,7800.0,WR
28,David Montgomery,7700.0,RB
0,Justin Herbert,7400.0,QB
1,Russell Wilson,7300.0,QB
29,Jonathan Taylor,7300.0,RB
2,Jalen Hurts,7000.0,QB
30,Miles Sanders,7000.0,RB
31,James Robinson,6800.0,RB
86,Terry McLaurin,6700.0,WR
32,Antonio Gibson,6600.0,RB
87,Cooper Kupp,6600.0,WR
33,Mike Davis,6500.0,RB
34,Tony Pollard,6500.0,RB
88,Tyler Lockett,6500.0,WR
3,Ben Roethlisberger,6400.0,QB
35,JD McKissic,6400.0,RB
36,Chris Carson,6400.0,RB
37,Cam Akers,6300.0,RB
89,Diontae Johnson,6300.0,WR
38,JK Dobbins,6200.0,RB
90,JuJu Smith-Schuster,6000.0,WR
39,Clyde Edwards-Helaire,6000.0,RB
91,Chase Claypool,5900.0,WR
40,James Conner,5800.0,RB
41,Le'Veon Bell,5800.0,RB
92,Marquise Brown,5700.0,WR
93,Amari Cooper,5700.0,WR
42,Melvin Gordon,5600.0,RB
44,Carlos Hyde,5300.0,RB
43,Benny Snell,5300.0,RB
94,CeeDee Lamb,5300.0,WR
5,Gardner Minshew,5200.0,QB
4,Dwayne Haskins,5200.0,QB
6,Drew Lock,5000.0,QB
7,Daniel Jones,5000.0,QB
45,Boston Scott,4900.0,RB
46,Giovani Bernard,4800.0,RB
164,Noah Fant,4800.0,TE
8,Brett Rypien,4800.0,QB
9,Ryan Finley,4800.0,QB
95,Rashard Higgins,4800.0,WR
10,Ben DiNucci,4800.0,QB
96,Tee Higgins,4700.0,WR
165,Hunter Henry,4700.0,TE
97,Jalen Reagor,4600.0,WR
98,Jamison Crowder,4500.0,WR
11,PJ Walker,4500.0,QB
47,Ty Johnson,4500.0,RB
48,Devonta Freeman,4500.0,RB
49,Darrell Henderson,4500.0,RB
12,John Wolford,4500.0,QB
13,Will Grier,4300.0,QB
14,Jake Luton,4300.0,QB
99,Michael Pittman,4200.0,WR
166,Eric Ebron,4200.0,TE
15,AJ McCarron,4200.0,QB
50,Anthony McFarland,4100.0,RB
16,Mason Rudolph,4100.0,QB
17,Tyler Huntley,4100.0,QB
18,Trace McSorley,4100.0,QB
19,Geno Smith,4100.0,QB
80,Xavier Jones,4000.0,RB
81,Raymond Calais,4000.0,RB
23,Jacob Eason,4000.0,QB
79,Nick Bellore,4000.0,RB
82,Jason Huntley,4000.0,RB
83,Rico Dowdle,4000.0,RB
84,Sewo Olonilua,4000.0,RB
27,Joe Burrow,4000.0,QB
22,Josh Dobbs,4000.0,QB
21,Kyle Allen,4000.0,QB
20,Steven Montez,4000.0,QB
26,Clayton Thorson,4000.0,QB
100,Tyron Johnson,4000.0,WR
101,Darnell Mooney,4000.0,WR
102,Greg Ward,4000.0,WR
78,Travis Homer,4000.0,RB
77,DeeJay Dallas,4000.0,RB
76,Rashaad Penny,4000.0,RB
62,Gabe Nabers,4000.0,RB
25,James Morgan,4000.0,QB
51,Rodney Smith,4000.0,RB
52,Reggie Bonnafon,4000.0,RB
53,Mike Warren,4000.0,RB
54,Bryce Love,4000.0,RB
24,Easton Stick,4000.0,QB
56,Trey Edmunds,4000.0,RB
57,Derek Watt,4000.0,RB
58,Darwin Thompson,4000.0,RB
59,Qadree Ollison,4000.0,RB
75,Artavis Pierce,4000.0,RB
61,Joshua Kelley,4000.0,RB
60,Keith Smith,4000.0,RB
63,La'Mical Perine,4000.0,RB
70,Devine Ozigbo,4000.0,RB
74,Ryan Nall,4000.0,RB
73,Chris Thompson,4000.0,RB
72,Ryquell Armstead,4000.0,RB
64,D'Ernest Johnson,4000.0,RB
71,Nathan Cottrell,4000.0,RB
69,Scottie Phillips,4000.0,RB
68,CJ Prosise,4000.0,RB
67,Trayveon Williams,4000.0,RB
66,Eli Penny,4000.0,RB
65,Justice Hill,4000.0,RB
55,Jaylen Samuels,4000.0,RB
103,Darius Slayton,3800.0,WR
104,Jerry Jeudy,3700.0,WR
105,Donovan Peoples-Jones,3700.0,WR
106,Laviska Shenault,3700.0,WR
108,Denzel Mims,3600.0,WR
107,James Washington,3600.0,WR
215,Steelers,3500.0,DST
109,Travis Fulgham,3500.0,WR
111,Jalen Guyton,3200.0,WR
112,David Moore,3200.0,WR
167,Vance McDonald,3200.0,TE
110,KJ Hamler,3200.0,WR
114,Miles Boykin,3100.0,WR
113,Mecole Hardman,3100.0,WR
168,Jimmy Graham,3100.0,TE
158,Trishton Jackson,3000.0,WR
148,Randall Cobb,3000.0,WR
149,Collin Johnson,3000.0,WR
150,Riley Ridley,3000.0,WR
151,Dwayne Harris,3000.0,WR
152,Freddie Swain,3000.0,WR
153,Penny Hart,3000.0,WR
154,Josh Gordon,3000.0,WR
155,Phillip Dorsett,3000.0,WR
156,Van Jefferson,3000.0,WR
157,Nsimba Webster,3000.0,WR
160,John Hightower,3000.0,WR
159,Quez Watkins,3000.0,WR
146,Isaiah Coulter,3000.0,WR
161,JJ Arcega-Whiteside,3000.0,WR
162,Cedrick Wilson,3000.0,WR
163,Malik Turner,3000.0,WR
117,Keith Kirkwood,3000.0,WR
116,Pharoh Cooper,3000.0,WR
115,Steven Sims,3000.0,WR
119,Isaiah Wright,3000.0,WR
169,Cole Kmet,3000.0,TE
170,Tyler Eifert,3000.0,TE
147,Will Fuller,3000.0,WR
118,Omar Bayless,3000.0,WR
145,Steven Mitchell,3000.0,WR
132,Joe Reed,3000.0,WR
121,Kelvin Harmon,3000.0,WR
122,Emanuel Hall,3000.0,WR
123,Ray-Ray McCloud,3000.0,WR
124,Ashton Dulin,3000.0,WR
125,DeMichael Harris,3000.0,WR
126,Dezmon Patmon,3000.0,WR
127,Parris Campbell,3000.0,WR
128,Byron Pringle,3000.0,WR
129,Christian Blake,3000.0,WR
130,Olamide Zaccheaus,3000.0,WR
144,Stanley Morgan,3000.0,WR
131,KJ Hill,3000.0,WR
133,Diontae Spencer,3000.0,WR
134,Tyrie Cleveland,3000.0,WR
135,Jeff Smith,3000.0,WR
136,Lawrence Cager,3000.0,WR
137,Devin Duvernay,3000.0,WR
138,James Proche,3000.0,WR
139,Antoine Wesley,3000.0,WR
140,Austin Mack,3000.0,WR
141,CJ Board,3000.0,WR
142,Dante Pettis,3000.0,WR
143,David Sills,3000.0,WR
120,Antonio Gandy-Golden,3000.0,WR
171,Drew Sample,2900.0,TE
172,Jacob Hollister,2900.0,TE
173,Jack Doyle,2800.0,TE
216,Seahawks,2600.0,DST
176,Thaddeus Moss,2500.0,TE
197,Cethan Carter,2500.0,TE
199,Kahale Warring,2500.0,TE
200,James O'Shaughnessy,2500.0,TE
201,Tyler Davis,2500.0,TE
202,Ben Ellefson,2500.0,TE
