,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Joe Flacco (11456915),Nick Chubb (11457042),Todd Gurley II (11456954),Jermaine Kearse (11457220),Adam Thielen (11457140),Willie Snead IV (11457226),David Njoku (11457402),Ezekiel Elliott (11456958),Jets  (11457558),147.304,147.304
1,C.J. Beathard (11456922),Nick Chubb (11457042),Todd Gurley II (11456954),Jermaine Kearse (11457220),Adam Thielen (11457140),Taylor Gabriel (11457190),David Njoku (11457402),Ezekiel Elliott (11456958),Jets  (11457558),144.93800000000002,144.93800000000002
2,Joe Flacco (11456915),Nick Chubb (11457042),Todd Gurley II (11456954),Adam Thielen (11457140),Willie Snead IV (11457226),Robert Woods (11457152),David Njoku (11457402),Tarik Cohen (11456982),Jets  (11457558),144.174,144.174
3,C.J. Beathard (11456922),Nick Chubb (11457042),Todd Gurley II (11456954),Jermaine Kearse (11457220),Adam Thielen (11457140),Robert Woods (11457152),David Njoku (11457402),Tarik Cohen (11456982),Bills  (11457555),143.548,143.548
4,Baker Mayfield (11456910),Nick Chubb (11457042),Todd Gurley II (11456954),Adam Thielen (11457140),Willie Snead IV (11457226),Robert Woods (11457152),David Njoku (11457402),Marquise Goodwin (11457196),Lions  (11457550),143.02200000000002,143.02200000000002
5,C.J. Beathard (11456922),Nick Chubb (11457042),Todd Gurley II (11456954),Jermaine Kearse (11457220),Adam Thielen (11457140),Robert Woods (11457152),David Njoku (11457402),Tarik Cohen (11456982),Lions  (11457550),142.848,142.848
6,Baker Mayfield (11456910),Kerryon Johnson (11456998),Todd Gurley II (11456954),Jermaine Kearse (11457220),Adam Thielen (11457140),Marquise Goodwin (11457196),David Njoku (11457402),Tarik Cohen (11456982),Colts  (11457543),142.25199999999998,142.25199999999998
7,Jared Goff (11456903),Kerryon Johnson (11456998),Todd Gurley II (11456954),Jermaine Kearse (11457220),Adam Thielen (11457140),Taylor Gabriel (11457190),David Njoku (11457402),Tarik Cohen (11456982),Jets  (11457558),141.88400000000001,141.88400000000001
8,Baker Mayfield (11456910),Kerryon Johnson (11456998),Todd Gurley II (11456954),Adam Thielen (11457140),Willie Snead IV (11457226),Taylor Gabriel (11457190),David Njoku (11457402),Tarik Cohen (11456982),Colts  (11457543),141.732,141.732
9,Baker Mayfield (11456910),Nick Chubb (11457042),Todd Gurley II (11456954),Robert Woods (11457152),Taylor Gabriel (11457190),Marquise Goodwin (11457196),David Njoku (11457402),Ezekiel Elliott (11456958),Jets  (11457558),141.352,141.352
