,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Cam Newton,Alvin Kamara,Nick Chubb,Michael Thomas,Courtland Sutton,Adam Thielen,David Njoku,Tre'Quan Smith,Denver Broncos,158.556,49900
1,Cam Newton,Alvin Kamara,Nick Chubb,Michael Thomas,Courtland Sutton,Adam Thielen,David Njoku,Tre'Quan Smith,Denver Broncos,158.556,49900
2,Cam Newton,Alvin Kamara,Adrian Peterson,Michael Thomas,Courtland Sutton,Emmanuel Sanders,David Njoku,Marvin Jones,Denver Broncos,158.50600000000003,50000
3,Patrick Mahomes,Alvin Kamara,Adrian Peterson,Michael Thomas,Emmanuel Sanders,Tre'Quan Smith,David Njoku,Nick Chubb,Denver Broncos,158.25600000000003,50000
4,Cam Newton,Alvin Kamara,Adrian Peterson,Courtland Sutton,Emmanuel Sanders,DeAndre Hopkins,David Njoku,Nick Chubb,Denver Broncos,158.24600000000004,49900
5,Cam Newton,Alvin Kamara,Nick Chubb,Michael Thomas,Courtland Sutton,DeAndre Hopkins,David Njoku,Sammy Watkins,Denver Broncos,158.106,50000
6,Cam Newton,Alvin Kamara,Nick Chubb,Michael Thomas,Courtland Sutton,DeAndre Hopkins,David Njoku,Sammy Watkins,Denver Broncos,158.106,50000
7,Cam Newton,Alvin Kamara,Adrian Peterson,Michael Thomas,Courtland Sutton,Marvin Jones,David Njoku,Nick Chubb,Chicago Bears,158.096,49900
8,Cam Newton,Alvin Kamara,Nick Chubb,Michael Thomas,Courtland Sutton,Emmanuel Sanders,David Njoku,Sammy Watkins,Chicago Bears,157.936,49900
9,Cam Newton,Alvin Kamara,Adrian Peterson,Michael Thomas,Emmanuel Sanders,Tre'Quan Smith,David Njoku,Sammy Watkins,Denver Broncos,157.82600000000002,49900
10,Patrick Mahomes,Alvin Kamara,Adrian Peterson,Michael Thomas,Courtland Sutton,Emmanuel Sanders,David Njoku,Nick Chubb,Denver Broncos,157.80600000000004,49700
11,Cam Newton,Alvin Kamara,Adrian Peterson,Michael Thomas,Emmanuel Sanders,Tre'Quan Smith,David Njoku,Nick Chubb,Denver Broncos,157.716,49500
12,Cam Newton,Alvin Kamara,Adrian Peterson,Michael Thomas,Courtland Sutton,Tre'Quan Smith,Travis Kelce,Kenny Golladay,Denver Broncos,157.64600000000002,50000
13,Cam Newton,Alvin Kamara,Adrian Peterson,Michael Thomas,Tre'Quan Smith,Sammy Watkins,Travis Kelce,Nick Chubb,Denver Broncos,157.586,50000
14,Jared Goff,Alvin Kamara,Adrian Peterson,Michael Thomas,Emmanuel Sanders,Marvin Jones,David Njoku,Nick Chubb,Denver Broncos,157.58400000000003,50000
15,Patrick Mahomes,Alvin Kamara,Adrian Peterson,Michael Thomas,Courtland Sutton,Sammy Watkins,David Njoku,Nick Chubb,Chicago Bears,157.50600000000003,50000
16,Cam Newton,Alvin Kamara,Nick Chubb,Courtland Sutton,Emmanuel Sanders,Adam Thielen,David Njoku,Kenny Golladay,Denver Broncos,157.48600000000002,50000
17,Cam Newton,Alvin Kamara,Adrian Peterson,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Kenny Golladay,Chicago Bears,157.476,49800
18,Cam Newton,Alvin Kamara,Nick Chubb,Courtland Sutton,Emmanuel Sanders,DeAndre Hopkins,David Njoku,Tre'Quan Smith,Chicago Bears,157.45600000000002,49900
19,Jared Goff,Alvin Kamara,Adrian Peterson,Courtland Sutton,Emmanuel Sanders,Adam Thielen,David Njoku,Nick Chubb,Denver Broncos,157.43400000000003,49900
20,Cam Newton,Alvin Kamara,Adrian Peterson,Michael Thomas,Tre'Quan Smith,Sammy Watkins,David Njoku,Nick Chubb,Chicago Bears,157.416,49800
21,Cam Newton,Alvin Kamara,Adrian Peterson,Michael Thomas,Courtland Sutton,Emmanuel Sanders,David Njoku,Sammy Watkins,Denver Broncos,157.37600000000003,49600
22,Jared Goff,Alvin Kamara,Nick Chubb,Michael Thomas,Courtland Sutton,Adam Thielen,David Njoku,Sammy Watkins,Denver Broncos,157.29400000000004,50000
