"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.2","77.1","0.7","0.0","11.8"
"George Kittle","SF","4.8","63.3","0.5","0.0","9.2"
"Jared Cook","OAK","5.2","62.7","0.5","0.1","9.1"
"Jimmy Graham","GB","4.4","54.7","0.6","0.0","8.8"
"Greg Olsen","CAR","3.9","46.8","0.6","0.0","8.2"
"David Njoku","CLE","4.6","51.4","0.5","0.0","8.0"
"Rob Gronkowski","NE","4.0","59.7","0.4","0.1","7.9"
"O.J. Howard","TB","3.6","49.1","0.5","0.0","7.8"
"Vance McDonald","PIT","3.5","43.0","0.4","0.1","6.6"
"Trey Burton","CHI","4.0","45.9","0.3","0.0","6.2"
"Jordan Reed","WAS","5.0","47.9","0.3","0.1","6.1"
"Kyle Rudolph","MIN","3.9","41.4","0.3","0.0","5.9"
"Austin Hooper","ATL","4.2","42.7","0.2","0.0","5.5"
"Chris Herndon IV","NYJ","2.7","32.1","0.2","0.0","4.6"
"Benjamin Watson","NO","2.9","32.3","0.2","0.0","4.4"
"Ed Dickson","SEA","2.1","26.9","0.2","0.0","3.8"
"Jeff Heuerman","DEN","2.3","24.6","0.2","0.0","3.4"
"Vernon Davis","WAS","1.9","26.2","0.1","0.0","3.2"
"Charles Clay","BUF","2.6","28.0","0.1","0.1","3.1"
"Antonio Gates","LAC","2.1","21.7","0.2","0.0","3.1"
"Ryan Griffin","HOU","2.0","23.7","0.1","0.0","3.0"
"Nick Vannett","SEA","2.0","20.5","0.2","0.0","2.9"
"Mike Gesicki","MIA","2.1","20.8","0.1","0.0","2.8"
"Cameron Brate","TB","1.6","17.6","0.2","0.1","2.7"
"Mark Andrews","BAL","1.7","17.7","0.1","0.0","2.5"
"Michael Roberts","DET","1.4","14.9","0.2","0.0","2.5"
"Gerald Everett","LAR","1.6","18.9","0.1","0.0","2.5"
"Geoff Swaim","DAL","1.9","18.6","0.1","0.0","2.5"
"Hayden Hurst","BAL","1.8","18.3","0.1","0.0","2.3"
"Jesse James","PIT","1.7","17.7","0.1","0.0","2.3"
"Jason Croom","BUF","1.5","15.7","0.1","0.0","2.3"
"Jordan Thomas","HOU","1.2","15.1","0.1","0.0","2.1"
"Matt LaCosse","DEN","1.5","14.6","0.1","0.0","2.1"
"Nick O'Leary","MIA","1.2","14.6","0.1","0.1","2.0"
"Jonnu Smith","TEN","1.3","14.4","0.1","0.0","1.9"
"Adam Shaheen","CHI","0.6","6.1","0.2","0.0","1.8"
"Virgil Green","LAC","1.1","12.0","0.1","0.0","1.8"
"Darren Fells","CLE","1.1","12.1","0.1","0.0","1.8"
"Luke Stocker","TEN","1.2","12.7","0.1","0.0","1.8"
"A.J. Derby","MIA","1.0","10.9","0.1","0.1","1.8"
"Blake Jarwin","DAL","1.3","14.3","0.1","0.0","1.7"
"Jordan Leggett","NYJ","1.0","11.3","0.1","0.0","1.7"
"Luke Willson","DET","1.2","12.3","0.1","0.0","1.6"
"Nick Boyle","BAL","1.4","12.2","0.1","0.0","1.6"
"Josh Hill","NO","1.0","10.9","0.1","0.0","1.6"
"Seth DeValve","CLE","0.8","10.2","0.1","0.0","1.6"
"Anthony Firkser","TEN","1.1","11.2","0.1","0.0","1.5"
"Demetrius Harris","KC","1.0","10.5","0.1","0.0","1.5"
"Tyler Higbee","LAR","0.7","10.3","0.1","0.0","1.4"
"Rico Gathers","DAL","0.9","9.8","0.1","0.0","1.4"
"Garrett Celek","SF","0.8","8.7","0.1","0.0","1.3"
"Jordan Akins","HOU","0.7","8.2","0.1","0.0","1.2"
"Ian Thomas","CAR","0.7","7.7","0.1","0.0","1.2"
"Lance Kendricks","GB","0.8","8.4","0.1","0.0","1.1"
"Dwayne Allen","NE","0.5","4.4","0.1","0.0","1.0"
"Derek Carrier","OAK","0.7","6.8","0.0","0.0","0.9"
"Dalton Schultz","DAL","0.6","6.4","0.0","0.0","0.8"
"Levine Toilolo","DET","0.6","5.9","0.0","0.0","0.8"
"Eric Tomlinson","NYJ","0.5","6.1","0.0","0.0","0.6"
"Antony Auclair","TB","0.5","4.2","0.1","0.1","0.6"
"Marcedes Lewis","GB","0.2","2.5","0.1","0.0","0.6"
"Maxx Williams","BAL","0.6","5.5","0.0","0.0","0.6"
"David Morgan","MIN","0.4","4.1","0.0","0.0","0.5"
"Dion Sims","CHI","0.4","3.6","0.0","0.0","0.5"
"Logan Thomas","BUF","0.4","4.9","0.0","0.0","0.5"
"Logan Paulsen","ATL","0.4","3.6","0.0","0.1","0.5"
"Jacob Hollister","NE","0.3","3.7","0.0","0.0","0.4"
"Tyrone Swoopes","SEA","0.2","2.9","0.0","0.0","0.3"
"Eric Saubert","ATL","0.3","2.9","0.0","0.0","0.3"
"Tyler Conklin","NE","0.3","2.8","0.0","0.0","0.3"
"Dan Arnold","NO","0.2","2.6","0.0","0.0","0.3"
"Xavier Grimble","PIT","0.2","2.4","0.0","0.0","0.2"
"Jeremy Sprinkle","WAS","0.2","2.0","0.0","0.0","0.2"
"Lee Smith","OAK","0.2","1.9","0.0","0.0","0.2"
"Durham Smythe","MIA","0.2","1.9","0.0","0.0","0.2"
"Brian Parker","DEN","0.2","1.7","0.0","0.0","0.2"
"Chris Manhertz","CAR","0.2","1.4","0.0","0.0","0.1"
"Alan Cross","TB","0.2","1.4","0.0","0.0","0.1"
"Orson Charles","CLE","0.1","0.8","0.0","0.0","0.1"
"Darrell Daniels","SEA","0.1","0.7","0.0","0.0","0.1"
"Ryan Malleck","PIT","0.0","0.0","0.0","0.0","0.0"
"Bucky Hodges","PIT","0.0","0.0","0.0","0.0","0.0"
"MyCole Pruitt","TEN","0.0","0.0","0.0","0.0","0.0"
"Stephen Anderson","NE","0.0","0.0","0.0","0.0","0.0"
"Cole Wick","SF","0.0","0.0","0.0","0.0","0.0"
"Jevoni Robinson","HOU","0.0","0.0","0.0","0.0","0.0"
"Daniel Brown","CHI","0.0","0.0","0.0","0.0","0.0"
"Deon Yelder","KC","0.0","0.0","0.0","0.0","0.0"
"Temarrick Hemingway","DEN","0.0","0.0","0.0","0.0","0.0"
"Henry Krieger Coble","LAR","0.0","0.0","0.0","0.0","0.0"
"Garrett Griffin","NO","0.0","0.0","0.0","0.0","0.0"
"Troy Fumagalli","DEN","0.0","0.0","0.0","0.0","0.0"
"Austin Roberts","LAC","0.0","0.0","0.0","0.0","0.0"
"Ross Dwelley","SF","0.0","0.0","0.0","0.0","0.0"
"Hakeem Valles","DET","0.0","0.0","0.0","0.0","0.0"
""
""
