,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Dak Prescott,Miles Sanders,Josh Jacobs,Deebo Samuel,Julio Jones,Michael Thomas,Darren Waller,Greg Olsen,Arizona Cardinals,152.114,50000
1,Dak Prescott,Miles Sanders,Josh Jacobs,Deebo Samuel,Mike Evans,Michael Thomas,Darren Waller,Greg Olsen,Arizona Cardinals,151.204,49900
2,Dak Prescott,Miles Sanders,Josh Jacobs,Deebo Samuel,Julio Jones,Michael Thomas,Greg Olsen,Tyrell Williams,Arizona Cardinals,151.104,49900
3,Dak Prescott,Miles Sanders,Brian Hill,Deebo Samuel,Julio Jones,Michael Thomas,Greg Olsen,Alvin Kamara,Arizona Cardinals,150.854,49800
4,Dak Prescott,Miles Sanders,Josh Jacobs,Deebo Samuel,Michael Thomas,Tyrell Williams,Greg Olsen,Alvin Kamara,Arizona Cardinals,150.674,49800
5,Dak Prescott,Miles Sanders,Josh Jacobs,Deebo Samuel,Mike Evans,Michael Thomas,Greg Olsen,Tyrell Williams,Arizona Cardinals,150.194,49800
6,Matt Ryan,Miles Sanders,Josh Jacobs,Deebo Samuel,Julio Jones,Michael Thomas,Darren Waller,Greg Olsen,Arizona Cardinals,150.046,49500
7,Dak Prescott,Miles Sanders,Brian Hill,Deebo Samuel,Mike Evans,Michael Thomas,Greg Olsen,Alvin Kamara,Arizona Cardinals,149.944,49700
8,Matt Ryan,Miles Sanders,Alvin Kamara,Deebo Samuel,Julio Jones,Michael Thomas,Darren Waller,Greg Olsen,Arizona Cardinals,149.70600000000002,50000
9,Dak Prescott,Miles Sanders,Dalvin Cook,Deebo Samuel,Michael Thomas,Tyrell Williams,Darren Waller,Greg Olsen,Arizona Cardinals,149.494,49900
