QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST
Kyler Murray (13932145),Todd Gurley II (13932218),Saquon Barkley (13932200),Dede Westbrook (13932498),Darius Slayton (13932492),Chris Godwin (13932412),Tyler Higbee (13932748),Chris Carson (13932204),Lions  (13932939)
Kyler Murray (13932145),Todd Gurley II (13932218),Saquon Barkley (13932200),Chris Conley (13932550),Dede Westbrook (13932498),Chris Godwin (13932412),Tyler Higbee (13932748),Chris Carson (13932204),Eagles  (13932922)
Jameis Winston (13932128),Patrick Laird (13932258),Todd Gurley II (13932218),Chris Conley (13932550),Chris Godwin (13932412),Julio Jones (13932424),Tyler Higbee (13932748),Saquon Barkley (13932200),Lions  (13932939)
Dak Prescott (13932132),Patrick Laird (13932258),Todd Gurley II (13932218),Chris Conley (13932550),Chris Godwin (13932412),DeAndre Hopkins (13932410),Tyler Higbee (13932748),Saquon Barkley (13932200),Lions  (13932939)
Jameis Winston (13932128),Todd Gurley II (13932218),Saquon Barkley (13932200),Chris Conley (13932550),Dede Westbrook (13932498),Julio Jones (13932424),Tyler Higbee (13932748),Chris Carson (13932204),Lions  (13932939)
Jameis Winston (13932128),Todd Gurley II (13932218),Saquon Barkley (13932200),Chris Conley (13932550),Darius Slayton (13932492),Julio Jones (13932424),Tyler Higbee (13932748),Chris Carson (13932204),Lions  (13932939)
Kyler Murray (13932145),Patrick Laird (13932258),Saquon Barkley (13932200),Chris Conley (13932550),Dede Westbrook (13932498),Chris Godwin (13932412),Tyler Higbee (13932748),Christian McCaffrey (13932190),Lions  (13932939)
Kyler Murray (13932145),Saquon Barkley (13932200),Chris Carson (13932204),Chris Conley (13932550),Darius Slayton (13932492),Chris Godwin (13932412),Tyler Higbee (13932748),Julio Jones (13932424),Lions  (13932939)
Dak Prescott (13932132),Todd Gurley II (13932218),Saquon Barkley (13932200),Chris Conley (13932550),Dede Westbrook (13932498),DeAndre Hopkins (13932410),Tyler Higbee (13932748),Leonard Fournette (13932202),Lions  (13932939)
Kyler Murray (13932145),Patrick Laird (13932258),Saquon Barkley (13932200),Dede Westbrook (13932498),Darius Slayton (13932492),Chris Godwin (13932412),Tyler Higbee (13932748),Chris Carson (13932204),Eagles  (13932922)
