,Unnamed: 0,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary,Actual_Points,Ownership
0,0,Ryan Fitzpatrick,Patrick Laird,Chris Carson,Michael Thomas,Keenan Allen,Mike Williams,Austin Hooper,Noah Fant,Jacksonville Jaguars,140.34199999999998,50000,122.96,1.83%0.53%3.16%77.36%31.27%8.66%74.05%0.71%13.62%
1,1,Philip Rivers,Melvin Gordon,Chris Carson,Michael Thomas,Mike Williams,Jamison Crowder,Austin Hooper,Noah Fant,Jacksonville Jaguars,139.39600000000002,49800,116.76,4.34%21.61%3.16%77.36%8.66%0.53%74.05%0.71%13.62%
2,2,Ryan Fitzpatrick,Patrick Laird,Chris Carson,Michael Thomas,Mike Williams,Courtland Sutton,Austin Hooper,Noah Fant,Jacksonville Jaguars,139.34199999999998,49900,120.46,1.83%0.53%3.16%77.36%8.66%6.03%74.05%0.71%13.62%
3,3,Matt Ryan,Patrick Laird,Chris Carson,Michael Thomas,Mike Williams,Jamison Crowder,Austin Hooper,Noah Fant,Washington Redskins,139.084,49900,100.66,7.84%0.53%3.16%77.36%8.66%0.53%74.05%0.71%20.38%
4,4,Ryan Fitzpatrick,Adrian Peterson,Chris Carson,Michael Thomas,Mike Williams,Tyler Boyd,Austin Hooper,Noah Fant,Jacksonville Jaguars,138.99200000000002,49900,158.85999999999996,1.83%14.84%3.16%77.36%8.66%10.52%74.05%0.71%13.62%
5,5,Philip Rivers,Patrick Laird,Chris Carson,Michael Thomas,Keenan Allen,Mike Williams,Austin Hooper,Noah Fant,Jacksonville Jaguars,138.91599999999997,49700,98.46,4.34%0.53%3.16%77.36%31.27%8.66%74.05%0.71%13.62%
6,6,Philip Rivers,Adrian Peterson,Chris Carson,Michael Thomas,Mike Williams,Courtland Sutton,Austin Hooper,Noah Fant,Jacksonville Jaguars,138.89600000000002,50000,106.66,4.34%14.84%3.16%77.36%8.66%6.03%74.05%0.71%13.62%
7,7,Ryan Fitzpatrick,Patrick Laird,Chris Carson,Michael Thomas,Mike Williams,Terry McLaurin,Austin Hooper,Noah Fant,Jacksonville Jaguars,138.892,49900,126.96,1.83%0.53%3.16%77.36%8.66%4.38%74.05%0.71%13.62%
8,8,Ryan Fitzpatrick,Patrick Laird,Chris Carson,Michael Thomas,Mike Williams,Jamison Crowder,Austin Hooper,Noah Fant,Washington Redskins,138.852,49700,115.36,1.83%0.53%3.16%77.36%8.66%0.53%74.05%0.71%20.38%
9,9,Philip Rivers,Adrian Peterson,Chris Carson,Michael Thomas,Mike Williams,Terry McLaurin,Austin Hooper,Noah Fant,Jacksonville Jaguars,138.44599999999997,50000,113.16,4.34%14.84%3.16%77.36%8.66%4.38%74.05%0.71%13.62%
10,10,Ryan Fitzpatrick,Patrick Laird,Chris Carson,Michael Thomas,Jamison Crowder,Tyler Boyd,Austin Hooper,Noah Fant,Jacksonville Jaguars,138.44199999999998,49900,150.06,1.83%0.53%3.16%77.36%0.53%10.52%74.05%0.71%13.62%
11,11,Philip Rivers,Adrian Peterson,Chris Carson,Michael Thomas,Mike Williams,Jamison Crowder,Austin Hooper,Noah Fant,Washington Redskins,138.40599999999998,49800,101.56,4.34%14.84%3.16%77.36%8.66%0.53%74.05%0.71%20.38%
12,12,Matt Ryan,Adrian Peterson,Chris Carson,Michael Thomas,Mike Williams,Jamison Crowder,Austin Hooper,Noah Fant,Jacksonville Jaguars,138.36399999999998,49700,117.36,7.84%14.84%3.16%77.36%8.66%0.53%74.05%0.71%13.62%
13,13,Philip Rivers,Patrick Laird,Chris Carson,Michael Thomas,Courtland Sutton,Jamison Crowder,Austin Hooper,Noah Fant,Jacksonville Jaguars,138.34599999999998,50000,97.86,4.34%0.53%3.16%77.36%6.03%0.53%74.05%0.71%13.62%
14,14,Philip Rivers,Patrick Laird,Chris Carson,Michael Thomas,Mike Williams,Tyler Boyd,Austin Hooper,Noah Fant,Washington Redskins,138.286,49800,117.66000000000001,4.34%0.53%3.16%77.36%8.66%10.52%74.05%0.71%20.38%
15,15,Matt Ryan,Patrick Laird,Chris Carson,Michael Thomas,Mike Williams,Tyler Boyd,Austin Hooper,Noah Fant,Jacksonville Jaguars,138.244,49700,133.45999999999998,7.84%0.53%3.16%77.36%8.66%10.52%74.05%0.71%13.62%
16,16,Ryan Fitzpatrick,Adrian Peterson,Chris Carson,Michael Thomas,Mike Williams,Jamison Crowder,Austin Hooper,Noah Fant,Jacksonville Jaguars,138.13199999999998,49500,132.06,1.83%14.84%3.16%77.36%8.66%0.53%74.05%0.71%13.62%
17,17,Ryan Fitzpatrick,Patrick Laird,Chris Carson,Michael Thomas,Mike Williams,Tyler Boyd,Austin Hooper,Noah Fant,Jacksonville Jaguars,138.012,49500,148.16,1.83%0.53%3.16%77.36%8.66%10.52%74.05%0.71%13.62%
18,18,Philip Rivers,Adrian Peterson,Chris Carson,Michael Thomas,Jamison Crowder,Tyler Boyd,Austin Hooper,Noah Fant,Jacksonville Jaguars,137.99599999999998,50000,136.26,4.34%14.84%3.16%77.36%0.53%10.52%74.05%0.71%13.62%
19,19,Philip Rivers,Patrick Laird,Chris Carson,Michael Thomas,Mike Williams,Courtland Sutton,Austin Hooper,Noah Fant,Jacksonville Jaguars,137.916,49600,95.96000000000001,4.34%0.53%3.16%77.36%8.66%6.03%74.05%0.71%13.62%
20,20,Philip Rivers,Patrick Laird,Chris Carson,Michael Thomas,Jamison Crowder,Terry McLaurin,Austin Hooper,Noah Fant,Jacksonville Jaguars,137.89600000000002,50000,104.36,4.34%0.53%3.16%77.36%0.53%4.38%74.05%0.71%13.62%
21,21,Philip Rivers,Melvin Gordon,Patrick Laird,Michael Thomas,Mike Williams,Jamison Crowder,Noah Fant,Chris Carson,Jacksonville Jaguars,137.57599999999996,50000,104.35999999999999,4.34%21.61%0.53%77.36%8.66%0.53%0.71%3.16%13.62%
22,22,Philip Rivers,Adrian Peterson,Chris Carson,Michael Thomas,Mike Williams,Tyler Boyd,Austin Hooper,Noah Fant,Jacksonville Jaguars,137.56599999999997,49600,134.36,4.34%14.84%3.16%77.36%8.66%10.52%74.05%0.71%13.62%
23,23,Philip Rivers,Patrick Laird,Chris Carson,Michael Thomas,Mike Williams,Terry McLaurin,Austin Hooper,Noah Fant,Jacksonville Jaguars,137.46599999999998,49600,102.46000000000001,4.34%0.53%3.16%77.36%8.66%4.38%74.05%0.71%13.62%
24,24,Philip Rivers,Patrick Laird,Chris Carson,Michael Thomas,Jamison Crowder,Tyler Boyd,Austin Hooper,Noah Fant,Jacksonville Jaguars,137.016,49600,125.56,4.34%0.53%3.16%77.36%0.53%10.52%74.05%0.71%13.62%
25,25,Philip Rivers,Patrick Laird,Adrian Peterson,Michael Thomas,Mike Williams,Jamison Crowder,Noah Fant,Chris Carson,Washington Redskins,136.58599999999998,50000,89.16,4.34%0.53%14.84%77.36%8.66%0.53%0.71%3.16%20.38%
26,26,Matt Ryan,Patrick Laird,Adrian Peterson,Michael Thomas,Mike Williams,Jamison Crowder,Noah Fant,Chris Carson,Jacksonville Jaguars,136.54399999999998,49900,104.96000000000001,7.84%0.53%14.84%77.36%8.66%0.53%0.71%3.16%13.62%
27,27,Ryan Fitzpatrick,Patrick Laird,Adrian Peterson,Michael Thomas,Mike Williams,Jamison Crowder,Noah Fant,Chris Carson,Jacksonville Jaguars,136.31199999999998,49700,119.66,1.83%0.53%14.84%77.36%8.66%0.53%0.71%3.16%13.62%
28,28,Philip Rivers,Patrick Laird,Adrian Peterson,Michael Thomas,Mike Williams,Tyler Boyd,Noah Fant,Chris Carson,Jacksonville Jaguars,135.74599999999998,49800,121.96,4.34%0.53%14.84%77.36%8.66%10.52%0.71%3.16%13.62%
