,Player,Salary
0,Melvin Gordon,7300
1,Tyreek Hill,7300
2,A.J. Green,7100
3,Nick Foles,5100
4,Sterling Shepard,5100
5,Tevin Coleman,4800
6,DJ Chark,4500
7,Golden Tate,4500
8,Hunter Henry,4300
9,DK Metcalf,4300
10,Cooper Rush,4300
11,DeVante Parker,4100
12,Trace McSorley,4000
13,Jake Dolegala,4000
14,C.J. Beathard,4000
15,Josh Johnson,4000
16,David Blough,4000
17,Easton Stick,4000
18,Josh Dobbs,4000
19,Alex Tanney,4000
20,Chad Kelly,4000
21,Colt McCoy,4000
22,DeShone Kizer,4000
23,Brandon Allen,4000
24,Derrius Guice,3900
25,Albert Wilson,3800
26,Ben Watson,3600
27,Josh Doctson,3500
28,J.J. Nelson,3500
29,Demaryius Thomas,3400
30,Jordan Reed,3400
31,David Moore,3200
32,Benny Snell,3100
33,Trent Taylor,3000
34,Jalen Hurd,3000
35,Danny Vitale,3000
36,C.J. Ham,3000
37,Darrius Shepherd,3000
38,Laquon Treadwell,3000
39,Roc Thomas,3000
40,C.J. Board,3000
41,Patrick Laird,3000
42,N'Keal Harry,3000
43,Matthew Slater,3000
44,Andre Roberts,3000
45,Darius Slayton,3000
46,Roosevelt Nix,3000
47,Dalyn Dawkins,3000
48,Jonathan Williams,3000
49,Jordan Chunn,3000
50,Tavon Austin,3000
51,Isaiah Crowell,3000
52,Byron Pringle,3000
53,Jalin Marshall,3000
54,Andy Janovich,3000
55,Juwann Winfree,3000
56,Nsimba Webster,3000
57,Irv Smith,2700
58,Lance Kendricks,2700
59,Darrell Daniels,2500
60,Clark Harris,2500
61,Tyler Conklin,2500
62,Brandon Dillon,2500
63,Josh Oliver,2500
64,Matt Orzech,2500
65,Garrett Dickerson,2500
66,Tyler Ott,2500
67,Beau Brinkley,2500
68,James Winchester,2500
69,J.P. Holtz,2500
70,Johnny Mundt,2500
