"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Dalvin Cook","MIN","20.5","101.5","0.8","3.8","32.9","0.1","0.2","18.8"
"Saquon Barkley","NYG","17.9","87.5","0.6","4.5","38.4","0.1","0.1","16.9"
"Christian McCaffrey","CAR","17.1","75.3","0.6","5.7","47.4","0.2","0.2","16.7"
"James Conner","PIT","16.9","73.3","0.8","4.1","32.8","0.2","0.2","16.3"
"Leonard Fournette","JAC","20.8","85.0","0.7","3.5","28.6","0.1","0.1","15.8"
"Chris Carson","SEA","21.2","92.7","0.6","3.1","22.0","0.2","0.2","15.6"
"Latavius Murray","NO","19.1","81.5","0.8","3.0","21.6","0.0","0.1","15.2"
"Todd Gurley","LAR","17.2","71.1","0.8","2.9","25.6","0.1","0.1","14.9"
"Aaron Jones","GB","14.0","69.5","0.8","3.4","25.0","0.1","0.1","14.6"
"Derrick Henry","TEN","18.5","78.0","0.8","1.5","12.8","0.1","0.1","13.8"
"Nick Chubb","CLE","16.0","79.4","0.6","2.6","19.6","0.1","0.1","13.5"
"Le'Veon Bell","NYJ","16.9","68.5","0.5","4.6","33.0","0.1","0.1","13.1"
"Marlon Mack","IND","18.1","77.5","0.7","1.8","12.3","0.0","0.1","12.9"
"Chase Edmonds","ARI","13.4","57.8","0.6","3.5","26.4","0.1","0.1","12.5"
"Sony Michel","NE","17.1","70.4","0.7","1.2","8.2","0.0","0.1","11.6"
"Tevin Coleman","SF","13.8","60.6","0.5","2.1","16.0","0.1","0.1","11.4"
"Josh Jacobs","OAK","14.8","64.0","0.5","1.9","14.6","0.1","0.1","11.1"
"Devonta Freeman","ATL","13.1","51.8","0.5","3.7","25.4","0.1","0.1","11.0"
"LeSean McCoy","KC","13.1","54.7","0.4","2.4","18.5","0.1","0.1","10.1"
"Phillip Lindsay","DEN","12.9","61.6","0.3","2.7","19.0","0.0","0.1","10.0"
"Ty Johnson","DET","14.3","60.4","0.3","2.0","16.3","0.1","0.1","9.8"
"Melvin Gordon","LAC","14.0","52.7","0.3","2.9","20.9","0.1","0.1","9.2"
"Carlos Hyde","HOU","15.0","59.3","0.5","1.1","6.0","0.0","0.1","9.2"
"David Montgomery","CHI","14.2","56.2","0.3","2.1","14.9","0.0","0.1","9.0"
"Austin Ekeler","LAC","5.7","25.3","0.1","5.4","47.8","0.2","0.1","8.9"
"Royce Freeman","DEN","11.3","49.6","0.2","3.6","23.5","0.0","0.1","8.8"
"James White","NE","4.3","17.7","0.1","5.2","42.8","0.4","0.1","8.8"
"Joe Mixon","CIN","13.3","51.5","0.2","2.3","17.2","0.1","0.1","8.3"
"Matt Breida","SF","10.6","53.4","0.2","1.9","14.5","0.1","0.1","8.1"
"Jordan Howard","PHI","13.4","54.0","0.2","1.1","8.3","0.0","0.1","7.6"
"Jamaal Williams","GB","9.3","38.3","0.1","3.1","23.3","0.1","0.1","7.5"
"Frank Gore","BUF","12.8","52.6","0.2","1.3","10.2","0.0","0.1","7.1"
"Miles Sanders","PHI","8.8","37.1","0.1","2.7","23.4","0.1","0.1","7.0"
"Ronald Jones II","TB","11.5","43.7","0.2","1.7","13.1","0.0","0.1","6.8"
"Kenyan Drake","MIA","7.3","30.9","0.1","3.5","30.2","0.1","0.1","6.7"
"Devin Singletary","BUF","8.1","34.9","0.2","2.5","19.7","0.1","0.1","6.7"
"J.D. McKissic","DET","6.4","30.4","0.1","2.3","20.3","0.1","0.1","6.1"
