,Player,Position,Salary,DK_Points,DK_Value
0,Philip Rivers,QB,5100,19.912000000000006,256.1269586179188
1,Jameis Winston,QB,6100,21.624000000000006,282.09396966333696
2,Ryan Fitzpatrick,QB,4800,16.548000000000002,290.065264684554
3,Russell Wilson,QB,7100,24.338,291.7248746815679
4,Derek Carr,QB,5500,18.078000000000003,304.2371943799092
5,Aaron Rodgers,QB,6900,22.666,304.4207182564193
6,Carson Wentz,QB,5700,18.458000000000002,308.809188427782
7,Matthew Stafford,QB,6800,21.246000000000002,320.0602466346606
8,Baker Mayfield,QB,5100,15.450000000000001,330.09708737864077
9,Josh Allen,QB,6500,19.648,330.82247557003257
10,Brandon Allen,QB,4100,12.382000000000001,331.1258278145695
11,Jacoby Brissett,QB,5600,16.632000000000005,336.7003367003366
12,Mitch Trubisky,QB,5000,14.748,339.02902088418773
13,Sam Darnold,QB,5900,17.387999999999998,339.3144697492524
14,Mason Rudolph,QB,5000,14.23,351.37034434293747
15,Kirk Cousins,QB,6700,18.764,357.0667235131102
16,Ryan Tannehill,QB,5300,14.718,360.1032749014812
17,Kyle Allen,QB,5200,14.274,364.29872495446267
18,Matt Moore,QB,4800,12.747999999999998,376.52965171007224
19,Patrick Mahomes,QB,7000,16.238,431.08757236112825
20,Matt Barkley,QB,4400,6.146,715.9127888057274
21,Dwayne Haskins,QB,4500,6.15,731.7073170731707
22,Marcus Mariota,QB,4900,6.418,763.47771891555
23,Derrick Henry,RB,5700,16.39,347.7730323367907
24,Nick Chubb,RB,7300,20.520000000000003,355.75048732943463
25,Phillip Lindsay,RB,5300,14.670000000000002,361.28152692569864
26,Dalvin Cook,RB,9500,25.8,368.2170542635659
27,Aaron Jones,RB,7000,18.62,375.9398496240601
28,Josh Jacobs,RB,6500,17.23,377.24898432965756
29,Austin Ekeler,RB,6000,15.85,378.54889589905366
30,Christian McCaffrey,RB,10000,26.070000000000004,383.58266206367466
31,Mark Walton,RB,4500,11.66,385.934819897084
32,Melvin Gordon,RB,5000,12.920000000000002,386.99690402476773
33,Le'Veon Bell,RB,7700,19.520000000000003,394.46721311475403
34,Royce Freeman,RB,4900,11.97,409.3567251461988
35,Chris Carson,RB,7200,17.55,410.2564102564102
36,David Montgomery,RB,5200,12.63,411.7181314330958
37,Frank Gore,RB,4300,10.31,417.07080504364694
38,Tarik Cohen,RB,4200,10.05,417.910447761194
39,Jordan Howard,RB,5100,11.82,431.4720812182741
40,Adrian Peterson,RB,4200,9.510000000000002,441.64037854889585
41,Jaylen Samuels,RB,4000,9.020000000000001,443.4589800443458
42,LeSean McCoy,RB,4800,10.57,454.1154210028382
43,Marlon Mack,RB,6300,13.819999999999999,455.8610709117222
44,Miles Sanders,RB,4600,9.86,466.53144016227185
45,Devin Singletary,RB,4700,10.0,470.0
46,Damien Williams,RB,4000,8.48,471.6981132075471
47,Peyton Barber,RB,3900,7.48,521.3903743315508
48,Jamaal Williams,RB,5900,10.860000000000001,543.2780847145488
49,James Conner,RB,7600,13.520000000000001,562.1301775147929
50,DeAndre Washington,RB,3000,5.16,581.3953488372093
51,Ty Johnson,RB,4900,7.430000000000001,659.4885598923283
52,Dare Ogunbowale,RB,3400,5.06,671.9367588932807
53,Nyheim Hines,RB,4200,6.14,684.0390879478828
54,Kalen Ballage,RB,4000,5.820000000000001,687.2852233676974
55,J.D. McKissic,RB,4100,5.01,818.3632734530938
56,Rashaad Penny,RB,4500,5.15,873.7864077669902
57,Alexander Mattison,RB,5000,5.3900000000000015,927.6437847866417
58,Preston Williams,WR,4200,12.14,345.9637561779242
59,Chris Godwin,WR,7300,18.709999999999997,390.16568679850354
60,Mike Evans,WR,7200,18.429999999999996,390.6673901247966
61,Jarvis Landry,WR,4500,11.479999999999999,391.9860627177701
62,Courtland Sutton,WR,5800,14.77,392.6878808395396
63,Cole Beasley,WR,4100,10.32,397.28682170542635
64,Alshon Jeffery,WR,5000,12.55,398.406374501992
65,Keenan Allen,WR,6400,16.049999999999997,398.75389408099693
66,Robby Anderson,WR,5500,13.63,403.5216434336023
67,Corey Davis,WR,4600,11.24,409.25266903914587
