week,player,position,no_ppr_proj_min,no_ppr_proj_mid,no_ppr_proj_max,half_ppr_proj_min,half_ppr_proj_mid,half_ppr_proj_max,full_ppr_proj_min,full_ppr_proj_mid,full_ppr_proj_max
1,Jimmy Garoppolo,QB,16.145,20.12,23.86,14.27,17.52,20.36,15.27,18.32,21.06
1,Matt Ryan,QB,20.904,22.7,24.84,16.924,18.8,21.14,17.924,19.6,21.74
1,Drew Brees,QB,18.079,22.652,26.644,15.974,18.952,23.644,16.774,19.552,23.644
1,Ryan Fitzpatrick,QB,12.768,17.307,23.48,11.168,15.142,19.38,12.568,16.242,20.38
1,Russell Wilson,QB,19.289,22.842,27.05,17.784,20.802,24.7,18.384,21.202,24.7
1,Carson Wentz,QB,15.864,20.474,24.24,14.564,18.194,20.74,15.564,18.894,21.34
1,Cam Newton,QB,14.634,19.805,26.29,13.334,18.18,23.19,14.434,19.18,24.09
1,Mitchell Trubisky,QB,13.04,17.49,24.64,11.84,15.99,20.84,12.84,16.79,21.54
1,Gardner Minshew,QB,12.956,18.613,23.56,11.456,16.578,20.86,12.456,17.378,21.26
1,Matthew Stafford,QB,17.901,19.707,23.53,15.256,17.192,21.08,16.156,17.692,21.08
1,Tom Brady,QB,17.151,20.622,24.5,14.856,17.732,21.5,15.756,18.232,21.5
1,Tyrod Taylor,QB,13.188,17.428,23.65,12.188,16.828,23.55,12.788,17.228,23.55
1,Philip Rivers,QB,15.853,18.599,21.55,14.068,16.144,18.6,15.068,17.044,19.3
1,Kirk Cousins,QB,14.47,17.646,20.473,13.17,16.226,18.788,14.17,16.926,19.388
1,Teddy Bridgewater,QB,12.47,18.14,23.758,10.22,16.49,22.448,12.12,17.29,22.448
1,Derek Carr,QB,14.15,17.984,22.125,12.3,15.954,19.9,13.1,16.554,19.9
1,Aaron Rodgers,QB,16.243,19.189,23.28,14.608,17.534,21.58,15.308,17.934,21.58
1,Josh Allen,QB,16.4,19.568,25.34,14.9,18.468,24.29,16.1,19.368,24.99
1,Kyler Murray,QB,14.884,19.113,24.08,13.684,17.828,22.38,14.684,18.628,23.08
1,Baker Mayfield,QB,13.361,16.96,19.99,11.716,14.76,17.04,12.916,15.86,18.04
1,Lamar Jackson,QB,18.608,23.962,31.09,17.608,23.162,30.94,18.308,23.662,30.94
1,Joe Burrow,QB,13.29,16.746,21.57,12.09,15.176,18.92,13.09,16.076,19.72
1,Dwayne Haskins,QB,10.326,13.732,18.11,8.126,12.432,16.16,10.126,13.532,16.86
1,Sam Darnold,QB,12.064,13.85,17.14,10.564,12.65,16.04,11.864,13.65,16.74
1,Boston Scott,RB,9.85,15.01,22.23,8.6,13.36,20.28,9.75,14.91,22.23
1,Antonio Gibson,RB,5.55,11.32,15.19,4.4,9.77,13.49,5.45,11.22,15.09
1,Josh Jacobs,RB,12.87,19.175,25.89,11.87,16.39,21.29,12.77,17.44,22.79
1,Alvin Kamara,RB,14.79,19.89,25.9,12.34,17.24,23.1,14.69,19.79,25.9
1,Chris Thompson,RB,6.36,10.79,15.6,4.91,8.59,12.75,6.26,10.69,15.6
1,Le'Veon Bell,RB,8.6,14.18,17.04,7.2,11.98,14.44,8.5,14.08,16.94
1,Joe Mixon,RB,12.41,16.96,22.45,11.41,15.46,19.88,12.31,16.86,21.88
1,Christian McCaffrey,RB,20.05,24.9,32.125,16.75,21.4,27.75,19.85,24.8,31.75
1,Kenyan Drake,RB,11.95,15.9,20.85,10.25,14,18.75,11.85,15.8,20.75
1,Mark Ingram,RB,9.37,13.61,19.3,8.67,12.51,17.7,9.27,13.51,19.2
1,Chris Carson,RB,11.56,14.91,20.35,10.36,13.71,18.2,11.36,14.81,19.5
1,Dalvin Cook,RB,14.6,18.89,27.02,12.55,16.89,22.67,14.4,18.79,24.67
1,Todd Gurley,RB,10.35,14.51,19.07,9.65,13.21,17.22,10.25,14.41,18.97
1,James Robinson,RB,6.46,9.44,13.04,5.71,8.39,11.34,6.36,9.34,12.94
1,Aaron Jones,RB,11.8,15.86,21.5,10.6,14.21,19.4,11.7,15.76,21.4
1,James White,RB,8.97,13.53,19.9,6.97,11.18,16.9,8.87,13.53,19.9
1,Kareem Hunt,RB,6.62,11.5,16.99,5.02,9.7,14.94,6.52,11.5,16.99
1,Raheem Mostert,RB,9,12.8,19.14,8.3,11.95,17.59,8.8,12.6,18.59
1,Tevin Coleman,RB,3.2,8.91,13.8,2.85,8.01,12.3,3.1,8.91,13.8
