,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RB,Christian McCaffrey (15033483),Christian McCaffrey,15033483,RB/FLEX,10000,LV@CAR 09/13/2020 01:00PM ET,CAR,30.95
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,WR,Michael Thomas (15033799),Michael Thomas,15033799,WR/FLEX,9000,TB@NO 09/13/2020 04:25PM ET,NO,24.62
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,QB,Lamar Jackson (15033397),Lamar Jackson,15033397,QB,8100,CLE@BAL 09/13/2020 01:00PM ET,BAL,29.85
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,RB,Dalvin Cook (15033485),Dalvin Cook,15033485,RB/FLEX,7900,GB@MIN 09/13/2020 01:00PM ET,MIN,21.62
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,WR,Julio Jones (15033801),Julio Jones,15033801,WR/FLEX,7700,SEA@ATL 09/13/2020 01:00PM ET,ATL,19.47
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,WR,Davante Adams (15033803),Davante Adams,15033803,WR/FLEX,7300,GB@MIN 09/13/2020 01:00PM ET,GB,20.96
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,RB,Alvin Kamara (15033487),Alvin Kamara,15033487,RB/FLEX,7200,TB@NO 09/13/2020 04:25PM ET,NO,17.94
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,TE,George Kittle (15034307),George Kittle,15034307,TE/FLEX,7200,ARI@SF 09/13/2020 04:25PM ET,SF,14.51
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,WR,Chris Godwin (15033805),Chris Godwin,15033805,WR/FLEX,7100,TB@NO 09/13/2020 04:25PM ET,TB,21.01
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,QB,Russell Wilson (15033398),Russell Wilson,15033398,QB,7000,SEA@ATL 09/13/2020 01:00PM ET,SEA,21.7
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,RB,Austin Ekeler (15033489),Austin Ekeler,15033489,RB/FLEX,7000,LAC@CIN 09/13/2020 04:05PM ET,LAC,20.19
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,WR,Mike Evans (15033807),Mike Evans,15033807,WR/FLEX,6900,TB@NO 09/13/2020 04:25PM ET,TB,18.59
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,RB,Aaron Jones (15033491),Aaron Jones,15033491,RB/FLEX,6900,GB@MIN 09/13/2020 01:00PM ET,GB,21.09
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,QB,Drew Brees (15033399),Drew Brees,15033399,QB,6800,TB@NO 09/13/2020 04:25PM ET,NO,21.22
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,RB,Josh Jacobs (15033493),Josh Jacobs,15033493,RB/FLEX,6800,LV@CAR 09/13/2020 01:00PM ET,LV,15.97
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,WR,DeAndre Hopkins (15033809),DeAndre Hopkins,15033809,WR/FLEX,6800,ARI@SF 09/13/2020 04:25PM ET,ARI,19.08
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,QB,Matt Ryan (15033400),Matt Ryan,15033400,QB,6700,SEA@ATL 09/13/2020 01:00PM ET,ATL,21.29
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,WR,Adam Thielen (15033811),Adam Thielen,15033811,WR/FLEX,6700,GB@MIN 09/13/2020 01:00PM ET,MIN,12.47
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,RB,Joe Mixon (15033495),Joe Mixon,15033495,RB/FLEX,6700,LAC@CIN 09/13/2020 04:05PM ET,CIN,14.84
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,WR,DJ Moore (15033813),DJ Moore,15033813,WR/FLEX,6600,LV@CAR 09/13/2020 01:00PM ET,CAR,16.23
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,WR,Allen Robinson II (15033815),Allen Robinson,15033815,WR/FLEX,6500,CHI@DET 09/13/2020 01:00PM ET,CHI,16.49
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,QB,Tom Brady (15033402),Tom Brady,15033402,QB,6500,TB@NO 09/13/2020 04:25PM ET,TB,17.36
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,WR,Tyler Lockett (15033817),Tyler Lockett,15033817,WR/FLEX,6500,SEA@ATL 09/13/2020 01:00PM ET,SEA,16.06
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,RB,Nick Chubb (15033497),Nick Chubb,15033497,RB/FLEX,6500,CLE@BAL 09/13/2020 01:00PM ET,CLE,17.45
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,QB,Josh Allen (15033401),Josh Allen,15033401,QB,6500,NYJ@BUF 09/13/2020 01:00PM ET,BUF,19.35
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,WR,Stefon Diggs (15033821),Stefon Diggs,15033821,WR/FLEX,6400,NYJ@BUF 09/13/2020 01:00PM ET,BUF,14.62
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,WR,Keenan Allen (15033819),Keenan Allen,15033819,WR/FLEX,6400,LAC@CIN 09/13/2020 04:05PM ET,LAC,16.72
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,QB,Kyler Murray (15033403),Kyler Murray,15033403,QB,6400,ARI@SF 09/13/2020 04:25PM ET,ARI,19.64
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,RB,Kenyan Drake (15033499),Kenyan Drake,15033499,RB/FLEX,6400,ARI@SF 09/13/2020 04:25PM ET,ARI,16.01
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,QB,Carson Wentz (15033405),Carson Wentz,15033405,QB,6300,PHI@WAS 09/13/2020 01:00PM ET,PHI,17.94
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,RB,Miles Sanders (15033501),Miles Sanders,15033501,RB/FLEX,6300,PHI@WAS 09/13/2020 01:00PM ET,PHI,13.73
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,QB,Aaron Rodgers (15033404),Aaron Rodgers,15033404,QB,6300,GB@MIN 09/13/2020 01:00PM ET,GB,18.81
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,WR,DJ Chark Jr. (15033823),DJ Chark,15033823,WR/FLEX,6300,IND@JAX 09/13/2020 01:00PM ET,JAC,15.65
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,QB,Matthew Stafford (15033406),Matthew Stafford,15033406,QB,6200,CHI@DET 09/13/2020 01:00PM ET,DET,23.32
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,WR,Kenny Golladay (15033825),Kenny Golladay,15033825,WR/FLEX,6200,CHI@DET 09/13/2020 01:00PM ET,DET,16.5
