QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank
Justin Herbert (15751354),Mike Davis (15751496),D'Andre Swift (15751460),Keenan Allen (15751648),Davante Adams (15751638),DeVante Parker (15751706),Austin Hooper (15751968),Aaron Jones (15751412),Rams  (15752149),50000.0,113.03042857142859,157.1747142857143,208.31,1006,1,50,1057,94
Justin Herbert (15751354),Mike Davis (15751496),D'Andre Swift (15751460),Keenan Allen (15751648),Davante Adams (15751638),Terry McLaurin (15751652),Austin Hooper (15751968),Duke Johnson (15751464),Rams  (15752149),49700.0,111.04042857142858,157.1247142857143,214.1,2799,2,1,2802,476
Justin Herbert (15751354),Mike Davis (15751496),D'Andre Swift (15751460),Keenan Allen (15751648),Davante Adams (15751638),Terry McLaurin (15751652),Austin Hooper (15751968),DeVante Parker (15751706),Rams  (15752149),49700.0,115.86042857142859,156.8947142857143,210.45999999999998,130,3,13,146,2
Justin Herbert (15751354),Mike Davis (15751496),Duke Johnson (15751464),Keenan Allen (15751648),Davante Adams (15751638),Terry McLaurin (15751652),Austin Hooper (15751968),DeVante Parker (15751706),Lions  (15752142),50000.0,114.05042857142858,156.79185714285717,211.06857142857143,524,4,7,535,30
Justin Herbert (15751354),Mike Davis (15751496),Duke Johnson (15751464),Keenan Allen (15751648),Davante Adams (15751638),DeVante Parker (15751706),Austin Hooper (15751968),Aaron Jones (15751412),Rams  (15752149),49900.0,110.72042857142858,156.71471428571428,209.19,3175,5,31,3211,593
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Keenan Allen (15751648),Davante Adams (15751638),Terry McLaurin (15751652),Austin Hooper (15751968),Jakeem Grant (15751800),Rams  (15752149),49700.0,112.3804285714286,156.65471428571428,205.79999999999998,1464,6,153,1623,200
Justin Herbert (15751354),Mike Davis (15751496),D'Andre Swift (15751460),Keenan Allen (15751648),Davante Adams (15751638),Terry McLaurin (15751652),Austin Hooper (15751968),DJ Moore (15751702),Rams  (15752149),49800.0,114.57042857142858,156.5747142857143,207.32999999999998,374,7,79,460,21
Justin Herbert (15751354),Mike Davis (15751496),D'Andre Swift (15751460),Keenan Allen (15751648),Davante Adams (15751638),Jakeem Grant (15751800),Darren Waller (15751946),Aaron Jones (15751412),Rams  (15752149),50000.0,113.72042857142858,156.52471428571428,206.24,643,8,122,773,54
Justin Herbert (15751354),Mike Davis (15751496),Duke Johnson (15751464),Keenan Allen (15751648),Davante Adams (15751638),Terry McLaurin (15751652),Austin Hooper (15751968),DeVante Parker (15751706),Rams  (15752149),49600.0,113.55042857142858,156.4347142857143,211.34,723,9,5,737,50
Justin Herbert (15751354),Mike Davis (15751496),Duke Johnson (15751464),Keenan Allen (15751648),Davante Adams (15751638),DJ Moore (15751702),Austin Hooper (15751968),Aaron Jones (15751412),Rams  (15752149),50000.0,109.43042857142858,156.3947142857143,206.06,5044,10,134,5188,1199
