,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
0,WR,Davante Adams (15751638),Davante Adams,15751638.0,WR/FLEX,9000.0,JAX@GB 11/15/2020 01:00PM ET,GB,29.58
1,RB,Christian McCaffrey (15751408),Christian McCaffrey,15751408.0,RB/FLEX,9000.0,TB@CAR 11/15/2020 01:00PM ET,CAR,30.13
2,RB,Alvin Kamara (15751410),Alvin Kamara,15751410.0,RB/FLEX,8200.0,SF@NO 11/15/2020 04:25PM ET,NO,26.82
3,QB,Kyler Murray (15751349),Kyler Murray,15751349.0,QB,8000.0,BUF@ARI 11/15/2020 04:05PM ET,ARI,31.44
4,QB,Aaron Rodgers (15751350),Aaron Rodgers,15751350.0,QB,7900.0,JAX@GB 11/15/2020 01:00PM ET,GB,24.83
5,QB,Russell Wilson (15751351),Russell Wilson,15751351.0,QB,7700.0,SEA@LAR 11/15/2020 04:25PM ET,SEA,31.64
6,WR,DeAndre Hopkins (15751640),DeAndre Hopkins,15751640.0,WR/FLEX,7700.0,BUF@ARI 11/15/2020 04:05PM ET,ARI,20.3
7,WR,DK Metcalf (15751642),DK Metcalf,15751642.0,WR/FLEX,7600.0,SEA@LAR 11/15/2020 04:25PM ET,SEA,22.6
8,QB,Josh Allen (15751352),Josh Allen,15751352.0,QB,7500.0,BUF@ARI 11/15/2020 04:05PM ET,BUF,26.62
9,WR,Stefon Diggs (15751644),Stefon Diggs,15751644.0,WR/FLEX,7500.0,BUF@ARI 11/15/2020 04:05PM ET,BUF,19.37
10,WR,Michael Thomas (15751646),Michael Thomas,15751646.0,WR/FLEX,7400.0,SF@NO 11/15/2020 04:25PM ET,NO,7.4
11,RB,Aaron Jones (15751412),Aaron Jones,15751412.0,RB/FLEX,7100.0,JAX@GB 11/15/2020 01:00PM ET,GB,21.82
12,WR,Keenan Allen (15751648),Keenan Allen,15751648.0,WR/FLEX,7100.0,LAC@MIA 11/15/2020 04:05PM ET,LAC,19.89
13,WR,Cooper Kupp (15751650),Cooper Kupp,15751650.0,WR/FLEX,6900.0,SEA@LAR 11/15/2020 04:25PM ET,LAR,15.12
14,QB,Deshaun Watson (15751353),Deshaun Watson,15751353.0,QB,6900.0,HOU@CLE 11/15/2020 01:00PM ET,HOU,24.47
15,RB,James Conner (15751414),James Conner,15751414.0,RB/FLEX,6900.0,CIN@PIT 11/15/2020 04:25PM ET,PIT,15.41
