,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Travis Kelce,KC,7.0,6.0,6.4,90.3,71.9,83.6,1.0,0.6,0.7,0.0,0.1,0.0,14.2,11.0,12.4,11,TE
1,Darren Waller,LV,7.2,5.3,6.1,78.6,52.3,64.9,1.0,0.3,0.5,0.0,0.1,0.1,13.5,7.6,9.4,11,TE
2,Mark Andrews,BAL,5.0,3.5,4.4,56.9,41.5,52.4,1.0,0.3,0.6,0.0,0.0,0.0,11.6,7.2,8.7,11,TE
3,TJ Hockenson,DET,6.0,4.0,4.6,57.3,43.1,49.3,1.0,0.4,0.6,0.0,0.0,0.0,11.7,7.0,8.3,11,TE
4,Eric Ebron,PIT,4.9,3.3,4.0,55.0,36.2,44.5,1.0,0.0,0.4,0.0,0.1,0.0,10.6,5.8,6.9,11,TE
5,Hunter Henry,LAC,4.7,3.8,4.2,56.6,41.9,47.9,0.4,0.0,0.3,0.0,0.1,0.0,7.2,4.7,6.5,11,TE
6,Dallas Goedert,PHI,4.8,3.3,4.0,49.8,35.9,43.2,0.4,0.0,0.3,0.0,0.1,0.0,6.2,4.8,5.9,11,TE
7,Hayden Hurst,ATL,4.6,3.7,4.2,53.6,38.8,46.5,0.3,0.0,0.2,0.0,0.0,0.0,6.8,4.7,5.8,11,TE
8,Rob Gronkowski,TB,4.0,2.6,3.2,62.1,33.5,43.1,0.4,0.0,0.2,0.0,0.0,0.0,6.7,3.9,5.7,11,TE
9,Noah Fant,DEN,4.8,3.5,3.9,59.6,40.6,46.2,0.3,0.0,0.2,0.0,0.1,0.0,6.0,4.7,5.5,11,TE
10,Austin Hooper,CLE,5.1,3.4,4.0,52.8,36.7,42.1,0.4,0.0,0.2,0.0,0.0,0.0,6.2,4.4,5.5,11,TE
11,Jonnu Smith,TEN,4.4,2.7,3.2,50.3,30.6,38.8,0.4,0.0,0.2,0.0,0.0,0.0,5.7,4.7,5.2,11,TE
12,Mike Gesicki,MIA,4.2,2.6,3.4,49.9,33.7,40.4,0.3,0.0,0.2,0.0,0.1,0.0,6.2,4.1,5.1,11,TE
13,Jared Cook,NO,4.0,1.4,2.8,51.4,20.9,36.5,0.5,0.0,0.2,0.0,0.1,0.0,6.8,3.1,4.9,11,TE
14,Logan Thomas,WAS,4.8,2.5,3.3,46.9,28.9,35.8,0.4,0.0,0.2,0.0,0.0,0.0,5.3,3.7,4.7,11,TE
15,Tyler Higbee,LAR,3.5,2.7,3.1,46.9,28.9,36.4,0.3,0.0,0.2,0.0,0.0,0.0,6.3,3.5,4.6,11,TE
16,Dalton Schultz,DAL,4.2,3.0,3.6,44.8,34.0,38.7,0.2,0.0,0.1,0.0,0.1,0.1,5.6,3.7,4.6,11,TE
17,Zach Ertz,PHI,3.4,3.4,3.4,31.8,31.8,31.8,0.2,0.2,0.2,0.0,0.0,0.0,4.4,4.4,4.4,11,TE
18,Robert Tonyan,GB,4.0,2.4,2.9,46.0,25.7,33.7,0.3,0.0,0.2,0.0,0.0,0.0,4.7,3.7,4.4,11,TE
19,Greg Olsen,SEA,2.5,2.0,2.3,30.4,21.7,26.3,0.3,0.0,0.2,0.0,0.0,0.0,4.6,2.8,3.6,11,TE
20,Trey Burton,IND,4.0,1.7,2.8,37.5,17.6,28.2,0.3,0.0,0.1,0.0,0.0,0.0,4.9,2.5,3.6,11,TE
21,Kyle Rudolph,MIN,3.5,1.7,2.3,34.1,17.7,25.1,0.3,0.0,0.2,0.0,0.0,0.0,4.0,2.1,3.5,11,TE
22,Tyler Eifert,JAC,3.0,2.1,2.6,32.4,21.5,28.0,0.2,0.0,0.1,0.0,0.0,0.0,4.4,2.8,3.4,11,TE
23,Gerald Everett,LAR,2.8,2.0,2.4,31.7,20.2,26.6,0.2,0.0,0.1,0.0,0.1,0.0,4.1,2.1,3.3,11,TE
24,Anthony Firkser,TEN,2.7,1.9,2.3,31.5,21.9,26.0,0.2,0.0,0.1,0.0,0.0,0.0,3.8,3.1,3.3,11,TE
25,Darren Fells,HOU,3.0,0.9,2.2,33.0,9.8,24.2,0.3,0.0,0.1,0.0,0.0,0.0,4.5,1.6,3.3,11,TE
26,Jordan Akins,HOU,2.8,2.0,2.3,32.4,20.9,25.7,0.2,0.0,0.1,0.0,0.0,0.0,3.8,2.1,3.1,11,TE
27,Irv Smith,MIN,2.6,1.0,1.9,30.3,11.4,21.3,0.4,0.0,0.2,0.0,0.0,0.0,5.4,1.6,3.1,11,TE
28,Mo Alie-Cox,IND,2.5,1.0,1.8,36.4,13.0,23.7,0.2,0.0,0.1,0.0,0.0,0.0,3.8,1.3,3.0,11,TE
29,Dan Arnold,ARI,2.1,1.0,1.7,30.2,16.0,22.2,0.2,0.0,0.1,0.0,0.0,0.0,3.6,1.6,2.8,11,TE
30,Drew Sample,CIN,3.7,1.8,2.4,31.3,18.2,22.6,0.2,0.0,0.1,0.0,0.0,0.0,3.0,2.5,2.8,11,TE
31,Richard Rodgers,PHI,3.0,0.7,1.9,34.3,8.6,20.9,0.2,0.0,0.1,0.0,0.0,0.0,4.6,0.9,2.6,11,TE
32,David Njoku,CLE,2.3,0.8,1.4,26.7,8.8,16.6,0.4,0.0,0.1,0.0,0.0,0.0,5.1,1.4,2.5,11,TE
33,Ian Thomas,CAR,3.2,1.0,2.0,28.4,10.8,18.9,0.2,0.0,0.1,0.0,0.0,0.0,3.7,1.3,2.5,11,TE
34,Harrison Bryant,CLE,2.2,1.0,1.5,24.7,11.0,17.5,0.3,0.0,0.1,0.0,0.1,0.0,3.9,1.5,2.5,11,TE
35,Jack Doyle,IND,2.2,1.0,1.7,25.5,14.7,18.7,0.3,0.0,0.1,0.0,0.1,0.1,4.4,1.5,2.4,11,TE
36,Jacob Hollister,SEA,2.7,0.7,1.6,24.0,6.7,15.1,0.3,0.0,0.1,0.0,0.0,0.0,3.1,1.3,2.3,11,TE
37,Durham Smythe,MIA,2.6,1.3,1.6,23.5,11.9,15.7,0.2,0.0,0.1,0.0,0.0,0.0,2.4,1.6,2.2,11,TE
38,Ryan Izzo,NE,1.5,1.2,1.3,20.8,14.0,17.4,0.2,0.0,0.1,0.0,0.1,0.0,2.6,1.8,2.1,11,TE
39,Chris Herndon,NYJ,2.3,1.0,1.7,25.7,14.5,17.7,0.1,0.0,0.1,0.0,0.2,0.1,2.3,1.6,2.0,11,TE
40,Adam Shaheen,MIA,1.8,0.9,1.2,18.0,9.1,12.3,0.2,0.1,0.1,0.0,0.0,0.0,2.8,1.4,2.0,11,TE
41,Cameron Brate,TB,2.3,0.9,1.4,24.9,8.3,13.7,0.1,0.1,0.1,0.0,0.0,0.0,2.1,1.4,1.9,11,TE
42,Jesse James,DET,1.8,0.6,1.4,19.7,6.6,14.7,0.1,0.0,0.1,0.0,0.0,0.0,2.6,1.0,1.9,11,TE
43,Will Dissly,SEA,1.8,0.6,1.1,23.3,6.6,14.2,0.2,0.0,0.1,0.0,0.0,0.0,2.5,1.2,1.9,11,TE
44,Virgil Green,LAC,1.9,0.1,1.0,22.6,0.5,11.6,0.3,0.0,0.2,0.1,0.1,0.1,4.1,0.1,1.9,11,TE
45,Donald Parham,LAC,1.8,0.7,1.1,19.5,8.9,13.3,0.1,0.0,0.1,0.0,0.0,0.0,1.9,1.5,1.8,11,TE
46,Ryan Griffin,NYJ,1.9,1.1,1.4,19.2,10.3,13.2,0.1,0.0,0.1,0.0,0.0,0.0,1.9,1.5,1.8,11,TE
47,Foster Moreau,LV,1.8,0.8,1.2,17.3,8.6,12.0,0.2,0.0,0.1,0.0,0.0,0.0,2.2,1.4,1.8,11,TE
48,Troy Fumagalli,DEN,1.4,1.3,1.3,14.6,14.1,14.3,0.1,0.0,0.1,0.0,0.0,0.0,2.1,2.1,1.7,11,TE
49,Sean Culkin,BAL,1.2,1.2,1.2,13.3,12.9,13.1,0.1,0.0,0.1,0.0,0.0,0.0,2.0,2.0,1.6,11,TE
50,Maxx Williams,ARI,2.0,0.8,1.2,18.1,7.4,11.8,0.1,0.0,0.1,0.0,0.0,0.0,1.8,1.1,1.6,11,TE
51,Vance McDonald,PIT,1.9,0.6,1.2,18.5,5.3,12.4,0.1,0.0,0.1,0.0,0.0,0.0,2.5,0.9,1.6,11,TE
52,Ben Ellefson,JAC,1.3,1.2,1.2,13.6,13.5,13.5,0.1,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.5,11,TE
53,Jason Witten,LV,2.1,0.7,1.2,18.4,5.3,10.5,0.1,0.0,0.1,0.0,0.0,0.0,1.7,1.1,1.5,11,TE
54,Tyler Conklin,MIN,1.7,0.6,1.1,16.1,5.7,10.5,0.1,0.0,0.1,0.0,0.0,0.0,1.6,1.2,1.4,11,TE
55,Marcedes Lewis,GB,1.6,0.4,1.0,16.9,4.4,9.6,0.2,0.0,0.1,0.0,0.0,0.0,2.2,0.7,1.4,11,TE
56,Gabe Nabers,LAC,1.3,1.3,1.3,14.1,14.1,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,11,TE
57,Jace Sternberger,GB,1.7,0.6,1.0,18.7,6.0,10.2,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.8,1.4,11,TE
58,Farrod Green,IND,0.7,0.7,0.7,7.4,7.4,7.4,0.1,0.1,0.1,0.0,0.0,0.0,1.3,1.3,1.3,11,TE
59,Brycen Hopkins,LAR,0.7,0.7,0.7,7.3,7.3,7.3,0.1,0.1,0.1,0.0,0.0,0.0,1.3,1.3,1.3,11,TE
