,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank,FPTS,%Drafted
0,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Diontae Johnson (15355932),Jets  (15356411),49800.0,125.03385714285713,157.38957142857143,199.40485714285717,3,1,155,159,5,126.49999999999999,43.28999999999999
1,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Diontae Johnson (15355932),Dolphins  (15356409),49900.0,125.57671428571429,157.20385714285715,199.1334285714286,1,2,187,190,7,124.49999999999999,44.651111111111106
2,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Mike Williams (15355946),Jets  (15356411),50000.0,125.11385714285713,156.7295714285714,200.88485714285716,2,3,69,74,3,117.3,40.871111111111105
3,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Mike Williams (15355946),Cardinals  (15356396),50000.0,123.68671428571429,156.62385714285716,201.16485714285716,12,4,58,74,4,106.1,28.534444444444446
4,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),Melvin Gordon III (15355634),Jets  (15356411),49900.0,122.17385714285713,156.27957142857142,196.84485714285717,39,5,446,490,45,122.89999999999998,36.27333333333333
5,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Mike Williams (15355946),Jets  (15356411),49500.0,123.81385714285713,156.2295714285714,201.94485714285716,10,6,36,52,1,106.69999999999999,39.15555555555555
6,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),Melvin Gordon III (15355634),Dolphins  (15356409),50000.0,122.71671428571429,156.09385714285713,196.5734285714286,21,7,495,523,52,120.89999999999998,37.63444444444444
7,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Mike Williams (15355946),Dolphins  (15356409),49600.0,124.35671428571429,156.04385714285712,201.67342857142862,6,8,42,56,2,104.69999999999999,40.516666666666666
8,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Adam Humphries (15356020),Cardinals  (15356396),49700.0,122.17671428571428,156.00385714285716,196.89485714285718,38,9,440,487,44,124.09999999999998,36.58333333333333
9,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Melvin Gordon III (15355634),Jets  (15356411),49800.0,119.77685714285715,155.9075714285714,203.11585714285718,191,10,9,210,10,109.03999999999999,45.79111111111111
