,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
0,0,0,0,0,0,0,RB,Christian McCaffrey (15560280),Christian McCaffrey,15560280.0,RB/FLEX,8600.0,CAR@ATL 10/11/2020 01:00PM ET,CAR,26.65
1,1,1,1,1,1,1,WR,DeAndre Hopkins (15560510),DeAndre Hopkins,15560510.0,WR/FLEX,7900.0,ARI@NYJ 10/11/2020 01:00PM ET,ARI,22.68
2,2,2,2,2,2,2,QB,Lamar Jackson (15560217),Lamar Jackson,15560217.0,QB,7900.0,CIN@BAL 10/11/2020 01:00PM ET,BAL,21.56
3,3,3,3,3,3,3,RB,Ezekiel Elliott (15560282),Ezekiel Elliott,15560282.0,RB/FLEX,7800.0,NYG@DAL 10/11/2020 04:25PM ET,DAL,22.55
4,4,4,4,4,4,4,QB,Patrick Mahomes (15560218),Patrick Mahomes,15560218.0,QB,7700.0,LV@KC 10/11/2020 01:00PM ET,KC,28.54
5,5,5,5,5,5,5,WR,Calvin Ridley (15560512),Calvin Ridley,15560512.0,WR/FLEX,7500.0,CAR@ATL 10/11/2020 01:00PM ET,ATL,22.38
6,6,6,6,6,6,6,QB,Josh Allen (15560219),Josh Allen,15560219.0,QB,7500.0,Postponed,BUF,33.08
7,7,7,7,7,7,7,QB,Dak Prescott (15560220),Dak Prescott,15560220.0,QB,7400.0,NYG@DAL 10/11/2020 04:25PM ET,DAL,34.3
8,8,8,8,8,8,8,WR,Amari Cooper (15560514),Amari Cooper,15560514.0,WR/FLEX,7400.0,NYG@DAL 10/11/2020 04:25PM ET,DAL,22.78
9,9,9,9,9,9,9,QB,Kyler Murray (15560221),Kyler Murray,15560221.0,QB,7200.0,ARI@NYJ 10/11/2020 01:00PM ET,ARI,27.32
10,10,10,10,10,10,10,RB,Derrick Henry (15560284),Derrick Henry,15560284.0,RB/FLEX,7000.0,Postponed,TEN,19.17
11,11,11,11,11,11,11,WR,Stefon Diggs (15560516),Stefon Diggs,15560516.0,WR/FLEX,7000.0,Postponed,BUF,21.08
12,12,12,12,12,12,12,RB,James Conner (15560286),James Conner,15560286.0,RB/FLEX,6900.0,PHI@PIT 10/11/2020 01:00PM ET,PIT,18.23
13,13,13,13,13,13,13,QB,Deshaun Watson (15560222),Deshaun Watson,15560222.0,QB,6900.0,JAX@HOU 10/11/2020 01:00PM ET,HOU,19.87
14,14,14,14,14,14,14,WR,Tyreek Hill (15560518),Tyreek Hill,15560518.0,WR/FLEX,6900.0,LV@KC 10/11/2020 01:00PM ET,KC,18.75
15,15,15,15,15,15,15,WR,Julio Jones (15560520),Julio Jones,15560520.0,WR/FLEX,6800.0,CAR@ATL 10/11/2020 01:00PM ET,ATL,13.1
16,16,16,16,16,16,16,RB,Clyde Edwards-Helaire (15560288),Clyde Edwards-Helaire,15560288.0,RB/FLEX,6800.0,LV@KC 10/11/2020 01:00PM ET,KC,16.58
17,17,17,17,17,17,17,QB,Cam Newton (15589129),Cam Newton,15589129.0,QB,6700.0,Postponed,NE,25.49
18,18,18,18,18,18,18,WR,JuJu Smith-Schuster (15560522),JuJu Smith-Schuster,15560522.0,WR/FLEX,6700.0,PHI@PIT 10/11/2020 01:00PM ET,PIT,17.67
19,19,19,19,19,19,19,RB,James Robinson (15560290),James Robinson,15560290.0,RB/FLEX,6700.0,JAX@HOU 10/11/2020 01:00PM ET,JAC,19.9
20,20,20,20,20,20,20,QB,Ben Roethlisberger (15560223),Ben Roethlisberger,15560223.0,QB,6600.0,PHI@PIT 10/11/2020 01:00PM ET,PIT,21.16
21,21,21,21,21,21,21,WR,Will Fuller V (15560524),Will Fuller,15560524.0,WR/FLEX,6600.0,JAX@HOU 10/11/2020 01:00PM ET,HOU,15.85
22,22,22,22,22,22,22,TE,George Kittle (15560848),George Kittle,15560848.0,TE/FLEX,6600.0,MIA@SF 10/11/2020 04:05PM ET,SF,26.2
23,23,23,23,23,23,23,QB,Jared Goff (15560224),Jared Goff,15560224.0,QB,6500.0,LAR@WAS 10/11/2020 01:00PM ET,LAR,19.6
