,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
0,0,0,0,RB,Christian McCaffrey (15607591),Christian McCaffrey,15607591.0,RB/FLEX,8500.0,CHI@CAR 10/18/2020 01:00PM ET,CAR,26.65
1,1,1,1,RB,Dalvin Cook (15607593),Dalvin Cook,15607593.0,RB/FLEX,8000.0,ATL@MIN 10/18/2020 01:00PM ET,MIN,24.06
2,2,2,2,WR,Davante Adams (15607803),Davante Adams,15607803.0,WR/FLEX,8000.0,GB@TB 10/18/2020 04:25PM ET,GB,25.6
3,3,3,3,WR,Calvin Ridley (15607805),Calvin Ridley,15607805.0,WR/FLEX,7800.0,ATL@MIN 10/18/2020 01:00PM ET,ATL,22.82
4,4,4,4,QB,Lamar Jackson (15607534),Lamar Jackson,15607534.0,QB,7700.0,BAL@PHI 10/18/2020 01:00PM ET,BAL,20.15
5,5,5,5,RB,Aaron Jones (15607595),Aaron Jones,15607595.0,RB/FLEX,7600.0,GB@TB 10/18/2020 04:25PM ET,GB,26.22
6,6,6,6,QB,Aaron Rodgers (15607535),Aaron Rodgers,15607535.0,QB,7500.0,GB@TB 10/18/2020 04:25PM ET,GB,27.52
7,7,7,7,WR,Adam Thielen (15607807),Adam Thielen,15607807.0,WR/FLEX,7300.0,ATL@MIN 10/18/2020 01:00PM ET,MIN,22.18
8,8,8,8,RB,Derrick Henry (15607597),Derrick Henry,15607597.0,RB/FLEX,7300.0,HOU@TEN 10/18/2020 01:00PM ET,TEN,19.2
9,9,9,9,RB,Alexander Mattison (15607599),Alexander Mattison,15607599.0,RB/FLEX,7200.0,ATL@MIN 10/18/2020 01:00PM ET,MIN,8.92
10,10,10,10,RB,James Conner (15607601),James Conner,15607601.0,RB/FLEX,7100.0,CLE@PIT 10/18/2020 01:00PM ET,PIT,17.5
11,11,11,11,RB,Mike Davis (15607603),Mike Davis,15607603.0,RB/FLEX,7000.0,CHI@CAR 10/18/2020 01:00PM ET,CAR,18.12
