,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Alvin Kamara,NO,16.0,10.7,13.2,69.7,57.7,64.8,1.0,0.6,0.8,7.4,5.6,6.5,59.0,50.7,55.0,0.4,0.0,0.3,0.0,0.2,0.1,18.7,16.8,18.0,7,RB
1,Derrick Henry,TEN,21.5,18.1,20.4,102.3,85.9,93.9,1.2,0.7,0.9,3.0,1.1,1.9,20.0,11.1,15.9,0.1,0.0,0.0,0.1,0.2,0.1,19.1,14.5,16.7,7,RB
2,Kareem Hunt,CLE,20.0,12.9,17.4,95.0,69.5,81.4,1.0,0.5,0.7,4.0,2.6,3.2,34.7,23.8,27.7,0.4,0.0,0.2,0.0,0.2,0.1,18.1,15.0,16.6,7,RB
3,Ezekiel Elliott,DAL,20.6,19.0,19.7,94.9,66.5,83.7,1.0,0.5,0.7,5.0,3.1,3.7,33.0,22.3,28.2,0.1,0.0,0.1,0.1,0.4,0.2,17.7,13.7,15.8,7,RB
4,Mike Davis,CAR,19.0,12.7,16.2,74.0,59.5,66.0,1.0,0.4,0.6,5.0,4.0,4.6,36.4,30.4,33.5,0.3,0.0,0.2,0.1,0.2,0.1,16.9,13.3,14.6,7,RB
5,James Conner,PIT,21.0,13.5,15.8,83.0,62.4,69.1,1.0,0.5,0.7,4.4,2.4,3.0,26.6,18.3,22.0,0.2,0.0,0.1,0.1,0.2,0.1,16.6,12.1,13.8,7,RB
6,Chris Carson,SEA,18.3,13.0,15.7,85.8,57.4,68.9,1.0,0.4,0.6,4.0,2.8,3.4,28.0,18.6,24.3,0.3,0.0,0.2,0.1,0.2,0.1,15.6,11.7,13.7,7,RB
7,Josh Jacobs,LV,19.6,18.0,19.0,93.0,58.8,74.4,1.0,0.4,0.7,2.9,2.0,2.5,22.7,16.5,19.2,0.1,0.0,0.1,0.1,0.2,0.1,15.3,11.5,13.5,7,RB
8,Todd Gurley,ATL,16.2,13.4,15.2,72.3,60.6,64.3,1.0,0.6,0.8,3.6,1.7,2.3,25.7,13.8,17.8,0.2,0.0,0.1,0.1,0.2,0.1,14.0,11.3,13.1,7,RB
9,Clyde Edwards-Helaire,KC,17.1,11.9,14.8,78.5,54.1,66.8,1.0,0.4,0.5,3.3,2.8,3.0,32.3,22.3,26.4,0.2,0.0,0.1,0.0,0.2,0.1,14.9,11.2,13.1,7,RB
10,David Johnson,HOU,16.3,15.2,15.8,74.3,58.6,63.4,1.0,0.4,0.6,3.7,2.3,2.7,38.0,18.0,24.9,0.2,0.0,0.1,0.1,0.2,0.1,14.3,12.2,12.9,7,RB
11,Ronald Jones,TB,17.0,13.6,15.1,73.0,61.9,68.7,1.0,0.5,0.7,3.2,2.0,2.5,25.1,14.0,19.8,0.1,0.0,0.1,0.1,0.2,0.1,14.7,12.0,12.9,7,RB
12,James Robinson,JAC,17.0,14.5,15.2,69.1,61.3,64.0,1.0,0.2,0.5,3.6,2.7,3.2,35.9,21.5,26.5,0.2,0.0,0.1,0.0,0.2,0.1,14.9,10.6,12.7,7,RB
13,Jamaal Williams,GB,18.0,9.4,13.0,71.0,40.6,55.1,1.0,0.2,0.5,4.0,2.8,3.5,36.0,23.4,28.0,0.3,0.0,0.1,0.0,0.1,0.0,16.7,8.2,12.0,7,RB
14,Kenyan Drake,ARI,15.0,12.2,14.3,68.7,60.0,65.3,1.0,0.5,0.6,3.1,1.0,1.7,26.7,5.0,12.9,0.1,0.0,0.1,0.1,0.2,0.1,12.5,11.1,11.9,7,RB
15,David Montgomery,CHI,16.5,15.0,16.0,67.4,53.2,61.1,1.0,0.3,0.5,4.2,2.0,2.7,31.2,17.8,21.2,0.2,0.0,0.1,0.1,0.2,0.1,14.4,9.5,11.7,7,RB
16,Jerick McKinnon,SF,15.0,9.4,12.7,66.0,46.0,57.5,1.0,0.2,0.4,4.3,2.6,3.3,33.0,22.5,26.8,0.2,0.0,0.1,0.1,0.2,0.1,14.9,10.2,11.6,7,RB
17,Antonio Gibson,WAS,15.9,11.9,13.8,69.1,20.7,53.5,1.0,0.1,0.6,3.2,2.5,2.9,27.7,17.9,23.4,0.1,0.0,0.1,0.0,0.2,0.1,14.3,6.4,11.4,7,RB
18,Devin Singletary,BUF,15.0,11.8,13.0,69.6,52.0,60.3,1.0,0.2,0.4,3.4,2.0,2.7,25.6,18.4,21.7,0.2,0.0,0.1,0.1,0.1,0.1,14.5,8.6,11.1,7,RB
19,Melvin Gordon,DEN,16.0,12.3,14.2,67.4,51.3,58.8,1.0,0.3,0.5,3.4,2.3,2.7,22.7,16.1,19.0,0.1,0.0,0.1,0.1,0.2,0.1,14.3,9.3,10.9,7,RB
20,Giovani Bernard,CIN,16.0,8.1,12.8,65.0,33.7,49.8,1.0,0.3,0.5,3.7,3.0,3.5,34.1,22.1,26.9,0.1,0.0,0.1,0.0,0.2,0.1,15.0,9.9,10.9,7,RB
21,Darrell Henderson,LAR,14.6,12.8,13.9,88.4,58.1,66.4,0.6,0.0,0.3,3.0,0.7,1.6,23.7,8.6,15.5,0.1,0.0,0.0,0.0,0.1,0.0,11.7,8.4,10.5,7,RB
22,Devonta Freeman,NYG,15.4,13.5,14.4,63.0,44.6,54.7,1.0,0.3,0.4,3.4,2.0,2.6,24.8,16.2,19.6,0.1,0.0,0.1,0.1,0.2,0.1,14.0,8.5,10.4,7,RB
23,Justin Jackson,LAC,16.0,8.7,13.3,68.3,48.3,60.0,0.5,0.0,0.3,3.1,2.0,2.6,29.3,13.2,20.6,0.2,0.0,0.1,0.0,0.2,0.1,11.8,8.0,10.0,7,RB
24,D'Andre Swift,DET,11.0,8.0,9.6,47.0,28.4,39.5,0.5,0.0,0.3,4.4,2.9,3.5,44.4,25.0,31.6,0.3,0.0,0.2,0.0,0.1,0.1,13.3,7.2,9.9,7,RB
25,Boston Scott,PHI,12.0,9.9,11.5,53.1,39.5,47.2,0.5,0.0,0.3,4.5,2.4,3.1,43.4,20.0,25.3,0.1,0.0,0.0,0.0,0.2,0.1,10.2,6.9,9.2,7,RB
26,Adrian Peterson,DET,16.9,11.1,13.1,66.0,43.6,51.4,1.0,0.2,0.4,1.7,0.3,1.1,11.4,3.0,7.6,0.1,0.0,0.0,0.1,0.2,0.1,11.7,7.0,8.5,7,RB
27,Damien Harris,NE,16.0,9.6,11.9,62.0,43.9,50.1,1.0,0.0,0.4,2.6,0.4,1.1,14.1,3.0,6.5,0.1,0.0,0.0,0.1,0.1,0.1,12.5,6.9,7.9,7,RB
28,Joshua Kelley,LAC,14.2,9.0,11.3,58.5,35.7,46.1,0.4,0.0,0.3,2.6,0.3,1.4,17.3,3.2,10.2,0.1,0.0,0.0,0.1,0.2,0.1,10.1,4.1,7.3,7,RB
29,Latavius Murray,NO,12.8,9.0,10.3,50.9,34.2,42.7,0.5,0.0,0.3,2.2,1.3,1.6,14.0,9.4,11.5,0.0,0.0,0.0,0.0,0.1,0.0,8.6,5.5,7.2,7,RB
30,James White,NE,4.8,3.0,4.1,19.9,11.0,16.3,0.2,0.0,0.1,7.0,3.7,4.8,47.0,30.6,38.0,0.2,0.0,0.1,0.0,0.1,0.0,7.4,5.8,6.6,7,RB
31,Phillip Lindsay,DEN,12.5,8.2,9.8,56.9,32.0,44.0,0.2,0.0,0.2,2.6,1.0,1.7,17.0,8.3,11.3,0.0,0.0,0.0,0.0,0.1,0.0,8.1,5.4,6.5,7,RB
