,Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier,FPTS,%Drafted,Real_Value
0,Derek Carr,LV,QB,5500.0,Derek Carr (15677059),21.06,14.394,19.962,23.201,12.894,17.372,19.956000000000003,13.894,18.072,20.555999999999997,382.1036543004029,275.5234946398157,237.05874746778161,9,4,1,1,1,5,12.58,3.39,437.2019077901431
1,Jimmy Garoppolo,SF,QB,5400.0,Jimmy Garoppolo (15677060),13.32,15.633999999999995,19.384,22.304000000000002,13.403999999999998,16.654000000000003,18.974,14.703999999999995,17.654000000000003,19.774,345.4010489957785,278.5802723895997,242.10903873744618,10,4,2,1,1,5,2.76,60.18,1956.521739130435
2,Joe Burrow,CIN,QB,6200.0,Joe Burrow (15677051),22.0,17.529000000000003,21.55,25.7,15.024000000000004,18.399999999999995,22.25,16.124000000000002,19.399999999999995,23.05,353.69958354726447,287.70301624129934,241.24513618677048,4,3,3,1,1,4,18.86,6.84,328.73806998939557
3,Russell Wilson,SEA,QB,7800.0,Russell Wilson (15677041),32.55,21.315999999999995,26.309999999999995,31.52,18.796,23.31,28.42,19.596,23.91,28.42,365.92231187840133,296.4652223489168,247.4619289340102,2,1,4,2,1,3,28.74,12.7,271.3987473903967
4,Patrick Mahomes,KC,QB,8100.0,Patrick Mahomes (15677040),25.78,20.660000000000004,26.842,32.251999999999995,18.510000000000005,23.802,29.252,19.210000000000004,24.302,29.252,392.06195546950624,301.7658892779972,251.14721567654723,1,1,5,2,1,3,39.64,2.58,204.33905146316852
5,Cam Newton,NE,QB,5700.0,Cam Newton (15677056),19.95,13.5,17.823999999999995,23.158,12.1,16.724,22.258000000000003,13.3,17.724,23.058000000000003,422.22222222222223,319.7935368043088,246.13524483979617,14,5,6,3,3,8,19.36,0.14,294.4214876033058
6,Ryan Tannehill,TEN,QB,6800.0,Ryan Tannehill (15677046),23.97,15.485999999999999,20.978,26.675,14.186000000000002,19.068000000000005,23.25,15.186000000000002,19.768000000000004,23.85,439.10628955185325,324.14910858995137,254.92033739456426,8,3,7,4,3,7,18.32,2.79,371.17903930131
7,Justin Herbert,LAC,QB,6900.0,Justin Herbert (15677045),27.76,16.885999999999996,21.224,24.41,15.166,18.744,21.610000000000007,16.165999999999997,19.544,22.21,408.6225275376052,325.1036562382209,282.67103646046706,7,3,8,4,3,7,23.22,2.91,297.1576227390181
8,Aaron Rodgers,GB,QB,7600.0,Aaron Rodgers (15677042),23.86,19.465999999999994,23.330000000000005,29.750000000000004,17.746,20.980000000000004,26.750000000000004,18.246,21.380000000000006,26.750000000000004,390.4243296003289,325.7608229747106,255.46218487394955,3,2,9,4,2,6,23.54,2.29,322.8547153780799
9,Josh Allen,BUF,QB,7000.0,Josh Allen (15677044),26.73,15.368,21.386999999999997,28.46,13.767999999999999,19.672,25.26,15.068,20.572,25.96,455.4919312857887,327.30163183242155,245.95924104005618,5,3,10,4,3,7,13.46,0.84,520.0594353640415
10,Philip Rivers,IND,QB,5900.0,Philip Rivers (15677054),15.32,15.35,17.97,21.32,13.4,15.97,19.820000000000004,14.4,16.67,19.820000000000004,384.3648208469056,328.3249860879244,276.7354596622889,13,5,11,4,4,9,22.28,0.12,264.81149012567323
11,Jared Goff,LAR,QB,6500.0,Jared Goff (15677048),19.94,14.758,19.258,23.47,13.558,16.848000000000006,20.22,14.558,17.648,20.92,440.4390838867055,337.52206875064917,276.9492969748615,11,4,12,5,4,9,17.2,0.69,377.90697674418607
12,Matthew Stafford,DET,QB,6400.0,Matthew Stafford (15677049),18.48,13.162,18.507,22.660999999999994,11.872,16.342000000000002,20.416,12.772,16.942,20.416,486.24829053335367,345.815096990328,282.4235470632365,12,5,13,5,5,10,27.44,0.37,233.23615160349854
13,Lamar Jackson,BAL,QB,7400.0,Lamar Jackson (15677043),22.0,15.392000000000001,21.348000000000006,28.738000000000003,14.092,20.448,28.238000000000003,15.092,21.148000000000003,28.638,480.76923076923083,346.63668727749666,257.49878210035496,6,3,14,5,3,8,18.82,0.76,393.1987247608927
14,Tua Tagovailoa,MIA,QB,5600.0,Tua Tagovailoa (15677057),0.36,12.085999999999999,15.803,19.935,10.686,14.568,18.56,11.786,15.468,19.26,463.34602018864797,354.3630956147568,280.9129671432155,19,7,15,6,6,13,6.72,0.35,833.3333333333334
15,Drew Brees,NO,QB,6300.0,Drew Brees (15677050),20.45,12.84,17.625999999999994,21.768,11.84,16.206,20.008,12.64,16.706,20.008,490.6542056074766,357.42652899126296,289.4156560088204,15,5,16,6,5,11,19.6,0.11,321.4285714285714
16,Kirk Cousins,MIN,QB,6000.0,Kirk Cousins (15677053),17.75,13.64,16.778999999999996,22.46,12.240000000000002,15.324000000000002,19.310000000000006,13.340000000000002,16.124000000000002,20.01,439.88269794721407,357.58984444841775,267.14158504007116,17,6,17,6,6,12,10.4,0.61,576.9230769230769
17,Baker Mayfield,CLE,QB,6100.0,Baker Mayfield (15677052),16.04,11.118000000000002,16.686,20.831,9.718,15.585999999999999,18.736,10.918,16.586000000000002,19.535999999999998,548.6598309048388,365.575931918974,292.83279727329466,18,6,18,7,6,13,7.78,0.56,784.0616966580976
18,Sam Darnold,NYJ,QB,4800.0,Sam Darnold (15677067),12.04,9.68,13.08,15.534,7.48,11.88,14.534,9.48,12.98,15.434,495.8677685950413,366.9724770642202,308.9996137504828,22,8,19,7,7,15,7.42,0.07,646.9002695417789
19,Nick Foles,CHI,QB,5800.0,Nick Foles (15677055),13.89,11.7,15.38,20.714000000000002,10.1,13.98,18.834000000000003,11.4,14.98,19.534000000000002,495.72649572649584,377.11313394018214,280.0038621222361,20,7,20,8,7,15,17.88,1.02,324.38478747203584
