,Unnamed: 0,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
0,0,WR,Davante Adams (15677315),Davante Adams,15677315.0,WR/FLEX,8800.0,MIN@GB 11/01/2020 01:00PM ET,GB,27.72
1,1,RB,Alvin Kamara (15677097),Alvin Kamara,15677097.0,RB/FLEX,8200.0,NO@CHI 11/01/2020 04:25PM ET,NO,28.9
2,2,QB,Patrick Mahomes (15677040),Patrick Mahomes,15677040.0,QB,8100.0,NYJ@KC 11/01/2020 01:00PM ET,KC,25.78
3,3,RB,Derrick Henry (15677099),Derrick Henry,15677099.0,RB/FLEX,8000.0,TEN@CIN 11/01/2020 01:00PM ET,TEN,22.57
4,4,QB,Russell Wilson (15677041),Russell Wilson,15677041.0,QB,7800.0,SF@SEA 11/01/2020 04:25PM ET,SEA,32.55
5,5,QB,Aaron Rodgers (15677042),Aaron Rodgers,15677042.0,QB,7600.0,MIN@GB 11/01/2020 01:00PM ET,GB,23.86
6,6,RB,Dalvin Cook (15677101),Dalvin Cook,15677101.0,RB/FLEX,7500.0,MIN@GB 11/01/2020 01:00PM ET,MIN,24.06
7,7,WR,DK Metcalf (15677317),DK Metcalf,15677317.0,WR/FLEX,7500.0,SF@SEA 11/01/2020 04:25PM ET,SEA,18.48
8,8,QB,Lamar Jackson (15677043),Lamar Jackson,15677043.0,QB,7400.0,PIT@BAL 11/01/2020 01:00PM ET,BAL,22.0
9,9,RB,Aaron Jones (15677103),Aaron Jones,15677103.0,RB/FLEX,7300.0,MIN@GB 11/01/2020 01:00PM ET,GB,23.6
10,10,WR,Michael Thomas (15677319),Michael Thomas,15677319.0,WR/FLEX,7300.0,NO@CHI 11/01/2020 04:25PM ET,NO,4.7
11,11,WR,Adam Thielen (15677321),Adam Thielen,15677321.0,WR/FLEX,7200.0,MIN@GB 11/01/2020 01:00PM ET,MIN,20.83
12,12,WR,Tyler Lockett (15677323),Tyler Lockett,15677323.0,WR/FLEX,7100.0,SF@SEA 11/01/2020 04:25PM ET,SEA,24.53
13,13,WR,Allen Robinson II (15677325),Allen Robinson,15677325.0,WR/FLEX,7000.0,NO@CHI 11/01/2020 04:25PM ET,CHI,16.61
14,14,QB,Josh Allen (15677044),Josh Allen,15677044.0,QB,7000.0,NE@BUF 11/01/2020 01:00PM ET,BUF,26.73
15,15,TE,George Kittle (15677617),George Kittle,15677617.0,TE/FLEX,7000.0,SF@SEA 11/01/2020 04:25PM ET,SF,19.64
16,16,QB,Justin Herbert (15677045),Justin Herbert,15677045.0,QB,6900.0,LAC@DEN 11/01/2020 04:05PM ET,LAC,27.76
17,17,WR,A.J. Brown (15677327),AJ Brown,15677327.0,WR/FLEX,6900.0,TEN@CIN 11/01/2020 01:00PM ET,TEN,20.8
18,18,RB,Kareem Hunt (15677105),Kareem Hunt,15677105.0,RB/FLEX,6900.0,LV@CLE 11/01/2020 01:00PM ET,CLE,16.41
19,19,QB,Ryan Tannehill (15677046),Ryan Tannehill,15677046.0,QB,6800.0,TEN@CIN 11/01/2020 01:00PM ET,TEN,23.97
