,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Derek Carr,LV,QB,5500.0,Derek Carr (15677059),17.667999999999996,21.244,24.18
1,Jimmy Garoppolo,SF,QB,5400.0,Jimmy Garoppolo (15677060),15.751999999999999,19.256,22.330999999999996
2,Joe Burrow,CIN,QB,6200.0,Joe Burrow (15677051),17.546999999999997,21.827999999999996,26.534
0,Kareem Hunt,CLE,RB,6900.0,Kareem Hunt (15677105),15.709999999999999,21.345,27.959999999999997
1,Derrick Henry,TEN,RB,8000.0,Derrick Henry (15677099),18.799999999999997,23.560000000000002,27.560000000000002
2,Alvin Kamara,NO,RB,8200.0,Alvin Kamara (15677097),19.12,23.859999999999996,29.229999999999997
7,Dalvin Cook,MIN,RB,7500.0,Dalvin Cook (15677101),16.54,19.860000000000003,23.6
0,Denzel Mims,NYJ,WR,3200.0,Denzel Mims (15677455),6.760000000000001,10.84,14.3
1,Davante Adams,GB,WR,8800.0,Davante Adams (15677315),20.25,26.46,29.0
2,Darnell Mooney,CHI,WR,3500.0,Darnell Mooney (15677437),7.66,10.510000000000002,12.86
3,Keenan Allen,LAC,WR,6200.0,Keenan Allen (15677343),16.18,18.549999999999997,23.599999999999998
4,AJ Green,CIN,WR,4500.0,A.J. Green (15677391),8.8,12.68,14.61
5,Hunter Renfrow,LV,WR,3800.0,Hunter Renfrow (15677411),7.36,10.629999999999999,13.950000000000001
6,Tyler Lockett,SEA,WR,7100.0,Tyler Lockett (15677323),16.86,19.525,24.499999999999996
7,Kendrick Bourne,SF,WR,3500.0,Kendrick Bourne (15677435),5.390000000000001,9.280000000000001,12.3
8,Jarvis Landry,CLE,WR,5600.0,Jarvis Landry (15677359),11.01,14.83,20.0
9,Kenny Golladay,DET,WR,6600.0,Kenny Golladay (15677333),13.73,17.35,26.0
0,Hunter Henry,LAC,TE,4200.0,Hunter Henry (15677639),9.81,11.97,16.560000000000002
1,Darren Waller,LV,TE,5600.0,Darren Waller (15677623),12.360000000000001,15.74,20.09
2,Harrison Bryant,CLE,TE,3200.0,Harrison Bryant (15677667),5.59,8.829999999999998,12.43
3,Travis Kelce,KC,TE,6600.0,Travis Kelce (15677619),14.43,17.78,21.95
4,Jonnu Smith,TEN,TE,4100.0,Jonnu Smith (15677641),8.08,10.85,15.690000000000001
0,Titans,TEN,DST,3000.0,Titans  (15677816),5.699999999999999,7.000000000000001,7.928571428571428
1,Lions,DET,DST,2500.0,Lions  (15677822),3.0714285714285716,5.542857142857143,6.6000000000000005
