Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2336565223,zlong112,0,214.02,QB Drew Lock RB Christian McCaffrey FLEX James Robinson RB David Montgomery WR Tyreek Hill WR Jerry Jeudy WR Curtis Samuel TE Hayden Hurst DST Titans ,,Dalvin Cook,RB,57.93%,42.2
2,2336253070,Hammer2112,0,211.26,QB Jake Luton RB Christian McCaffrey RB Dalvin Cook WR Will Fuller V WR Jerry Jeudy WR Darnell Mooney TE T.J. Hockenson FLEX Evan Engram DST Ravens ,,Julio Jones,WR,54.17%,16.4
3,2338462515,jimmywaynerea,0,210.6,QB Josh Allen RB Dalvin Cook RB Chase Edmonds WR Keenan Allen WR Terry McLaurin FLEX Jerry Jeudy WR David Moore TE Hayden Hurst DST Falcons ,,Justin Jackson,RB,50.10%,0
4,2338004554,Kaborkowski,0,208.5,QB Josh Allen RB Dalvin Cook RB DeeJay Dallas WR Stefon Diggs WR Terry McLaurin FLEX Jerry Jeudy WR Marvin Hall TE Evan Engram DST Titans ,,Tyler Lockett,WR,45.76%,8
5,2336421997,skafe1na,0,203.32,QB Drew Lock RB Dalvin Cook RB Chase Edmonds FLEX Stefon Diggs WR Christian Kirk WR Marvin Jones Jr. WR Jerry Jeudy TE Eric Ebron DST Giants ,,Chase Edmonds,FLEX,43.05%,11.8
6,2339912240,ssm1976,0,203.3,QB Josh Allen RB Dalvin Cook RB DeeJay Dallas WR Stefon Diggs WR Keenan Allen WR Jerry Jeudy FLEX Demarcus Robinson TE Mark Andrews DST Giants ,,Josh Allen,QB,27.09%,39
7,2338706829,bucknutz42,0,202.28,QB Patrick Mahomes RB Dalvin Cook RB J.K. Dobbins WR Terry McLaurin WR Jerry Jeudy WR Curtis Samuel TE Travis Kelce FLEX Jason Witten DST WAS Football Team ,,David Johnson,FLEX,23.75%,1.6
8,2337033914,Jamor28,0,200.2,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX David Johnson WR Stefon Diggs WR Jerry Jeudy WR Demarcus Robinson TE Will Dissly DST Giants ,,Marcus Johnson,WR,23.28%,3.4
9,2337501749,phillyincanada1,0,197,QB Josh Allen RB Dalvin Cook RB DeeJay Dallas WR Stefon Diggs WR Julio Jones WR Jerry Jeudy FLEX Danny Amendola TE Hunter Henry DST Giants ,,Noah Fant,TE,22.32%,7.5
10,2338274892,oldmate44,0,196.74,QB Justin Herbert RB Dalvin Cook RB DeeJay Dallas WR Julio Jones WR Terry McLaurin FLEX Marvin Jones Jr. WR Jerry Jeudy TE Jimmy Graham DST Giants ,,James Conner,FLEX,21.52%,4
11,2337949613,slothdaddyy,0,195.92,QB Drew Lock RB Dalvin Cook RB James Robinson FLEX DeeJay Dallas WR Stefon Diggs WR Julio Jones WR Jerry Jeudy TE Irv Smith Jr. DST Vikings ,,Marvin Jones Jr.,WR,20.60%,13.3
12,2331745324,tvella224,0,195.5,QB Josh Allen FLEX Christian McCaffrey RB Dalvin Cook RB DeeJay Dallas WR Julio Jones WR Sterling Shepard WR David Moore TE Tyler Kroft DST Giants ,,Hayden Hurst,TE,20.46%,13.2
13,2335467432,BigBallin34,0,194.4,QB Josh Allen RB Dalvin Cook RB James Robinson WR Stefon Diggs WR Jerry Jeudy WR John Brown FLEX Darnell Mooney TE Evan Engram DST Cardinals ,,Russell Wilson,QB,20.01%,29.1
14,2338408903,granoale,0,193.84,QB Justin Herbert RB Christian McCaffrey RB Dalvin Cook FLEX Chase Edmonds WR Julio Jones WR Danny Amendola WR Gabriel Davis TE Irv Smith Jr. DST Giants ,,Falcons ,DST,19.70%,3
15,2339357877,chad508,0,193.4,QB Russell Wilson RB Dalvin Cook RB James Robinson FLEX DeeJay Dallas WR Christian Kirk WR Marvin Jones Jr. WR Jerry Jeudy TE Hayden Hurst DST Giants ,,Giants ,DST,17.37%,13
16,2339755596,ryand04,0,193.3,QB Josh Allen RB Dalvin Cook RB James Conner FLEX Antonio Gibson WR Stefon Diggs WR Jerry Jeudy WR David Moore TE Jonnu Smith DST Titans ,,Jerry Jeudy,WR,15.57%,28.5
17,2334992860,ZachD97,0,193.24,QB Deshaun Watson RB Dalvin Cook RB DeeJay Dallas WR Keenan Allen WR Terry McLaurin WR Randall Cobb FLEX Curtis Samuel TE Eric Ebron DST Giants ,,DeeJay Dallas,FLEX,15.42%,11.9
18,2331419639,bentlemp,0,192.84,QB Deshaun Watson RB Dalvin Cook RB Antonio Gibson WR Will Fuller V WR Christian Kirk WR Jerry Jeudy FLEX John Brown TE Jonnu Smith DST WAS Football Team ,,Keenan Allen,WR,15.21%,28.3
19,2339488205,Fenix22,0,191.9,QB Josh Allen RB Dalvin Cook RB DeeJay Dallas FLEX Jordan Howard WR Stefon Diggs WR Julio Jones WR Jerry Jeudy TE Hayden Hurst DST Vikings ,,Stefon Diggs,WR,14.79%,23.8
20,2334539416,nkap216,0,191.72,QB Kyler Murray RB Dalvin Cook RB James Robinson WR Terry McLaurin WR Brandin Cooks FLEX Christian Kirk WR Gabriel Davis TE Trey Burton DST Cardinals ,,Deshaun Watson,QB,13.83%,24.24
21,2338760058,dspirtle,0,191.7,QB Josh Allen FLEX Christian McCaffrey RB D'Andre Swift RB J.K. Dobbins WR Keenan Allen WR Sterling Shepard WR Jerry Jeudy TE T.J. Hockenson DST Titans ,,Cardinals ,DST,13.29%,2
22,2338066368,jhutton318,0,191.5,QB Josh Allen RB Christian McCaffrey RB DeeJay Dallas WR Julio Jones FLEX Keenan Allen WR Jerry Jeudy WR David Moore TE Eric Ebron DST Cardinals ,,Brandin Cooks,WR,13.03%,17.3
23,2329797077,cross7010,0,191.1,QB Josh Allen RB Dalvin Cook RB James Robinson FLEX Stefon Diggs WR John Brown WR Curtis Samuel WR Darnell Mooney TE Jonnu Smith DST Cardinals ,,Justin Herbert,QB,10.74%,26.44
24,2334779897,Crowns.JVR,0,191,QB Josh Allen RB Dalvin Cook RB Josh Jacobs WR Stefon Diggs WR Keenan Allen WR John Brown FLEX Hunter Renfrow TE Irv Smith Jr. DST Falcons ,,Hunter Henry,TE,10.70%,7.3
25,2336962514,jayrho,0,190.72,QB Drew Lock RB Dalvin Cook RB Chase Edmonds WR Julio Jones WR Keenan Allen WR Marvin Jones Jr. FLEX Jerry Jeudy TE Irv Smith Jr. DST Cardinals ,,Vikings ,DST,10.54%,9
26,2339822463,Chris7214,0,190.6,QB Lamar Jackson RB Dalvin Cook RB Todd Gurley II WR Terry McLaurin WR Christian Kirk WR Demarcus Robinson FLEX Travis Kelce TE Hayden Hurst DST Vikings ,,Darnell Mooney,WR,10.25%,9.3
27,2329872473,kylorl3,0,190.5,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,Diontae Johnson,WR,9.27%,14.1
27,2332320122,WCChevy16,0,190.5,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,Josh Jacobs,RB,9.03%,13.8
