,Player,Team,FG_MAX,FG_MIN,FG_MID,FGA_MAX,FGA_MIN,FGA_MID,XPT_MAX,XPT_MIN,XPT_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Harrison Butker,KC,33.0,27.9,30.1,37.0,31.9,34.2,53.1,49.0,50.8,154.8,136.7,141.2,dynasty_draft,2021,K
1,Justin Tucker,BAL,31.0,28.5,29.4,34.0,33.0,33.4,57.0,45.7,50.5,150.0,132.0,138.7,dynasty_draft,2021,K
2,Tyler Bass,BUF,31.0,26.4,28.2,36.0,31.9,33.3,52.7,44.0,48.5,147.4,123.1,133.1,dynasty_draft,2021,K
3,Greg Zuerlein,DAL,37.0,25.1,29.3,47.0,30.2,36.2,47.0,37.9,43.6,158.0,121.0,131.6,dynasty_draft,2021,K
4,Rodrigo Blankenship,IND,31.0,26.7,29.0,37.0,32.6,35.1,45.0,38.5,40.7,138.8,118.8,127.7,dynasty_draft,2021,K
5,Jason Sanders,MIA,32.0,28.7,30.0,37.0,33.4,34.8,44.0,31.0,37.6,140.0,125.8,127.7,dynasty_draft,2021,K
6,Jason Myers,SEA,27.8,27.0,27.5,31.8,31.0,31.4,46.5,42.0,44.8,143.3,123.0,127.3,dynasty_draft,2021,K
7,Younghoe Koo,ATL,33.0,26.5,30.3,37.0,30.2,34.4,38.3,30.7,35.7,139.5,117.7,126.7,dynasty_draft,2021,K
8,Ryan Succop,TB,32.0,22.7,26.7,37.0,28.0,31.7,48.9,42.8,46.6,144.0,119.7,126.6,dynasty_draft,2021,K
9,Mason Crosby,GB,27.2,21.8,24.7,31.2,24.7,27.3,53.1,50.0,51.2,149.9,115.8,125.2,dynasty_draft,2021,K
10,Brandon McManus,DEN,32.0,25.8,29.3,37.0,30.7,33.9,39.0,31.3,35.7,135.0,122.8,123.4,dynasty_draft,2021,K
11,Matt Gay,LAR,29.7,26.0,28.4,35.0,31.0,33.5,42.1,33.2,38.1,136.0,117.0,123.3,dynasty_draft,2021,K
12,Matt Prater,ARI,27.4,26.0,26.7,32.1,31.0,31.6,44.0,41.2,42.6,134.2,122.0,122.7,dynasty_draft,2021,K
13,Daniel Carlson,LV,29.0,26.3,27.9,35.0,31.6,33.7,40.0,37.6,38.8,134.5,118.0,122.6,dynasty_draft,2021,K
14,Robbie Gould,SF,28.0,24.8,26.6,34.0,32.3,33.3,47.0,39.6,42.4,131.0,120.1,122.0,dynasty_draft,2021,K
15,Michael Badgley,LAC,28.0,25.9,27.0,36.6,32.7,34.7,43.0,37.4,39.4,129.4,115.7,120.5,dynasty_draft,2021,K
16,Graham Gano,NYG,31.6,27.0,29.3,34.6,29.0,32.4,36.0,28.1,31.7,140.7,112.0,119.7,dynasty_draft,2021,K
17,Chase McLaughlin,CLE,28.1,23.0,26.2,33.2,29.0,31.7,45.6,38.0,41.1,136.5,107.0,119.6,dynasty_draft,2021,K
18,Sam Ficken,TEN,27.1,22.2,24.8,33.2,27.2,31.1,46.5,41.0,44.4,138.5,112.5,118.7,dynasty_draft,2021,K
19,Greg Joseph,MIN,26.5,23.0,24.7,32.1,28.0,29.9,48.0,41.4,43.8,131.2,115.6,118.0,dynasty_draft,2021,K
20,Nick Folk,NE,29.1,25.0,27.0,34.5,28.0,31.3,37.7,33.9,36.2,131.4,112.0,117.1,dynasty_draft,2021,K
