,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Josh Allen,BUF,630.1,561.0,605.2,418.5,376.0,400.3,4739.7,4322.0,4572.7,35.0,32.1,34.0,11.0,16.3,13.3,127.6,102.0,110.9,590.7,447.0,520.3,10.0,6.2,7.7,5.0,5.3,5.1,438.8,372.9,380.1,dynasty_draft,2021,QB
1,Patrick Mahomes,KC,656.0,589.0,629.8,442.0,389.0,418.2,5212.8,4833.0,5020.5,40.0,36.7,38.8,7.0,10.1,8.9,69.9,29.0,55.3,328.5,150.0,267.2,4.0,2.0,2.9,1.0,3.9,2.5,442.2,370.6,377.6,dynasty_draft,2021,QB
2,Kyler Murray,ARI,623.5,575.0,591.0,414.9,375.7,391.4,4592.8,4055.8,4218.1,30.0,24.8,27.0,11.5,16.0,12.9,133.4,120.0,126.5,728.0,644.6,702.4,8.6,7.0,7.7,3.0,4.3,3.7,417.9,352.9,360.0,dynasty_draft,2021,QB
3,Lamar Jackson,BAL,489.5,437.0,456.6,317.2,273.0,292.5,3549.1,3106.0,3332.5,30.6,25.8,28.3,9.8,15.0,11.7,189.0,130.0,160.3,1248.0,857.0,965.9,8.2,6.6,7.2,3.0,5.1,4.0,406.8,330.7,354.8,dynasty_draft,2021,QB
4,Dak Prescott,DAL,649.0,584.0,623.0,432.0,392.0,416.4,5163.3,4559.0,4848.9,32.0,29.7,31.1,6.3,15.0,11.1,71.2,57.0,63.5,350.5,257.8,296.6,5.6,3.0,4.0,4.0,4.4,4.2,403.9,341.2,341.5,dynasty_draft,2021,QB
5,Russell Wilson,SEA,594.9,538.3,575.5,400.0,350.7,383.9,4394.7,4079.7,4285.1,37.0,30.8,34.7,10.8,15.0,12.3,98.0,73.9,81.8,488.0,407.3,441.4,2.2,2.0,2.1,3.0,4.1,3.5,426.3,311.5,334.9,dynasty_draft,2021,QB
6,Aaron Rodgers,GB,590.5,553.0,572.2,397.1,370.0,385.9,4582.3,4299.5,4452.5,39.0,35.1,36.8,5.7,9.0,7.2,45.0,37.0,39.9,178.8,155.0,168.6,2.0,1.5,1.9,3.0,3.2,3.1,400.5,318.3,333.0,dynasty_draft,2021,QB
7,Justin Herbert,LAC,654.0,585.0,615.2,420.0,374.0,399.4,4805.0,4388.0,4577.3,34.1,27.8,30.5,11.0,14.0,12.0,67.9,56.1,61.2,306.8,248.0,273.0,7.0,3.0,4.4,1.0,4.2,2.6,379.9,307.2,329.4,dynasty_draft,2021,QB
8,Tom Brady,TB,652.0,596.0,621.3,419.0,389.1,404.5,4882.0,4531.0,4698.7,38.2,36.5,37.2,10.2,15.0,11.9,31.0,16.0,24.5,52.7,19.0,31.8,3.0,1.1,2.1,1.0,3.3,2.2,388.5,318.1,324.1,dynasty_draft,2021,QB
9,Jalen Hurts,PHI,594.0,472.0,539.9,378.8,278.0,329.7,4248.8,3350.0,3731.6,25.3,20.2,22.4,12.1,18.0,14.4,155.0,112.2,134.1,797.0,544.8,692.1,6.0,5.7,5.9,3.0,6.5,4.7,364.7,291.1,305.3,dynasty_draft,2021,QB
10,Ryan Tannehill,TEN,577.0,490.0,528.0,378.2,324.0,348.7,4361.1,3904.0,4111.3,32.1,27.0,30.0,9.0,12.8,10.6,58.0,47.2,51.9,259.0,209.8,229.4,5.0,2.2,3.4,2.0,3.7,2.9,360.2,289.3,301.3,dynasty_draft,2021,QB
11,Joe Burrow,CIN,638.0,592.6,612.2,409.0,386.1,399.9,4622.6,4158.0,4313.3,28.0,25.0,26.5,9.4,15.0,11.8,65.0,41.2,54.1,247.6,184.1,227.4,3.8,2.3,3.0,3.0,5.4,4.2,349.2,284.0,287.4,dynasty_draft,2021,QB
12,Matthew Stafford,LAR,641.0,585.0,612.2,441.0,374.0,405.4,4736.0,4330.0,4564.3,32.9,26.0,28.5,10.0,13.0,11.5,38.0,24.0,31.7,144.0,87.0,120.6,1.5,0.0,0.7,3.0,3.4,3.2,333.2,279.5,283.4,dynasty_draft,2021,QB
