,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Christian McCaffrey,CAR,351.8,247.9,297.2,1617.3,1056.9,1301.8,13.0,10.0,12.0,109.0,85.8,93.7,935.0,678.9,758.0,5.0,2.6,4.3,1.0,4.0,2.5,338.1,247.5,298.3,dynasty_draft,2021,RB
1,Dalvin Cook,MIN,334.5,299.8,316.6,1572.0,1371.1,1487.5,15.0,11.7,12.9,64.1,46.0,55.0,556.0,385.0,473.3,3.3,1.0,2.0,1.8,4.0,2.9,306.7,252.9,279.6,dynasty_draft,2021,RB
2,Derrick Henry,TEN,374.0,323.0,343.4,1920.0,1536.9,1705.3,15.4,13.2,14.2,27.4,21.0,24.4,210.1,145.0,182.7,1.4,1.0,1.1,1.3,4.0,2.7,299.4,256.7,275.1,dynasty_draft,2021,RB
3,Alvin Kamara,NO,234.0,177.0,206.9,1069.4,813.0,941.8,11.7,7.5,9.6,89.0,76.8,81.6,793.4,658.0,705.6,5.1,3.0,3.7,0.8,3.0,1.9,285.6,219.7,240.3,dynasty_draft,2021,RB
4,Jonathan Taylor,IND,299.5,253.0,272.5,1371.6,1215.0,1263.7,14.0,8.0,10.9,49.0,35.4,42.1,384.0,263.4,321.1,2.0,1.0,1.6,0.9,3.0,1.9,257.6,214.0,229.6,dynasty_draft,2021,RB
5,Nick Chubb,CLE,310.5,222.0,271.6,1643.0,1110.0,1362.4,13.0,10.0,11.0,36.7,23.0,29.3,292.7,197.0,229.1,1.5,0.0,1.0,0.9,3.0,1.9,256.3,198.3,227.2,dynasty_draft,2021,RB
6,Aaron Jones,GB,278.6,199.6,232.5,1290.9,973.0,1126.5,11.9,8.6,10.4,56.4,44.0,50.8,431.5,342.0,393.1,3.0,2.0,2.7,1.2,3.0,2.1,252.8,207.5,226.4,dynasty_draft,2021,RB
7,Ezekiel Elliott,DAL,298.0,268.9,281.9,1283.7,1094.3,1210.0,10.1,8.0,9.5,62.0,45.0,52.8,503.5,311.0,393.2,3.8,2.0,2.4,1.8,4.0,2.9,257.8,216.9,226.1,dynasty_draft,2021,RB
8,Saquon Barkley,NYG,280.0,241.0,265.2,1263.6,1156.0,1199.4,10.4,8.0,9.0,63.2,50.0,56.0,472.8,421.0,435.0,2.8,1.0,1.9,0.6,3.0,1.8,253.0,215.1,225.2,dynasty_draft,2021,RB
9,Joe Mixon,CIN,288.3,264.4,274.9,1267.5,1061.4,1157.5,8.8,7.4,8.1,55.6,48.0,50.4,419.5,339.0,369.2,5.0,1.9,2.9,1.0,3.0,2.0,236.5,194.4,214.4,dynasty_draft,2021,RB
