,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Travis Kelce,KC,124.4,95.0,112.4,1532.0,1220.0,1399.2,11.2,8.0,10.2,0.6,1.0,0.8,219.2,170.0,199.8,dynasty_draft,2021,TE
1,George Kittle,SF,120.0,82.4,96.9,1501.0,1034.5,1214.0,7.4,5.9,6.6,0.3,1.0,0.7,192.1,142.3,159.5,dynasty_draft,2021,TE
2,Darren Waller,LV,109.9,94.0,100.3,1217.0,1064.6,1144.3,7.6,7.0,7.1,0.7,1.0,0.9,164.2,146.7,155.5,dynasty_draft,2021,TE
3,Mark Andrews,BAL,83.5,66.0,71.8,975.0,816.0,868.1,9.4,7.0,8.4,0.7,1.0,0.9,152.4,123.6,135.3,dynasty_draft,2021,TE
4,Kyle Pitts,ATL,77.4,63.0,69.4,890.6,807.0,838.9,7.0,5.8,6.4,0.5,2.0,1.2,129.1,116.7,119.7,dynasty_draft,2021,TE
5,TJ Hockenson,DET,81.2,68.0,75.3,888.0,787.0,836.0,5.6,5.0,5.2,0.5,1.0,0.8,118.8,108.7,113.4,dynasty_draft,2021,TE
6,Tyler Higbee,LAR,66.0,52.2,61.1,757.0,591.4,681.5,6.0,4.6,5.4,0.3,1.0,0.6,111.7,86.4,99.0,dynasty_draft,2021,TE
7,Robert Tonyan,GB,63.0,46.0,54.6,675.0,488.0,599.6,8.0,5.7,6.4,0.0,0.3,0.1,103.5,95.1,98.3,dynasty_draft,2021,TE
8,Logan Thomas,WAS,70.0,55.0,64.9,717.5,558.0,667.8,5.8,5.0,5.3,0.2,1.0,0.6,110.0,85.8,97.2,dynasty_draft,2021,TE
9,Noah Fant,DEN,67.9,59.0,63.1,740.0,655.0,698.8,5.0,4.0,4.4,0.3,1.0,0.7,104.0,89.5,95.1,dynasty_draft,2021,TE
10,Dallas Goedert,PHI,62.5,60.0,61.6,699.2,655.0,678.5,5.3,4.0,4.7,0.4,1.0,0.7,99.0,89.5,94.4,dynasty_draft,2021,TE
11,Mike Gesicki,MIA,61.3,51.0,54.7,617.0,603.3,610.5,6.0,4.8,5.3,0.3,1.0,0.7,97.4,88.7,91.3,dynasty_draft,2021,TE
12,Jared Cook,LAC,51.0,40.2,46.0,681.0,492.5,575.8,7.0,4.2,5.1,0.3,1.0,0.6,110.1,73.8,87.0,dynasty_draft,2021,TE
13,Rob Gronkowski,TB,44.0,39.0,40.6,573.0,484.3,528.5,6.0,5.0,5.6,0.0,0.3,0.2,89.9,81.6,85.9,dynasty_draft,2021,TE
14,Jonnu Smith,NE,57.0,52.3,55.7,593.8,569.0,581.1,6.0,4.0,4.7,0.3,1.0,0.7,92.9,82.8,85.2,dynasty_draft,2021,TE
15,Irv Smith,MIN,53.0,45.2,48.6,599.0,478.1,538.2,6.0,4.2,5.3,0.3,1.0,0.7,95.9,73.8,84.1,dynasty_draft,2021,TE
16,Blake Jarwin,DAL,54.3,46.6,51.0,631.7,520.0,574.9,5.0,3.5,4.2,0.3,1.0,0.7,91.3,72.2,81.3,dynasty_draft,2021,TE
17,Hunter Henry,NE,61.0,45.7,52.3,653.0,506.1,565.4,5.0,3.0,3.9,0.2,1.0,0.6,95.3,68.5,78.6,dynasty_draft,2021,TE
18,Eric Ebron,PIT,69.0,45.9,54.3,658.0,465.4,535.4,5.0,4.0,4.4,0.3,1.0,0.7,95.8,70.7,78.6,dynasty_draft,2021,TE
19,Evan Engram,NYG,59.0,53.4,57.6,618.0,543.3,584.1,4.2,3.0,3.6,0.3,1.0,0.7,86.0,76.1,78.6,dynasty_draft,2021,TE
20,Anthony Firkser,TEN,55.4,44.0,49.1,551.7,515.0,526.6,5.1,3.0,4.0,0.0,0.2,0.1,85.4,70.4,76.3,dynasty_draft,2021,TE
21,Austin Hooper,CLE,53.1,48.0,50.2,542.0,466.0,502.8,5.0,3.9,4.5,0.2,1.0,0.6,84.2,70.6,76.0,dynasty_draft,2021,TE
22,Zach Ertz,PHI,58.9,40.0,50.2,560.4,417.0,510.5,4.0,3.0,3.5,0.3,1.0,0.6,79.1,65.7,70.7,dynasty_draft,2021,TE
23,Gerald Everett,SEA,47.6,42.9,44.9,477.7,445.4,462.0,5.1,3.0,4.2,0.3,1.0,0.7,77.6,63.9,70.2,dynasty_draft,2021,TE
24,Cole Kmet,CHI,57.0,38.0,48.4,544.0,377.0,481.3,5.0,2.0,3.7,0.3,2.0,1.2,84.4,49.7,68.0,dynasty_draft,2021,TE
25,Jordan Akins,HOU,49.0,39.8,44.0,498.0,427.4,467.3,3.3,2.0,2.8,0.0,0.2,0.1,67.8,54.5,63.5,dynasty_draft,2021,TE
26,Adam Trautman,NO,59.0,26.1,39.1,669.0,306.9,434.9,5.0,2.5,3.4,0.2,1.0,0.6,96.9,45.5,62.6,dynasty_draft,2021,TE
27,Dawson Knox,BUF,39.0,31.0,33.9,461.0,353.2,389.8,4.0,3.0,3.6,0.3,1.0,0.6,70.1,54.6,59.3,dynasty_draft,2021,TE
28,Hayden Hurst,ATL,48.0,29.0,38.3,502.0,306.0,403.4,4.0,2.0,2.9,0.0,0.1,0.1,74.2,42.6,57.9,dynasty_draft,2021,TE
29,CJ Uzomah,CIN,44.0,23.8,36.8,425.0,234.5,357.9,5.0,2.0,3.3,0.0,0.2,0.1,71.4,35.3,55.1,dynasty_draft,2021,TE
30,Jack Doyle,IND,35.0,26.9,31.3,372.0,274.2,324.2,4.0,2.6,3.0,0.0,0.3,0.1,59.1,42.5,50.4,dynasty_draft,2021,TE
31,Donald Parham,LAC,31.0,23.0,28.0,437.0,287.0,339.1,3.2,2.0,2.5,0.0,0.2,0.1,55.7,40.7,48.7,dynasty_draft,2021,TE
32,OJ Howard,TB,40.0,12.7,26.7,499.0,136.5,338.7,3.6,1.3,2.5,0.4,1.0,0.7,67.9,21.0,47.3,dynasty_draft,2021,TE
33,Dan Arnold,CAR,32.0,23.7,27.7,478.0,251.8,346.8,4.0,1.0,2.3,0.3,1.0,0.7,71.8,34.7,47.2,dynasty_draft,2021,TE
34,Mo Alie-Cox,IND,36.0,22.4,29.8,361.0,258.9,325.7,3.1,1.9,2.5,0.2,1.0,0.6,52.4,36.8,46.3,dynasty_draft,2021,TE
35,Will Dissly,SEA,38.0,14.3,27.7,379.0,158.3,289.1,4.0,1.6,2.7,0.0,0.2,0.1,60.9,25.2,45.0,dynasty_draft,2021,TE
36,Chris Herndon,NYJ,44.0,21.0,32.0,398.0,216.0,321.6,4.0,1.0,2.5,0.3,3.0,1.6,63.8,27.6,43.7,dynasty_draft,2021,TE
37,Juwan Johnson,NO,35.0,23.2,29.1,364.0,267.8,315.9,2.0,1.9,2.0,0.2,0.2,0.2,48.4,38.1,43.1,dynasty_draft,2021,TE
38,Tyler Conklin,MIN,31.4,23.5,27.0,327.9,246.9,284.2,2.4,2.0,2.2,0.0,0.2,0.1,46.8,38.0,41.2,dynasty_draft,2021,TE
39,Stephen Carlson,CLE,20.0,20.0,20.0,218.0,218.0,218.0,3.0,3.0,3.0,0.0,0.0,0.0,39.8,39.8,39.8,dynasty_draft,2021,TE
40,Jimmy Graham,CHI,27.0,18.1,23.2,288.0,187.3,242.2,3.0,1.8,2.6,0.0,0.2,0.1,46.8,29.4,39.6,dynasty_draft,2021,TE
41,David Njoku,CLE,29.0,13.9,22.8,288.0,157.6,245.4,3.0,1.6,2.5,0.0,0.1,0.0,46.8,25.1,39.3,dynasty_draft,2021,TE
42,Jacob Hollister,BUF,54.0,12.2,28.9,452.0,112.7,261.8,4.0,1.3,2.3,0.1,1.0,0.6,69.2,18.9,38.9,dynasty_draft,2021,TE
43,Dalton Schultz,DAL,32.0,8.7,23.4,330.2,90.4,243.6,3.0,0.7,2.0,0.0,0.2,0.1,48.9,13.1,36.3,dynasty_draft,2021,TE
44,Maxx Williams,ARI,29.9,16.0,21.4,289.7,192.0,236.4,2.2,1.7,2.0,0.0,0.2,0.1,41.7,30.4,35.2,dynasty_draft,2021,TE
45,Nick Boyle,BAL,29.0,17.7,23.9,283.0,156.9,221.5,3.0,1.7,2.2,0.0,0.1,0.0,46.3,25.6,35.0,dynasty_draft,2021,TE
46,Geoff Swaim,TEN,30.0,15.7,24.0,288.0,136.5,223.4,2.0,1.4,1.9,0.0,0.1,0.1,40.8,22.3,33.4,dynasty_draft,2021,TE
47,Kyle Rudolph,NYG,36.0,12.0,23.1,291.0,110.1,212.8,3.0,0.9,1.7,0.0,0.1,0.1,47.1,16.4,31.6,dynasty_draft,2021,TE
48,Drew Sample,CIN,45.0,17.0,24.6,391.0,161.2,232.3,2.0,1.0,1.4,0.1,1.0,0.6,51.1,22.6,30.6,dynasty_draft,2021,TE
49,Cameron Brate,TB,30.5,8.7,20.3,276.0,91.8,189.5,3.1,0.9,1.7,0.0,0.1,0.0,45.1,14.3,29.3,dynasty_draft,2021,TE
50,Tyler Kroft,NYJ,23.0,0.9,16.8,246.0,8.0,173.8,4.0,0.0,2.0,0.0,0.1,0.1,45.5,1.3,29.3,dynasty_draft,2021,TE
51,James O'Shaughnessy,JAC,28.0,18.9,23.4,282.7,184.1,230.4,1.5,0.0,1.0,0.0,0.1,0.1,37.2,18.5,28.7,dynasty_draft,2021,TE
52,Harrison Bryant,CLE,29.0,13.0,18.4,316.0,135.6,198.6,4.0,0.0,1.8,0.1,2.0,1.1,55.6,14.4,28.3,dynasty_draft,2021,TE
53,Darren Fells,DET,26.0,12.5,18.2,280.0,128.3,188.6,3.0,1.0,1.6,0.0,0.1,0.0,46.0,18.8,28.3,dynasty_draft,2021,TE
54,Foster Moreau,LV,16.0,12.0,13.9,171.9,132.3,152.0,4.0,1.1,2.1,0.0,0.1,0.1,37.7,19.6,27.9,dynasty_draft,2021,TE
55,Pat Freiermuth,PIT,49.0,4.6,21.9,393.0,43.7,202.3,3.0,0.4,1.4,0.1,1.0,0.6,57.3,6.7,27.5,dynasty_draft,2021,TE
56,Brevin Jordan,HOU,18.9,18.0,18.5,188.0,187.3,187.6,2.0,1.0,1.5,0.1,1.0,0.6,30.8,24.7,26.8,dynasty_draft,2021,TE
57,Pharaoh Brown,HOU,27.6,8.0,15.9,296.3,86.0,171.8,2.4,0.6,1.3,0.0,0.1,0.0,43.7,11.8,25.0,dynasty_draft,2021,TE
58,Hunter Long,MIA,29.0,8.1,18.5,268.0,83.2,175.6,2.0,0.5,1.3,0.1,1.0,0.5,38.8,11.4,24.1,dynasty_draft,2021,TE
59,Albert Okwuegbunam,DEN,23.0,8.1,15.5,249.0,79.1,162.0,2.0,0.6,1.3,0.1,0.1,0.1,36.9,11.4,23.8,dynasty_draft,2021,TE
60,Adam Shaheen,MIA,17.0,12.9,15.0,185.0,111.7,153.2,3.0,1.0,1.7,1.0,1.0,1.0,34.3,18.2,23.7,dynasty_draft,2021,TE
61,Ian Thomas,CAR,34.0,7.2,17.7,272.0,58.7,157.0,3.0,0.4,1.3,0.0,0.1,0.0,45.2,9.4,23.2,dynasty_draft,2021,TE
62,Chris Manhertz,JAC,31.0,2.9,16.5,266.0,30.6,164.0,2.0,0.2,1.0,0.0,0.1,0.0,35.1,4.5,22.4,dynasty_draft,2021,TE
63,Marcedes Lewis,GB,21.0,6.2,11.5,199.0,68.7,121.2,3.0,0.6,1.4,0.0,0.0,0.0,37.9,10.7,20.6,dynasty_draft,2021,TE
64,Noah Gray,KC,23.0,4.2,14.4,242.0,42.1,146.7,2.0,0.4,1.1,0.0,1.0,0.5,36.2,6.3,20.4,dynasty_draft,2021,TE
65,Reggie Gilliam,BUF,11.0,11.0,11.0,77.0,77.0,77.0,2.0,2.0,2.0,0.0,0.0,0.0,19.7,19.7,19.7,dynasty_draft,2021,TE
66,Ryan Izzo,HOU,25.0,0.8,9.9,417.0,8.9,156.8,2.0,0.0,0.8,0.0,1.0,0.5,53.7,1.3,19.2,dynasty_draft,2021,TE
67,Kyle Markway,CLE,13.0,13.0,13.0,130.0,130.0,130.0,1.0,1.0,1.0,0.0,0.0,0.0,19.0,19.0,19.0,dynasty_draft,2021,TE
68,Kahale Warring,IND,12.0,12.0,12.0,129.0,129.0,129.0,1.0,1.0,1.0,0.0,0.0,0.0,18.9,18.9,18.9,dynasty_draft,2021,TE
69,Jacob Harris,LAR,13.0,8.3,10.6,188.0,85.2,136.6,1.0,0.6,0.8,0.0,0.1,0.0,24.8,11.7,18.3,dynasty_draft,2021,TE
70,Thaddeus Moss,CIN,13.0,13.0,13.0,121.0,121.0,121.0,1.0,1.0,1.0,0.0,0.0,0.0,18.1,18.1,18.1,dynasty_draft,2021,TE
71,Ryan Griffin,NYJ,28.0,1.8,11.3,260.0,19.2,106.5,3.0,0.1,1.2,0.0,0.0,0.0,44.0,2.7,17.6,dynasty_draft,2021,TE
72,Darrell Daniels,ARI,15.0,7.7,11.4,165.0,79.0,122.0,1.0,0.7,0.9,0.1,0.1,0.1,22.5,11.7,17.4,dynasty_draft,2021,TE
73,Luke Farrell,JAC,22.0,7.7,14.8,202.0,77.5,139.8,1.0,0.4,0.7,0.1,1.0,0.5,26.2,10.3,17.2,dynasty_draft,2021,TE
74,Hunter Bryant,DET,12.0,8.8,10.4,159.0,86.7,122.8,1.0,0.6,0.8,0.0,0.0,0.0,21.9,12.3,17.2,dynasty_draft,2021,TE
75,Devin Asiasi,NE,27.0,0.7,10.4,305.0,6.9,117.0,3.0,0.0,1.1,0.0,1.0,0.5,48.5,1.1,17.1,dynasty_draft,2021,TE
76,Brycen Hopkins,LAR,16.5,8.0,12.5,170.3,82.0,127.4,1.1,0.0,0.7,0.0,0.1,0.1,23.5,8.2,16.9,dynasty_draft,2021,TE
77,Ross Dwelley,SF,17.0,7.1,11.1,177.0,75.8,117.2,1.0,0.6,0.8,0.0,0.1,0.0,23.7,11.1,16.7,dynasty_draft,2021,TE
78,Durham Smythe,MIA,26.0,0.9,13.1,200.0,6.8,107.9,2.0,0.0,1.0,0.0,0.1,0.0,32.0,1.1,16.4,dynasty_draft,2021,TE
79,Austin Fort,DEN,10.0,10.0,10.0,102.0,102.0,102.0,1.0,1.0,1.0,0.0,0.0,0.0,16.2,16.2,16.2,dynasty_draft,2021,TE
80,Kylen Granson,IND,17.5,7.0,12.2,178.6,77.0,127.8,1.2,0.0,0.6,0.1,0.1,0.1,24.9,7.7,16.2,dynasty_draft,2021,TE
81,Derek Carrier,LV,24.0,2.0,10.0,215.0,19.9,91.9,3.0,0.2,1.2,0.0,0.0,0.0,39.5,3.0,16.1,dynasty_draft,2021,TE
82,Caleb Wilson,WAS,10.0,10.0,10.0,97.0,97.0,97.0,1.0,1.0,1.0,0.0,0.0,0.0,15.7,15.7,15.7,dynasty_draft,2021,TE
83,John Bates,WAS,17.0,7.8,12.4,156.0,82.4,119.2,1.0,0.5,0.8,0.1,1.0,0.5,21.6,11.2,15.4,dynasty_draft,2021,TE
84,Jace Sternberger,GB,18.0,0.7,9.6,147.0,7.5,88.5,2.0,0.0,1.0,0.0,0.0,0.0,26.7,1.2,14.9,dynasty_draft,2021,TE
85,Antony Auclair,HOU,9.0,7.9,8.4,101.0,82.0,91.5,1.0,0.7,0.8,0.0,0.0,0.0,16.1,12.2,14.1,dynasty_draft,2021,TE
86,Blake Bell,KC,16.0,0.9,10.0,143.0,8.9,94.9,1.2,0.1,0.7,0.0,0.1,0.0,20.3,1.4,13.9,dynasty_draft,2021,TE
87,Jordan Thomas,IND,12.0,4.6,8.3,100.0,48.0,74.0,1.0,0.5,0.8,0.0,0.0,0.0,16.0,7.8,11.9,dynasty_draft,2021,TE
88,Tre' McKitty,LAC,13.0,4.1,7.7,140.0,39.7,81.6,1.0,0.0,0.4,0.0,0.0,0.0,20.0,5.5,10.6,dynasty_draft,2021,TE
89,Tommy Sweeney,BUF,13.0,0.9,6.0,171.0,8.7,75.2,1.0,0.1,0.5,0.0,0.0,0.0,23.1,1.4,10.5,dynasty_draft,2021,TE
90,JP Holtz,CHI,11.0,0.8,5.9,138.0,8.4,73.2,1.0,0.0,0.5,0.0,0.0,0.0,19.8,1.3,10.3,dynasty_draft,2021,TE
91,Jeremy Sprinkle,DAL,13.0,0.9,6.9,134.0,8.9,71.4,1.0,0.0,0.5,0.0,0.0,0.0,19.4,1.3,10.1,dynasty_draft,2021,TE
92,Tommy Tremble,CAR,19.0,3.0,8.6,187.0,33.0,85.4,1.0,0.0,0.4,0.0,1.0,0.5,24.7,3.3,9.9,dynasty_draft,2021,TE
93,Daniel Brown,NYJ,10.0,0.9,5.4,119.0,8.1,63.6,1.0,0.0,0.5,0.0,0.0,0.0,17.9,1.2,9.4,dynasty_draft,2021,TE
94,Richard Rodgers,PHI,10.0,1.2,5.0,140.0,13.0,65.6,1.0,0.2,0.5,0.0,0.0,0.0,20.0,2.0,9.3,dynasty_draft,2021,TE
95,Noah Togiai,IND,12.0,0.7,6.4,114.0,7.7,60.8,1.0,0.1,0.5,0.0,0.0,0.0,17.4,1.3,9.2,dynasty_draft,2021,TE
96,Charlie Woerner,SF,12.0,0.8,5.4,146.0,8.2,64.0,1.0,0.0,0.4,0.0,0.0,0.0,20.6,1.3,9.0,dynasty_draft,2021,TE
97,Stephen Anderson,LAC,13.0,0.8,5.3,165.0,9.0,65.6,1.0,0.1,0.4,0.0,0.0,0.0,22.5,1.4,9.0,dynasty_draft,2021,TE
98,Nick Vannett,NO,6.0,3.9,5.0,65.0,43.7,53.2,1.0,0.4,0.6,0.0,0.0,0.0,12.5,6.8,8.9,dynasty_draft,2021,TE
99,Johnny Mundt,LAR,6.5,4.3,5.4,68.0,46.6,57.3,0.7,0.3,0.5,0.0,0.0,0.0,10.8,6.4,8.5,dynasty_draft,2021,TE
100,Zach Gentry,PIT,13.0,0.9,6.1,109.0,8.7,54.9,1.0,0.0,0.5,0.0,0.0,0.0,16.9,1.4,8.3,dynasty_draft,2021,TE
101,Jesse James,CHI,13.0,1.5,6.1,98.0,16.5,51.3,1.0,0.2,0.5,0.0,0.0,0.0,15.8,2.5,8.0,dynasty_draft,2021,TE
102,Josh Oliver,BAL,4.8,3.8,4.3,50.7,37.2,43.9,0.5,0.4,0.4,0.0,0.0,0.0,7.9,6.1,6.9,dynasty_draft,2021,TE
103,Josiah Deguara,GB,7.8,0.8,4.3,85.7,8.4,47.1,0.7,0.1,0.4,0.1,0.1,0.1,12.7,1.3,6.9,dynasty_draft,2021,TE
104,Ben Ellefson,JAC,4.3,4.3,4.3,43.5,43.5,43.5,0.3,0.3,0.3,0.0,0.0,0.0,6.3,6.3,6.4,dynasty_draft,2021,TE
105,Demetrius Harris,ARI,4.0,3.6,3.8,40.0,38.6,39.3,0.4,0.4,0.4,0.0,0.0,0.0,6.4,6.2,6.2,dynasty_draft,2021,TE
106,Luke Stocker,TEN,7.0,0.8,3.9,69.3,6.2,37.7,0.7,0.0,0.4,0.1,0.1,0.1,11.1,1.1,5.9,dynasty_draft,2021,TE
107,Mason Schreck,CIN,4.1,2.9,3.5,42.5,30.6,36.6,0.3,0.2,0.3,0.0,0.0,0.0,6.1,4.6,5.2,dynasty_draft,2021,TE
108,Brandon Dillon,MIN,3.7,2.8,3.2,40.9,29.3,35.1,0.4,0.2,0.3,0.0,0.0,0.0,6.2,4.5,5.2,dynasty_draft,2021,TE
109,Alize Mack,DET,4.0,4.0,4.0,39.5,39.5,39.5,0.2,0.2,0.2,0.0,0.0,0.0,5.2,5.2,5.1,dynasty_draft,2021,TE
110,Colby Parkinson,SEA,5.7,0.0,2.8,59.3,0.0,29.6,0.6,0.0,0.3,0.0,0.0,0.0,9.5,0.0,4.7,dynasty_draft,2021,TE
111,Dominique Dafney,GB,3.9,0.8,2.4,42.9,8.5,25.7,0.4,0.1,0.2,0.0,0.0,0.0,6.4,1.4,3.8,dynasty_draft,2021,TE
112,Lee Smith,ATL,4.2,0.9,2.5,41.7,7.4,24.5,0.4,0.0,0.2,0.0,0.0,0.0,6.3,1.2,3.6,dynasty_draft,2021,TE
113,Sean McKeon,DAL,4.3,0.9,2.6,44.0,9.5,26.7,0.3,0.0,0.2,0.0,0.0,0.0,6.2,1.4,3.5,dynasty_draft,2021,TE
114,Zach Davidson,MIN,2.4,2.4,2.4,24.0,24.0,24.0,0.2,0.2,0.2,0.0,0.0,0.0,3.5,3.5,3.5,dynasty_draft,2021,TE
115,Trevon Wesco,NYJ,3.8,0.9,2.3,40.2,8.5,24.4,0.2,0.0,0.1,0.0,0.0,0.0,5.4,1.3,3.1,dynasty_draft,2021,TE
116,Cethan Carter,MIA,4.0,0.9,2.4,41.0,7.2,24.1,0.3,0.0,0.1,0.0,0.0,0.0,5.6,1.2,3.1,dynasty_draft,2021,TE
117,Eric Saubert,DEN,3.8,0.8,2.3,38.0,7.6,22.8,0.3,0.0,0.1,0.0,0.0,0.0,5.5,1.2,3.1,dynasty_draft,2021,TE
118,Luke Willson,SEA,1.8,1.8,1.8,20.2,20.2,20.2,0.2,0.2,0.2,0.0,0.0,0.0,3.3,3.3,3.1,dynasty_draft,2021,TE
119,Ricky Seals-Jones,WAS,2.0,1.5,1.8,22.2,18.3,20.3,0.2,0.2,0.2,0.0,0.0,0.0,3.2,2.6,3.0,dynasty_draft,2021,TE
120,Kaden Smith,NYG,4.1,0.9,2.5,36.9,7.5,22.2,0.3,0.0,0.1,0.0,0.0,0.0,5.2,1.2,2.9,dynasty_draft,2021,TE
