,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Tyreek Hill,KC,111.3,93.0,100.2,1599.0,1296.0,1436.1,13.8,10.4,12.3,15.0,9.5,12.9,97.7,51.9,82.4,1.0,0.4,0.8,0.4,1.0,0.7,250.1,213.6,229.2,dynasty_draft,2021,WR
1,Davante Adams,GB,133.0,112.7,122.6,1568.0,1339.8,1462.5,15.0,11.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8,246.8,208.7,221.3,dynasty_draft,2021,WR
2,Stefon Diggs,BUF,129.6,100.0,113.5,1584.0,1343.0,1476.1,11.3,8.0,9.3,4.7,0.0,2.4,27.0,0.0,15.6,0.2,0.0,0.1,0.5,2.0,1.2,226.7,182.3,202.6,dynasty_draft,2021,WR
3,Calvin Ridley,ATL,106.8,93.7,99.4,1510.0,1337.7,1415.7,10.0,7.6,8.8,6.1,4.0,4.6,31.3,23.0,26.2,0.2,0.0,0.1,0.6,1.0,0.8,207.6,181.1,196.1,dynasty_draft,2021,WR
4,DeAndre Hopkins,ARI,134.0,111.8,122.1,1577.3,1360.9,1468.1,9.3,7.0,7.6,2.0,0.0,0.9,10.0,0.0,4.4,0.0,0.0,0.0,0.9,2.0,1.5,213.0,178.1,190.2,dynasty_draft,2021,WR
5,DK Metcalf,SEA,94.5,81.0,86.6,1382.1,1246.0,1301.4,10.0,9.9,9.9,1.0,0.0,0.3,5.0,0.0,1.3,0.0,0.0,0.0,0.7,2.0,1.4,195.8,184.6,187.2,dynasty_draft,2021,WR
6,Justin Jefferson,MIN,101.0,89.0,93.5,1555.0,1259.6,1391.8,9.1,7.0,7.9,1.0,0.0,0.4,3.8,0.0,1.5,0.0,0.0,0.0,0.5,1.0,0.8,200.1,170.0,185.2,dynasty_draft,2021,WR
7,AJ Brown,TEN,98.5,72.0,84.5,1404.3,1156.0,1268.1,11.0,9.0,9.8,2.0,0.0,0.5,30.0,0.0,7.5,0.0,0.0,0.0,0.8,1.0,0.9,197.9,169.6,184.4,dynasty_draft,2021,WR
8,Keenan Allen,LAC,119.0,104.2,111.3,1316.0,1104.1,1209.1,9.0,6.6,7.9,8.0,0.0,3.0,42.6,0.0,16.3,0.4,0.0,0.1,0.9,1.0,1.0,186.6,149.8,168.5,dynasty_draft,2021,WR
9,Mike Evans,TB,85.1,66.0,76.1,1255.6,1020.0,1113.7,10.0,9.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.7,180.1,156.0,166.5,dynasty_draft,2021,WR
