,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Buccaneers,47.5,45.6,46.3,18.0,14.0,15.3,14.0,8.2,11.1,20.0,15.8,17.9,3.5,2.1,2.8,1.0,0.0,0.5,413.0,335.0,372.8,5037.0,5880.0,5534.7,131.0,110.6,117.0,draft,2021,DST
1,Rams,55.5,41.3,47.1,16.0,11.5,14.1,14.0,8.3,10.7,19.0,12.8,15.9,3.1,1.9,2.7,1.0,1.0,1.0,397.2,346.0,373.4,5118.0,5892.8,5627.2,134.1,95.5,114.9,draft,2021,DST
2,Steelers,53.0,40.7,46.1,19.0,11.1,15.0,13.0,8.3,10.1,18.0,12.7,15.3,3.4,2.0,2.7,1.0,1.0,1.0,419.1,319.0,371.3,4937.6,6001.6,5576.1,133.2,94.7,114.8,draft,2021,DST
3,Team,54.6,43.0,47.1,18.0,11.4,14.0,12.0,8.7,10.4,16.0,15.5,15.7,3.2,2.0,2.5,1.0,0.0,0.5,407.5,335.0,373.1,5060.8,6008.9,5615.3,133.8,101.8,112.2,draft,2021,DST
4,Colts,47.2,40.9,43.0,15.0,12.5,14.0,14.0,7.8,10.6,19.0,14.8,16.9,3.5,2.6,3.0,2.0,0.0,1.0,433.0,368.0,388.3,5486.4,6087.7,5820.7,126.2,97.5,111.8,draft,2021,DST
5,Eagles,58.3,40.2,45.7,15.0,9.0,12.4,15.0,8.0,10.3,21.0,12.3,16.6,3.3,2.0,2.5,1.0,1.0,1.0,435.0,401.0,416.0,5654.4,6302.6,6076.4,138.1,94.0,107.8,draft,2021,DST
6,Cardinals,50.8,44.6,46.5,13.0,9.0,11.7,15.0,7.7,10.5,20.0,14.1,17.0,2.9,1.0,2.1,1.0,1.0,1.0,428.8,377.0,394.4,5708.8,6205.2,5984.0,124.2,91.0,105.5,draft,2021,DST
7,Saints,46.2,40.6,43.3,20.0,12.0,14.5,11.0,6.7,8.9,14.0,10.3,12.1,3.4,2.0,2.5,0.0,0.0,0.0,416.6,365.0,381.5,5088.0,5988.8,5652.7,126.6,93.7,105.3,draft,2021,DST
8,Cowboys,44.3,35.0,39.3,17.0,9.0,13.1,16.0,8.4,11.9,22.0,17.0,19.5,3.9,2.0,2.6,0.0,0.0,0.0,429.0,385.0,407.1,5879.0,6408.4,6116.1,133.7,95.0,105.0,draft,2021,DST
9,Seahawks,43.0,40.5,41.9,14.4,12.9,13.6,12.0,8.0,9.8,16.0,12.5,14.3,2.8,2.0,2.4,2.0,0.0,1.0,429.8,377.0,399.2,5752.0,6290.5,6039.4,109.3,99.1,104.9,draft,2021,DST
10,Patriots,47.0,34.1,39.6,20.0,12.4,15.5,10.0,7.5,8.8,14.0,11.5,12.7,3.5,2.0,2.6,1.0,0.0,0.5,406.6,315.0,355.9,5246.4,6255.7,5837.3,115.1,91.7,104.8,draft,2021,DST
11,49ers,46.7,38.0,42.1,16.0,11.4,13.0,13.0,7.9,10.2,18.0,15.4,16.7,3.1,2.0,2.5,1.0,0.0,0.5,388.0,363.0,375.4,4821.0,5984.1,5498.1,123.3,100.0,104.7,draft,2021,DST
12,Ravens,39.9,28.3,36.4,13.0,12.0,12.6,15.0,7.9,11.2,21.0,14.9,18.0,4.0,2.4,3.1,1.0,1.0,1.0,410.1,329.0,359.8,5251.2,6006.0,5732.6,118.0,98.3,104.5,draft,2021,DST
13,Panthers,41.1,31.0,36.6,17.0,11.0,13.5,18.0,8.2,12.3,24.0,17.1,20.6,3.5,2.0,2.5,1.0,0.0,0.5,452.0,397.5,426.6,5848.0,6229.6,6080.0,127.1,91.0,104.5,draft,2021,DST
14,Packers,43.8,40.2,41.9,18.0,13.0,14.5,12.0,7.0,8.8,16.0,12.2,14.1,3.2,2.0,2.5,1.0,0.0,0.5,420.3,360.0,388.0,5496.0,6152.7,5922.3,123.0,94.0,104.4,draft,2021,DST
15,Dolphins,46.9,25.0,38.9,17.0,13.2,14.9,12.0,6.0,8.8,17.0,13.8,15.4,3.5,2.0,2.7,1.0,1.0,1.0,466.0,379.0,407.0,6038.5,6360.0,6217.9,125.9,83.0,104.1,draft,2021,DST
16,Chiefs,40.9,35.0,37.3,17.0,12.3,14.5,12.0,8.0,9.3,17.0,13.3,15.2,3.9,2.4,3.0,1.0,0.0,0.5,414.9,369.0,389.1,5668.8,6206.8,5976.8,119.0,97.9,104.1,draft,2021,DST
17,Browns,41.0,37.5,38.9,18.0,11.9,14.0,12.0,8.4,10.0,17.0,13.4,15.2,3.3,2.0,2.5,1.0,1.0,1.0,426.0,359.3,392.9,5781.0,6133.5,5935.3,117.3,98.1,104.0,draft,2021,DST
18,Bills,42.3,37.3,40.0,16.0,13.8,14.4,12.0,7.4,9.5,17.0,13.1,15.0,3.5,2.0,2.6,0.0,0.0,0.0,388.1,353.0,371.5,5412.0,5972.7,5761.4,114.3,98.9,103.4,draft,2021,DST
19,Broncos,44.9,38.5,41.6,16.0,11.0,12.9,12.0,7.7,9.1,16.0,11.9,13.9,3.2,2.0,2.5,1.0,0.0,0.5,425.0,354.2,401.0,5703.0,6328.5,5940.8,120.1,93.3,101.3,draft,2021,DST
20,Giants,44.8,35.0,39.5,14.4,11.0,13.0,15.0,8.0,9.9,20.0,13.3,16.7,3.0,2.0,2.4,1.0,0.0,0.5,467.0,384.0,414.4,5794.0,6216.5,6088.1,120.8,87.0,101.0,draft,2021,DST
