,Player,Team,FG_MAX,FG_MIN,FG_MID,FGA_MAX,FGA_MIN,FGA_MID,XPT_MAX,XPT_MIN,XPT_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Harrison Butker,KC,33.0,27.9,30.1,36.0,31.9,33.8,53.1,48.0,50.5,154.8,136.7,140.9,draft,2021,K
1,Justin Tucker,BAL,32.0,28.5,29.7,34.0,33.0,33.4,58.0,45.7,50.8,154.0,132.0,140.1,draft,2021,K
2,Tyler Bass,BUF,30.0,26.4,27.8,36.0,31.9,33.3,52.7,44.0,48.6,147.5,123.1,132.1,draft,2021,K
3,Greg Zuerlein,DAL,37.0,25.1,29.3,47.0,30.2,36.2,48.0,37.9,43.9,159.0,121.0,131.9,draft,2021,K
4,Rodrigo Blankenship,IND,31.0,26.7,29.0,37.0,32.6,35.1,45.0,38.5,40.7,138.8,118.8,127.7,draft,2021,K
5,Jason Myers,SEA,27.8,27.0,27.5,31.8,31.0,31.4,46.5,42.0,44.8,143.4,123.0,127.4,draft,2021,K
6,Younghoe Koo,ATL,33.0,26.5,30.3,37.0,30.2,34.4,38.3,30.7,35.7,139.5,117.7,126.7,draft,2021,K
7,Jason Sanders,MIA,31.0,28.7,29.7,37.0,33.4,34.8,44.0,31.0,37.6,137.0,125.8,126.7,draft,2021,K
8,Ryan Succop,TB,32.0,22.7,26.7,37.0,28.0,31.7,48.9,42.8,46.6,144.0,119.7,126.6,draft,2021,K
9,Mason Crosby,GB,27.2,21.8,24.7,31.2,24.7,27.3,53.1,50.0,51.2,149.9,115.8,125.2,draft,2021,K
10,Matt Gay,LAR,29.7,26.0,28.4,35.0,31.0,33.5,42.1,33.2,38.1,136.0,117.0,123.3,draft,2021,K
11,Daniel Carlson,LV,29.0,26.3,27.9,35.0,31.6,33.7,40.0,37.6,38.8,134.5,118.0,122.6,draft,2021,K
12,Robbie Gould,SF,28.0,24.8,26.6,33.5,32.3,32.9,47.0,39.4,42.3,131.0,119.9,122.0,draft,2021,K
13,Matt Prater,ARI,27.4,25.0,26.4,32.1,31.0,31.6,43.0,41.2,42.3,134.2,118.0,121.4,draft,2021,K
14,Michael Badgley,LAC,28.0,25.9,27.0,36.6,32.7,34.7,43.0,37.4,39.4,129.4,115.7,120.5,draft,2021,K
15,Brandon McManus,DEN,30.0,25.8,28.6,34.0,30.7,32.9,36.7,31.3,34.7,126.6,122.8,120.4,draft,2021,K
16,Graham Gano,NYG,31.6,27.0,29.3,34.6,29.0,32.4,36.0,28.1,31.7,140.7,112.0,119.7,draft,2021,K
17,Chase McLaughlin,CLE,28.1,23.0,26.2,33.2,28.0,31.3,45.6,38.0,41.1,136.5,107.0,119.6,draft,2021,K
18,Sam Ficken,TEN,27.1,22.2,24.8,33.2,27.2,30.8,46.5,41.0,44.4,138.4,112.5,118.7,draft,2021,K
19,Greg Joseph,MIN,26.5,23.0,24.7,32.1,28.0,29.9,48.0,41.4,43.8,131.2,115.6,118.0,draft,2021,K
20,Nick Folk,NE,29.1,25.0,27.0,34.5,28.0,31.3,37.7,33.9,36.2,131.4,112.0,117.1,draft,2021,K
21,Ka'imi Fairbairn,HOU,29.2,25.0,27.5,34.2,30.0,32.6,37.1,30.5,33.8,138.8,109.0,116.4,draft,2021,K
22,Evan McPherson,CIN,27.9,26.0,26.9,34.2,31.0,32.6,36.9,34.0,35.4,120.4,112.0,116.2,draft,2021,K
23,Cairo Santos,CHI,28.0,24.8,26.7,34.0,30.8,32.4,41.0,32.4,35.4,125.0,114.4,115.4,draft,2021,K
24,Chris Boswell,PIT,26.0,25.0,25.5,30.4,28.0,29.1,40.0,31.9,37.2,119.9,114.5,113.8,draft,2021,K
25,Joey Slye,CAR,27.0,26.3,26.7,34.0,32.3,33.5,34.0,31.8,32.7,123.3,112.2,112.8,draft,2021,K
26,Dustin Hopkins,WAS,27.1,25.0,25.8,32.6,31.0,31.8,37.1,28.8,33.6,118.4,110.0,110.9,draft,2021,K
27,Randy Bullock,DET,28.5,23.0,26.0,34.0,27.0,31.5,35.0,31.3,32.6,124.0,104.0,110.5,draft,2021,K
28,Josh Lambo,JAC,28.7,22.0,25.6,32.5,24.0,28.4,36.3,26.6,31.3,123.8,97.0,108.1,draft,2021,K
29,Austin Seibert,CIN,25.3,25.3,25.3,33.7,33.7,33.7,27.9,27.9,27.9,113.3,113.3,103.9,draft,2021,K
30,Matt Ammendola,NYJ,27.3,22.0,24.7,33.5,26.0,29.7,31.2,28.0,29.6,113.1,94.0,103.5,draft,2021,K
31,Jake Elliott,PHI,26.7,18.0,22.4,32.6,21.0,27.4,34.8,33.0,33.8,114.9,87.0,101.1,draft,2021,K
32,Aldrick Rosas,NO,23.3,7.0,12.8,31.5,9.0,16.7,42.3,10.4,21.2,120.8,32.0,59.5,draft,2021,K
33,Wil Lutz,NO,19.2,0.0,12.4,23.1,0.0,14.7,35.0,0.0,20.9,89.0,0.0,58.1,draft,2021,K
34,Brett Maher,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2021,K
35,Cody Parkey,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2021,K
