,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Josh Allen,BUF,630.4,561.0,605.4,418.7,376.0,400.3,4742.3,4322.0,4576.8,35.0,31.8,33.7,11.0,16.3,13.3,127.5,102.0,110.8,590.3,447.0,519.9,10.0,6.2,7.6,5.0,5.3,5.1,438.8,372.0,378.8,draft,2021,QB
1,Patrick Mahomes,KC,660.0,589.0,631.8,447.0,389.0,420.3,5212.7,4833.0,5047.3,40.0,35.8,38.5,7.0,10.2,8.9,69.7,29.0,55.2,327.6,150.0,266.9,3.9,2.0,2.9,1.0,4.0,2.5,442.2,369.3,377.6,draft,2021,QB
2,Kyler Murray,ARI,606.5,565.0,584.6,407.2,373.0,388.1,4494.5,4014.0,4176.4,29.0,24.7,26.5,9.2,16.0,12.4,135.9,120.0,127.1,727.0,656.2,704.5,8.7,7.0,7.8,3.0,4.3,3.7,414.4,352.4,358.3,draft,2021,QB
3,Lamar Jackson,BAL,489.9,445.0,462.1,317.5,288.0,296.2,3551.9,3316.0,3384.6,31.0,25.9,28.7,9.8,17.0,12.2,166.3,130.0,153.4,1092.0,857.0,923.5,7.8,6.0,6.8,3.0,5.1,4.0,406.8,328.7,350.6,draft,2021,QB
4,Dak Prescott,DAL,649.0,584.0,622.1,431.0,392.0,415.6,5162.8,4559.0,4843.3,32.0,29.8,31.1,6.3,15.0,11.1,72.4,57.0,63.8,356.5,258.6,298.3,5.6,3.0,4.1,4.0,4.4,4.2,403.9,341.6,341.8,draft,2021,QB
5,Justin Herbert,LAC,663.0,585.0,617.4,432.0,374.0,402.5,4953.0,4388.0,4619.8,34.1,28.0,31.0,11.0,14.0,12.0,67.9,56.1,61.5,306.6,248.1,273.4,7.0,3.0,4.4,1.0,4.2,2.6,379.9,308.9,333.4,draft,2021,QB
6,Russell Wilson,SEA,596.1,539.5,570.6,400.9,351.9,380.4,4403.7,4102.5,4248.5,37.0,30.7,34.4,10.8,15.0,12.3,98.0,76.0,83.3,488.0,418.9,450.1,2.3,2.0,2.1,3.0,4.1,3.5,426.3,312.3,333.4,draft,2021,QB
7,Aaron Rodgers,GB,589.0,548.0,571.2,396.0,367.0,384.8,4570.5,4367.5,4457.3,39.0,34.2,36.6,5.7,9.1,7.2,45.0,37.0,41.0,197.4,155.0,174.0,2.0,1.7,1.9,3.0,3.2,3.1,398.5,316.5,332.9,draft,2021,QB
8,Tom Brady,TB,648.0,596.0,621.5,418.7,390.6,404.8,4856.0,4531.0,4706.1,38.8,35.3,36.8,10.2,15.0,11.9,31.0,16.0,24.4,52.5,19.0,31.4,3.0,1.1,2.1,1.0,3.3,2.2,388.5,314.2,322.7,draft,2021,QB
9,Jalen Hurts,PHI,594.3,458.0,542.5,379.0,270.0,331.8,4251.1,3250.0,3748.6,26.0,20.6,22.6,12.5,18.0,14.5,155.0,122.7,138.0,794.0,595.9,710.7,6.8,5.0,5.9,3.0,6.8,4.9,359.7,302.6,308.5,draft,2021,QB
10,Ryan Tannehill,TEN,578.0,499.8,531.2,378.8,327.7,351.4,4368.1,3991.7,4151.4,34.0,27.0,30.5,9.0,12.8,10.5,58.0,47.0,51.5,254.0,209.0,227.9,5.0,2.2,3.4,2.0,3.7,2.9,360.2,289.8,304.7,draft,2021,QB
