,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Travis Kelce,KC,124.0,95.0,112.6,1535.0,1220.0,1405.5,11.0,8.0,10.1,0.6,1.0,0.8,219.5,170.0,199.8,draft,2021,TE
1,George Kittle,SF,120.0,82.9,96.7,1502.0,1048.7,1213.3,7.3,5.8,6.5,0.3,1.0,0.7,192.2,143.2,159.2,draft,2021,TE
2,Darren Waller,LV,109.7,94.0,100.4,1217.0,1077.6,1148.5,7.6,7.0,7.1,0.7,1.0,0.9,164.0,148.0,155.9,draft,2021,TE
3,Mark Andrews,BAL,75.6,66.0,69.7,899.5,816.0,850.4,9.0,7.0,8.1,0.7,1.0,0.9,139.2,123.6,132.1,draft,2021,TE
4,Kyle Pitts,ATL,77.5,62.0,69.0,889.2,767.0,832.5,7.0,5.7,6.4,0.5,2.0,1.2,129.3,112.7,119.1,draft,2021,TE
5,TJ Hockenson,DET,80.6,68.0,75.1,889.0,787.0,834.2,5.6,5.0,5.2,0.5,1.0,0.8,118.9,108.7,113.1,draft,2021,TE
6,Dallas Goedert,PHI,70.7,60.0,64.5,766.5,655.0,712.6,6.2,4.4,5.1,0.4,1.0,0.7,113.1,95.5,100.6,draft,2021,TE
7,Robert Tonyan,GB,67.0,47.0,55.5,715.0,518.0,612.7,8.0,5.5,6.3,0.0,0.3,0.1,107.5,91.3,98.8,draft,2021,TE
8,Tyler Higbee,LAR,67.0,47.1,58.8,757.0,536.0,654.7,6.0,4.2,5.2,0.3,1.0,0.6,111.7,78.5,95.2,draft,2021,TE
9,Noah Fant,DEN,68.2,59.0,62.1,743.7,627.0,691.9,5.0,3.8,4.4,0.3,1.0,0.6,104.2,84.9,94.4,draft,2021,TE
10,Logan Thomas,WAS,66.5,55.0,62.8,706.7,558.0,646.5,5.9,4.0,5.0,0.2,1.0,0.6,109.5,85.8,93.3,draft,2021,TE
11,Mike Gesicki,MIA,61.8,52.4,55.3,647.0,607.7,621.3,6.0,4.7,5.3,0.3,1.0,0.7,97.6,89.0,92.4,draft,2021,TE
12,Irv Smith,MIN,56.0,48.1,51.8,615.0,522.1,569.4,6.0,4.5,5.4,0.3,1.0,0.7,97.5,78.3,87.9,draft,2021,TE
13,Jared Cook,LAC,51.0,39.7,45.9,684.0,495.0,577.2,7.0,4.3,5.1,0.3,1.0,0.6,110.4,74.5,87.3,draft,2021,TE
14,Rob Gronkowski,TB,50.0,39.0,42.1,653.0,481.7,549.8,5.6,5.0,5.3,0.0,0.3,0.2,95.3,81.2,86.3,draft,2021,TE
15,Eric Ebron,PIT,69.0,50.8,58.0,663.0,505.5,574.2,5.0,4.0,4.6,0.3,1.0,0.7,96.3,76.7,83.4,draft,2021,TE
16,Hunter Henry,NE,61.0,49.4,53.7,653.0,547.1,584.0,5.0,3.2,4.2,0.2,1.0,0.6,95.3,73.5,82.3,draft,2021,TE
17,Jonnu Smith,NE,57.0,50.0,53.5,568.0,555.8,561.7,5.0,3.0,4.1,0.3,1.0,0.7,86.8,74.5,79.6,draft,2021,TE
18,Blake Jarwin,DAL,51.7,46.6,49.3,606.8,520.0,551.2,5.0,3.4,4.1,0.0,0.3,0.2,84.9,71.9,79.6,draft,2021,TE
19,Evan Engram,NYG,59.0,52.7,57.4,618.0,534.1,581.4,4.2,3.0,3.6,0.3,1.0,0.7,87.3,76.1,78.7,draft,2021,TE
20,Adam Trautman,NO,62.0,45.0,49.9,685.0,464.0,541.9,4.1,3.0,3.8,0.3,1.0,0.7,92.5,64.4,75.6,draft,2021,TE
21,Austin Hooper,CLE,51.0,48.0,49.6,546.0,466.0,498.1,5.0,4.0,4.5,0.2,1.0,0.6,84.6,70.6,75.5,draft,2021,TE
22,Anthony Firkser,TEN,55.0,43.5,48.7,566.0,479.5,522.8,4.9,3.0,3.8,0.0,0.2,0.1,81.1,68.3,75.0,draft,2021,TE
23,Gerald Everett,SEA,46.0,39.1,41.9,466.0,396.2,431.7,5.0,3.0,3.9,0.3,1.0,0.6,76.6,60.6,65.2,draft,2021,TE
24,Zach Ertz,PHI,52.2,36.4,44.2,501.0,391.4,451.5,4.0,2.3,3.2,0.0,0.2,0.1,70.6,52.2,64.1,draft,2021,TE
25,Cole Kmet,CHI,51.0,38.0,45.0,498.4,377.0,447.2,4.0,2.0,3.3,0.3,2.0,1.2,72.2,49.7,62.2,draft,2021,TE
26,Dawson Knox,BUF,39.0,31.0,33.3,460.0,353.0,383.8,4.0,3.0,3.5,0.3,1.0,0.6,70.0,54.6,58.4,draft,2021,TE
27,Hayden Hurst,ATL,48.0,29.0,38.5,502.0,306.0,404.6,4.0,2.0,2.9,0.0,0.1,0.1,74.2,42.6,58.0,draft,2021,TE
28,Jordan Akins,HOU,49.0,22.8,39.7,490.0,252.1,421.8,3.0,1.8,2.5,0.0,0.2,0.1,67.0,35.9,57.1,draft,2021,TE
29,Chris Herndon,NYJ,46.0,37.0,41.1,466.0,391.8,414.1,4.0,2.6,3.2,0.4,3.0,1.7,64.6,55.2,57.1,draft,2021,TE
30,CJ Uzomah,CIN,44.0,23.6,36.7,425.0,231.1,357.7,5.0,1.9,3.2,0.0,0.2,0.1,71.7,34.7,55.0,draft,2021,TE
31,Jack Doyle,IND,40.0,26.5,34.5,422.0,268.5,354.9,4.0,2.6,3.2,0.0,0.3,0.2,60.2,42.0,54.6,draft,2021,TE
32,Mo Alie-Cox,IND,43.0,29.1,33.2,404.0,331.4,363.0,3.0,2.0,2.7,0.2,1.0,0.6,58.4,49.3,51.0,draft,2021,TE
33,Will Dissly,SEA,38.0,20.8,30.3,379.0,229.6,317.9,4.0,2.3,3.0,0.0,0.2,0.1,60.9,36.4,49.5,draft,2021,TE
34,Donald Parham,LAC,31.0,23.0,28.0,439.0,287.0,340.6,3.2,2.0,2.5,0.0,0.2,0.1,55.9,40.7,48.9,draft,2021,TE
35,OJ Howard,TB,40.0,14.5,27.1,499.0,153.9,343.1,3.5,1.4,2.5,0.4,1.0,0.7,67.9,23.7,47.8,draft,2021,TE
36,Dan Arnold,CAR,33.0,23.0,27.7,479.0,246.4,346.2,4.0,1.0,2.3,0.3,1.0,0.7,71.9,34.7,47.0,draft,2021,TE
37,Tyler Conklin,MIN,34.3,26.0,29.4,359.4,274.0,308.5,3.3,2.0,2.4,0.0,0.2,0.1,55.5,39.4,44.9,draft,2021,TE
38,David Njoku,CLE,29.0,16.3,24.2,288.0,187.8,260.1,3.0,2.0,2.6,0.0,0.1,0.0,46.8,30.5,41.7,draft,2021,TE
39,Jacob Hollister,BUF,54.0,13.2,29.1,451.0,121.2,263.8,4.0,1.4,2.3,0.1,1.0,0.6,69.1,20.3,39.2,draft,2021,TE
40,Dalton Schultz,DAL,39.0,13.0,26.7,401.0,137.3,277.5,3.0,1.0,2.1,0.2,1.0,0.6,58.1,19.8,39.1,draft,2021,TE
41,Jimmy Graham,CHI,27.0,17.1,22.6,288.0,175.7,235.4,3.0,1.7,2.6,0.0,0.2,0.1,46.8,27.6,38.7,draft,2021,TE
42,Maxx Williams,ARI,29.9,15.0,21.1,289.5,191.0,235.3,2.2,1.7,2.0,0.0,0.2,0.1,41.5,29.9,35.1,draft,2021,TE
43,Nick Boyle,BAL,28.0,17.2,23.3,283.0,149.9,219.4,3.0,1.6,2.1,0.0,0.1,0.0,46.3,24.5,34.7,draft,2021,TE
44,Geoff Swaim,TEN,30.0,12.6,23.2,288.0,109.6,216.1,2.0,1.2,1.8,0.0,0.1,0.1,40.8,17.9,32.2,draft,2021,TE
45,Kyle Rudolph,NYG,35.0,12.0,22.9,291.0,109.9,212.4,3.0,0.9,1.8,0.0,0.1,0.1,47.1,16.4,31.8,draft,2021,TE
46,Drew Sample,CIN,45.0,17.0,24.5,393.0,161.3,231.8,2.0,1.0,1.4,0.1,1.0,0.6,51.3,22.5,30.5,draft,2021,TE
47,James O'Shaughnessy,JAC,31.5,18.4,24.2,322.6,177.3,238.7,1.7,0.0,1.0,0.0,0.2,0.1,42.3,18.5,29.9,draft,2021,TE
48,Harrison Bryant,CLE,30.0,13.0,19.4,318.0,144.0,207.1,4.0,0.0,1.9,0.1,2.0,1.1,55.8,14.4,29.7,draft,2021,TE
