,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Tyreek Hill,KC,111.3,93.0,100.7,1599.0,1296.0,1440.3,13.8,10.2,12.2,15.0,9.5,12.9,96.4,51.9,81.8,1.0,0.4,0.8,0.4,1.0,0.7,250.1,213.7,229.3,draft,2021,WR
1,Davante Adams,GB,134.0,114.1,123.6,1666.0,1337.8,1492.7,15.0,11.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8,256.6,205.6,223.3,draft,2021,WR
2,Stefon Diggs,BUF,129.7,100.0,113.6,1581.0,1343.0,1479.6,11.3,8.0,9.2,4.7,0.0,2.4,27.0,0.0,15.5,0.2,0.0,0.1,0.5,2.0,1.2,227.0,182.3,202.7,draft,2021,WR
3,Calvin Ridley,ATL,106.6,95.4,99.7,1507.4,1380.0,1425.8,11.0,7.6,9.1,6.1,4.0,4.8,31.3,22.9,26.3,0.2,0.0,0.1,0.6,1.0,0.8,210.5,185.4,198.7,draft,2021,WR
4,DeAndre Hopkins,ARI,134.0,112.0,121.7,1543.0,1371.5,1461.6,9.0,7.0,7.6,2.0,0.0,0.9,10.0,0.0,4.4,0.0,0.0,0.0,0.9,2.0,1.5,208.2,178.5,189.0,draft,2021,WR
5,DK Metcalf,SEA,94.5,81.0,86.6,1380.0,1246.0,1305.1,10.0,9.8,9.9,1.0,0.0,0.3,5.0,0.0,1.3,0.0,0.0,0.0,0.7,2.0,1.4,194.7,184.6,187.5,draft,2021,WR
6,Justin Jefferson,MIN,101.6,89.4,94.5,1566.0,1270.0,1399.4,9.0,7.0,7.9,1.0,0.0,0.4,3.8,0.0,1.5,0.0,0.0,0.0,0.5,1.0,0.8,201.0,171.1,185.9,draft,2021,WR
7,AJ Brown,TEN,98.7,72.0,84.6,1410.5,1156.0,1269.2,11.0,9.0,9.8,2.0,0.0,0.5,30.0,0.0,7.5,0.0,0.0,0.0,0.8,1.0,0.9,198.6,169.6,184.7,draft,2021,WR
8,Keenan Allen,LAC,119.0,104.8,111.4,1322.0,1093.3,1207.9,9.0,6.5,7.9,8.0,0.0,3.0,42.6,0.0,16.3,0.4,0.0,0.1,0.9,1.0,1.0,187.2,148.3,168.2,draft,2021,WR
9,Mike Evans,TB,85.2,66.0,76.1,1250.1,1019.0,1115.8,11.0,9.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.7,178.8,155.9,167.6,draft,2021,WR
