,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Buccaneers,49.6,38.3,44.2,16.0,12.3,14.4,17.0,8.6,11.8,23.0,15.3,19.2,3.4,2.2,2.9,1.0,0.0,0.6,385.4,345.4,365.8,5372.8,5794.6,5557.2,122.7,107.1,114.9,draft,2022,DST
1,Bills,46.0,40.0,43.3,21.0,11.8,16.3,13.0,7.7,10.0,18.0,12.8,15.4,3.7,2.0,2.8,1.0,0.0,0.6,352.4,313.0,331.5,4931.2,5672.2,5285.5,136.2,103.3,113.6,draft,2022,DST
2,Steelers,54.0,42.7,48.9,17.0,11.5,14.3,11.0,9.1,10.3,16.0,15.1,15.6,3.0,2.0,2.5,0.7,0.0,0.2,407.1,377.0,391.3,5701.0,6044.8,5870.0,128.0,101.1,113.3,draft,2022,DST
3,Cowboys,44.7,35.7,40.0,21.0,11.8,16.5,13.0,8.4,10.6,17.0,15.3,16.1,3.9,2.4,3.0,0.8,0.0,0.3,399.4,324.8,375.7,5719.0,5958.4,5844.2,127.1,104.4,112.4,draft,2022,DST
4,Packers,45.8,40.8,43.0,21.2,12.1,16.4,12.0,8.0,9.6,16.0,12.4,14.2,3.3,2.3,2.8,0.7,0.0,0.2,383.0,340.5,357.0,5481.6,5761.2,5598.6,127.6,100.7,112.4,draft,2022,DST
5,Rams,45.0,41.3,43.4,17.0,11.8,14.6,12.0,8.2,10.1,13.0,12.5,12.8,3.2,2.4,2.8,1.0,0.0,0.5,416.7,345.0,364.6,5079.0,6002.6,5674.9,127.0,99.4,110.8,draft,2022,DST
6,Saints,45.3,43.1,43.9,18.0,12.6,15.0,12.0,7.7,9.8,16.0,11.9,14.0,3.3,2.0,2.6,0.6,0.0,0.2,393.7,245.0,338.9,5451.0,5808.6,5615.1,123.7,100.5,109.5,draft,2022,DST
7,Dolphins,48.0,41.6,44.2,17.0,11.7,14.6,13.0,7.5,9.7,18.0,14.4,16.2,3.3,2.0,2.6,1.0,0.0,0.6,385.0,360.0,374.4,5320.0,5904.0,5698.7,121.8,100.3,109.5,draft,2022,DST
8,Chargers,43.2,40.7,42.1,18.0,11.5,14.1,13.0,8.8,10.8,18.0,17.1,17.5,3.5,2.0,2.7,1.0,0.0,0.6,422.0,359.8,394.8,5738.0,5989.5,5863.4,123.7,102.0,109.1,draft,2022,DST
9,49ers,52.0,40.0,44.7,15.7,12.0,13.8,14.0,8.4,10.5,20.0,13.6,16.8,3.1,2.0,2.6,0.7,0.0,0.2,390.1,326.0,358.3,5151.0,5833.3,5513.2,128.6,101.1,109.0,draft,2022,DST
