,Player,Team,FG_MAX,FG_MIN,FG_MID,FGA_MAX,FGA_MIN,FGA_MID,XPT_MAX,XPT_MIN,XPT_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Justin Tucker,BAL,32.2,25.8,29.9,36.5,31.0,34.2,43.0,36.9,39.9,154.2,117.1,129.7,draft,2022,K
1,Harrison Butker,KC,30.0,26.0,27.7,33.3,29.0,31.6,51.4,40.3,46.2,153.3,118.1,129.5,draft,2022,K
2,Daniel Carlson,LV,34.3,24.2,30.6,38.0,33.1,35.8,41.8,33.0,37.5,155.3,111.3,129.3,draft,2022,K
3,Matt Gay,LAR,31.4,24.0,29.2,36.1,32.0,34.4,45.0,34.3,41.3,145.5,111.9,128.9,draft,2022,K
4,Ryan Succop,TB,28.9,24.8,26.6,35.0,30.0,32.6,52.0,42.7,47.6,141.4,122.6,127.3,draft,2022,K
5,Tyler Bass,BUF,31.0,23.0,27.0,37.0,31.4,33.3,53.0,36.3,45.6,146.0,105.4,126.7,draft,2022,K
6,Greg Joseph,MIN,32.6,27.7,29.8,37.0,32.7,34.9,41.7,27.5,36.9,149.9,111.0,126.5,draft,2022,K
7,Matt Prater,ARI,29.5,25.0,27.2,36.3,31.0,33.8,45.0,42.4,43.5,145.0,118.9,125.2,draft,2022,K
8,Mason Crosby,GB,30.4,24.0,26.5,36.5,30.0,33.0,48.7,42.5,45.2,150.8,116.0,124.8,draft,2022,K
9,Evan McPherson,CIN,31.0,25.1,28.8,36.0,32.0,34.5,44.7,29.8,38.2,137.0,105.1,124.5,draft,2022,K
10,Nick Folk,NE,31.0,23.5,28.4,34.0,32.9,33.3,42.5,35.0,38.7,142.4,108.7,123.9,draft,2022,K
11,Rodrigo Blankenship,IND,32.0,25.3,28.1,38.0,31.8,34.0,44.3,28.3,38.4,148.4,104.1,122.8,draft,2022,K
12,Robbie Gould,SF,31.8,23.0,27.2,36.7,27.0,31.9,43.5,35.0,40.7,146.4,111.0,122.2,draft,2022,K
13,Brandon McManus,DEN,28.4,23.7,27.1,33.3,32.0,32.7,44.0,34.7,40.2,131.8,110.4,121.5,draft,2022,K
14,Dustin Hopkins,LAC,29.0,25.0,26.2,33.0,29.9,30.9,47.0,28.2,42.0,135.3,103.6,120.4,draft,2022,K
15,Chris Boswell,PIT,31.0,25.0,29.1,36.2,32.4,34.4,43.4,27.8,32.4,136.2,114.6,119.7,draft,2022,K
16,Randy Bullock,TEN,27.0,23.0,25.5,32.0,28.0,30.7,43.4,38.0,40.5,128.3,107.0,117.1,draft,2022,K
17,Younghoe Koo,ATL,30.0,24.0,27.6,32.0,30.0,31.4,41.6,26.9,33.4,129.0,113.3,116.3,draft,2022,K
18,Jake Elliott,PHI,28.2,27.4,27.8,35.2,31.0,32.4,45.0,3.7,32.5,130.2,85.9,115.9,draft,2022,K
19,Wil Lutz,NO,29.0,25.0,26.5,32.0,30.0,31.2,42.0,30.5,36.4,128.0,111.7,115.8,draft,2022,K
20,Jason Sanders,MIA,28.1,22.2,25.6,35.0,26.7,31.6,43.0,32.3,37.6,130.3,103.9,114.4,draft,2022,K
21,Graham Gano,NYG,29.5,24.5,27.4,34.1,31.0,32.5,34.0,26.6,30.6,129.2,101.3,112.7,draft,2022,K
22,Cairo Santos,CHI,29.4,23.6,26.3,35.2,30.0,31.9,43.3,28.6,33.6,133.3,106.0,112.4,draft,2022,K
23,Austin Seibert,DET,30.1,23.0,26.1,33.1,27.0,30.1,40.4,30.1,34.2,130.8,103.0,112.4,draft,2022,K
24,Joey Slye,WAS,28.4,24.0,25.9,33.9,30.0,31.4,36.9,28.0,32.1,126.5,104.5,109.7,draft,2022,K
25,Zane Gonzalez,CAR,27.8,24.0,25.7,32.6,28.0,29.9,34.0,26.0,30.8,117.4,105.0,107.8,draft,2022,K
26,Cade York,CLE,27.2,21.0,24.3,33.2,25.0,29.2,41.0,26.1,33.8,125.7,97.4,106.6,draft,2022,K
27,Jason Myers,SEA,27.3,18.0,23.4,32.4,23.0,28.3,39.0,29.0,33.5,124.8,83.0,103.7,draft,2022,K
28,Ka'imi Fairbairn,HOU,27.0,22.0,24.4,32.4,26.0,29.0,38.3,26.0,30.1,122.6,92.0,103.2,draft,2022,K
29,Greg Zuerlein,NYJ,27.4,22.0,23.9,33.1,27.0,29.7,31.8,29.0,30.2,113.9,95.0,101.9,draft,2022,K
30,Riley Patterson,DET,21.9,21.9,21.9,0.0,0.0,0.0,30.2,30.2,30.2,95.8,95.8,95.8,draft,2022,K
31,Brett Maher,DAL,26.3,1.7,19.2,32.1,28.0,30.7,52.0,3.1,35.0,128.0,8.1,92.4,draft,2022,K
