,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Jonathan Taylor,IND,372.6,302.0,326.1,1838.1,1284.7,1602.9,17.0,12.2,14.7,48.0,35.0,42.4,416.0,277.1,353.8,3.0,1.2,2.0,1.4,4.0,2.3,332.1,233.7,291.6,draft,2022,RB
1,Derrick Henry,TEN,404.7,344.4,366.2,2054.8,1362.3,1640.4,17.0,10.9,13.0,35.0,20.0,27.4,289.0,145.0,215.9,1.5,0.0,0.9,0.8,4.0,2.0,317.7,229.6,265.0,draft,2022,RB
2,Austin Ekeler,LAC,267.4,190.0,221.0,1208.6,855.0,983.6,11.2,8.1,9.5,81.0,65.6,74.4,747.0,610.8,664.8,8.0,3.3,5.3,0.0,3.0,1.5,287.4,216.2,250.5,draft,2022,RB
3,Christian McCaffrey,CAR,309.7,208.0,238.6,1414.0,945.2,1061.6,9.5,5.0,7.5,101.0,80.7,89.0,850.0,680.7,758.2,5.0,2.4,4.1,0.0,3.0,1.4,302.9,219.1,249.0,draft,2022,RB
4,Joe Mixon,CIN,308.9,269.6,286.9,1345.8,1129.7,1202.6,11.0,8.9,9.8,56.6,40.0,47.1,487.1,279.9,342.1,3.0,2.0,2.6,1.0,3.0,1.6,243.9,210.9,225.3,draft,2022,RB
5,Dalvin Cook,MIN,323.0,253.0,276.2,1440.0,1137.0,1241.8,11.0,8.7,9.8,55.7,36.1,44.9,398.0,251.7,334.1,3.0,0.7,1.5,1.5,4.0,2.5,255.8,201.1,220.5,draft,2022,RB
6,Alvin Kamara,NO,265.3,143.0,219.2,1168.5,715.0,963.2,11.0,6.0,7.9,67.0,55.3,60.0,577.0,480.1,529.7,5.0,3.1,4.1,0.0,3.0,1.2,239.6,194.9,218.8,draft,2022,RB
7,Najee Harris,PIT,319.0,276.2,298.5,1292.1,1111.8,1184.0,9.3,6.1,7.7,77.0,44.1,60.7,476.0,298.4,397.1,3.0,1.2,2.1,0.0,4.0,1.6,241.1,185.1,213.6,draft,2022,RB
8,Leonard Fournette,TB,287.4,211.0,230.9,1161.7,861.0,961.8,10.0,8.0,9.1,79.0,43.2,61.1,582.0,278.6,416.8,3.0,1.0,2.1,0.0,3.0,1.3,221.9,194.7,202.6,draft,2022,RB
9,James Conner,ARI,250.4,214.0,226.5,1057.8,872.0,927.4,11.1,8.8,10.2,48.9,39.0,44.1,440.8,306.5,358.5,3.0,1.5,2.3,0.6,3.0,1.6,212.1,194.2,201.0,draft,2022,RB
