,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Travis Kelce,KC,118.0,82.0,99.4,1432.0,972.0,1179.3,11.0,7.1,9.3,0.0,1.0,0.5,209.2,140.8,172.6,draft,2022,TE
1,Mark Andrews,BAL,111.0,81.1,96.1,1426.9,1005.1,1195.0,10.0,8.0,8.9,0.0,1.0,0.5,200.7,150.3,172.1,draft,2022,TE
2,Kyle Pitts,ATL,84.0,60.8,73.1,1178.0,790.1,997.8,6.0,3.0,4.6,0.0,1.0,0.5,134.9,107.8,126.7,draft,2022,TE
3,Darren Waller,LV,90.0,68.5,77.5,1054.0,856.3,931.0,6.0,4.0,5.1,0.0,1.0,0.5,135.5,111.5,122.6,draft,2022,TE
4,George Kittle,SF,83.0,66.2,71.2,1050.0,814.0,870.8,6.0,4.9,5.4,0.0,1.0,0.5,135.0,112.4,118.6,draft,2022,TE
5,Dalton Schultz,DAL,85.9,70.8,77.4,1010.9,706.0,805.2,7.0,5.4,6.2,0.0,1.0,0.4,142.8,102.7,116.6,draft,2022,TE
6,Dallas Goedert,PHI,68.0,58.2,63.5,899.0,688.2,794.5,6.0,4.1,5.0,0.0,1.0,0.5,125.9,92.5,108.6,draft,2022,TE
7,TJ Hockenson,DET,74.0,64.0,67.6,786.0,605.2,693.3,6.0,4.1,5.1,0.0,1.0,0.4,102.4,89.2,99.3,draft,2022,TE
8,Hunter Henry,NE,65.0,47.0,53.8,792.0,555.0,618.0,8.0,4.5,6.0,0.0,0.2,0.1,97.5,83.3,97.9,draft,2022,TE
9,Dawson Knox,BUF,57.0,42.0,49.1,666.0,520.0,593.6,8.0,5.1,6.2,0.0,0.3,0.1,97.5,88.3,96.1,draft,2022,TE
10,Zach Ertz,ARI,74.0,58.8,64.7,743.0,594.6,662.9,6.0,3.8,4.8,0.0,1.0,0.4,107.0,82.1,94.0,draft,2022,TE
11,Mike Gesicki,MIA,74.0,53.7,61.5,830.0,551.6,671.1,5.0,2.9,4.0,0.0,1.0,0.4,107.0,76.2,90.5,draft,2022,TE
12,Noah Fant,SEA,63.0,58.8,60.7,743.0,566.8,653.6,4.6,3.0,3.8,0.0,1.0,0.4,98.0,76.8,87.6,draft,2022,TE
13,Tyler Higbee,LAR,67.8,52.2,59.2,694.3,502.3,595.5,5.0,4.0,4.7,0.0,1.0,0.4,99.5,77.3,86.7,draft,2022,TE
14,David Njoku,CLE,61.0,47.4,53.2,651.0,553.5,602.9,6.0,3.6,4.3,0.0,1.0,0.4,99.2,80.3,85.5,draft,2022,TE
