,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Cooper Kupp,LAR,137.3,109.0,123.0,1890.6,1348.8,1599.7,14.8,9.8,12.4,4.3,3.8,4.1,27.0,19.0,23.9,0.3,0.0,0.1,0.0,1.0,0.6,289.1,195.9,236.2,draft,2022,WR
1,Ja'Marr Chase,CIN,101.5,83.0,91.7,1628.0,1255.8,1417.5,14.0,9.0,10.5,14.4,4.4,8.5,82.4,27.9,49.9,0.6,0.0,0.2,0.1,1.0,0.6,209.3,190.9,209.4,draft,2022,WR
2,Justin Jefferson,MIN,111.0,92.0,103.2,1627.0,1370.2,1506.8,11.0,8.2,9.6,5.0,0.0,3.1,31.0,0.0,16.0,0.2,0.0,0.0,0.0,1.0,0.6,217.9,189.6,208.7,draft,2022,WR
3,Deebo Samuel,SF,78.5,59.0,70.7,1251.0,855.0,1052.8,7.6,5.0,6.1,95.0,50.8,66.2,503.0,309.9,376.2,5.0,4.2,4.7,0.1,1.1,0.7,220.9,179.7,206.4,draft,2022,WR
4,Davante Adams,LV,125.2,90.0,106.4,1553.5,1157.0,1322.2,11.2,7.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,222.7,157.4,186.7,draft,2022,WR
5,Stefon Diggs,BUF,118.9,89.2,102.1,1386.9,1148.8,1256.9,10.9,7.0,8.9,1.0,0.0,0.2,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5,204.0,157.9,178.2,draft,2022,WR
6,Mike Evans,TB,91.5,73.5,82.7,1267.7,1015.2,1138.9,11.0,8.0,10.1,1.0,0.0,0.2,7.0,0.0,1.4,0.0,0.0,0.0,0.0,1.0,0.5,185.4,148.5,173.8,draft,2022,WR
7,CeeDee Lamb,DAL,104.2,66.6,91.1,1415.0,957.1,1233.9,9.8,4.7,7.6,10.0,0.0,6.0,81.0,0.0,45.0,0.5,0.0,0.1,0.0,1.0,0.5,196.7,133.2,173.4,draft,2022,WR
8,Tyreek Hill,MIA,105.0,82.0,92.1,1232.0,1091.2,1149.4,10.0,7.0,8.0,11.0,4.5,8.8,79.0,29.4,62.1,1.0,0.0,0.3,0.0,1.0,0.5,176.4,158.2,170.3,draft,2022,WR
9,Tee Higgins,CIN,94.0,78.0,85.3,1334.0,1087.0,1195.2,9.0,7.0,7.8,1.0,0.0,0.2,4.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.5,180.2,150.7,165.6,draft,2022,WR
10,AJ Brown,PHI,85.6,69.0,77.6,1326.1,1054.0,1134.6,9.6,6.0,8.1,2.0,0.0,0.8,23.0,0.0,7.6,0.0,0.0,0.0,0.0,1.0,0.5,192.2,144.0,162.0,draft,2022,WR
11,Mike Williams,LAC,81.4,63.2,74.6,1207.0,955.2,1098.1,9.0,7.0,7.9,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.4,164.5,146.9,156.7,draft,2022,WR
12,Michael Pittman,IND,102.0,84.0,91.1,1261.0,1049.8,1126.7,8.0,5.5,6.6,5.0,0.0,3.7,45.0,0.0,29.1,0.2,0.0,0.0,0.0,1.0,0.6,163.1,141.2,154.6,draft,2022,WR
13,DJ Moore,CAR,99.0,77.8,87.0,1276.0,921.9,1146.7,6.1,5.0,5.6,9.6,0.0,5.6,70.0,0.0,37.7,0.3,0.0,0.1,0.0,1.0,0.6,161.3,127.9,151.4,draft,2022,WR
14,Brandin Cooks,HOU,97.0,85.1,92.7,1246.4,1030.3,1119.8,8.7,4.0,6.2,4.4,0.0,2.6,27.0,0.0,18.5,0.2,0.0,0.1,0.0,1.0,0.5,178.3,129.5,150.4,draft,2022,WR
15,Keenan Allen,LAC,114.0,89.1,99.6,1212.0,1009.4,1086.5,7.2,6.0,6.9,1.0,0.0,0.4,6.0,0.0,1.8,0.0,0.0,0.0,0.0,1.0,0.5,163.5,141.0,149.1,draft,2022,WR
16,Gabriel Davis,BUF,74.0,46.0,61.5,1123.0,829.0,960.9,10.0,6.7,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,165.9,133.1,148.5,draft,2022,WR
