,Player,Team,FG_MAX,FG_MIN,FG_MID,FGA_MAX,FGA_MIN,FGA_MID,XPT_MAX,XPT_MIN,XPT_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Evan McPherson,CIN,2.3,1.5,2.0,2.7,2.0,2.3,3.0,2.3,2.6,3.0,2.3,2.6,1,2022,K
1,Justin Tucker,BAL,2.3,1.5,1.9,2.6,2.0,2.2,3.0,2.2,2.6,3.0,2.2,2.6,1,2022,K
2,Brandon McManus,DEN,3.0,1.4,2.0,3.0,1.9,2.4,2.7,2.0,2.4,2.7,2.0,2.4,1,2022,K
3,Dustin Hopkins,LAC,2.3,1.5,1.8,2.8,1.8,2.2,3.2,2.1,2.8,3.2,2.1,2.8,1,2022,K
4,Harrison Butker,KC,2.4,1.0,1.7,2.9,1.0,1.9,4.0,2.2,3.0,4.0,2.2,3.0,1,2022,K
5,Jason Sanders,MIA,3.0,1.3,1.9,3.0,1.6,2.3,2.7,1.9,2.2,2.7,1.9,2.2,1,2022,K
6,Rodrigo Blankenship,IND,2.3,1.4,1.8,2.6,1.8,2.1,3.4,1.7,2.6,3.4,1.7,2.6,1,2022,K
7,Wil Lutz,NO,3.0,1.5,1.9,3.0,1.8,2.2,2.8,1.6,2.2,2.8,1.6,2.2,1,2022,K
8,Randy Bullock,TEN,2.2,1.6,1.8,2.6,1.9,2.1,3.0,2.3,2.5,3.0,2.3,2.5,1,2022,K
9,Brett Maher,DAL,2.1,1.6,1.8,2.6,1.9,2.1,3.1,2.0,2.5,3.1,2.0,2.5,1,2022,K
10,Nick Folk,NE,3.0,1.5,1.9,3.0,1.8,2.2,2.4,1.7,2.0,2.4,1.7,2.0,1,2022,K
11,Tyler Bass,BUF,2.4,1.3,1.8,2.7,1.9,2.2,3.0,2.3,2.5,3.0,2.3,2.5,1,2022,K
12,Daniel Carlson,LV,2.2,1.4,1.9,2.5,1.9,2.2,2.3,1.9,2.1,2.3,1.9,2.1,1,2022,K
13,Ryan Succop,TB,2.3,1.0,1.6,2.7,1.0,1.9,3.1,2.5,2.7,3.1,2.5,2.7,1,2022,K
14,Austin Seibert,DET,2.0,1.5,1.8,2.5,1.8,2.2,3.0,1.8,2.2,3.0,1.8,2.2,1,2022,K
15,Robbie Gould,SF,2.6,1.0,1.7,2.8,1.0,2.0,3.0,1.7,2.4,3.0,1.7,2.4,1,2022,K
16,Jake Elliott,PHI,2.3,1.0,1.7,2.7,1.0,2.0,4.0,0.2,2.6,4.0,0.2,2.6,1,2022,K
17,Mason Crosby,GB,2.1,1.4,1.7,2.4,1.8,2.0,2.8,2.0,2.4,2.8,2.0,2.4,1,2022,K
18,Matt Gay,LAR,2.2,1.0,1.7,2.6,1.0,1.9,3.0,1.8,2.4,3.0,1.8,2.4,1,2022,K
19,James McCourt,JAC,1.8,1.8,1.8,2.4,2.4,2.4,1.9,1.9,1.9,1.9,1.9,1.9,1,2022,K
20,Younghoe Koo,ATL,2.1,1.4,1.8,2.4,1.8,2.1,2.5,1.5,1.9,2.5,1.5,1.9,1,2022,K
21,Greg Joseph,MIN,2.2,1.0,1.7,2.5,1.0,1.9,3.0,1.8,2.2,3.0,1.8,2.2,1,2022,K
22,Joey Slye,WAS,2.1,1.0,1.6,2.5,1.0,1.9,3.0,1.8,2.3,3.0,1.8,2.3,1,2022,K
23,Matt Prater,ARI,2.1,1.0,1.5,2.5,1.0,1.8,3.0,2.2,2.6,3.0,2.2,2.6,1,2022,K
24,Chris Boswell,PIT,2.0,1.5,1.7,2.2,1.9,2.0,2.7,1.5,1.8,2.7,1.5,1.8,1,2022,K
25,Ka'imi Fairbairn,HOU,2.0,1.3,1.7,2.2,1.5,1.9,2.3,1.6,1.8,2.3,1.6,1.8,1,2022,K
26,Cade York,CLE,2.0,1.3,1.6,2.3,1.5,2.0,2.2,0.8,1.8,2.2,0.8,1.8,1,2022,K
27,Jason Myers,SEA,2.0,1.2,1.6,2.2,1.4,1.9,2.0,1.5,1.8,2.0,1.5,1.8,1,2022,K
28,Greg Zuerlein,NYJ,2.0,1.2,1.6,2.2,1.5,1.9,2.3,1.6,1.8,2.3,1.6,1.8,1,2022,K
29,Graham Gano,NYG,1.9,1.0,1.6,2.3,1.0,1.8,3.0,1.5,1.9,3.0,1.5,1.9,1,2022,K
30,Eddy Pineiro,CAR,2.0,1.0,1.5,2.4,1.0,1.8,3.0,1.5,1.9,3.0,1.5,1.9,1,2022,K
31,Cairo Santos,CHI,1.8,1.0,1.5,2.1,1.0,1.7,2.4,1.4,1.8,2.4,1.4,1.8,1,2022,K
32,Riley Patterson,JAC,1.6,1.0,1.3,1.9,1.0,1.5,2.2,0.9,1.7,2.2,0.9,1.7,1,2022,K
