,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Packers,4.6,3.0,3.5,1.3,0.7,1.1,0.7,0.4,0.6,0.9,0.6,0.8,0.2,0.1,0.2,0.1,0.0,0.0,19.0,15.5,16.9,277.0,311.2,294.5,12.6,6.7,9.2,2,2022,DST
1,49ers,4.7,2.9,3.6,1.1,0.5,0.7,0.8,0.4,0.6,1.1,0.7,0.9,0.2,0.1,0.1,0.1,0.1,0.1,18.7,15.3,16.6,286.0,332.7,308.1,11.2,5.8,8.3,2,2022,DST
2,Bills,3.4,2.5,2.9,1.2,0.8,0.9,0.8,0.5,0.6,1.1,0.7,0.9,0.2,0.1,0.2,0.1,0.0,0.0,19.6,18.1,18.9,294.0,339.7,321.3,9.2,5.8,8.2,2,2022,DST
3,Rams,4.1,2.5,3.1,1.1,0.6,0.8,0.9,0.5,0.7,1.3,0.8,1.0,0.2,0.1,0.2,0.1,0.0,0.0,18.7,15.6,17.3,281.0,327.9,307.3,9.8,6.1,8.1,2,2022,DST
4,Bengals,2.9,2.3,2.5,1.1,0.8,0.9,0.6,0.5,0.6,0.8,0.8,0.8,0.2,0.1,0.2,0.1,0.0,0.0,24.8,17.0,19.3,328.6,334.0,332.0,9.1,6.4,7.7,2,2022,DST
5,Broncos,2.9,2.3,2.6,1.2,0.8,0.9,0.6,0.4,0.5,0.9,0.9,0.9,0.2,0.1,0.2,0.1,0.1,0.1,19.5,17.1,18.0,259.0,333.0,304.6,8.3,6.3,7.6,2,2022,DST
6,Browns,4.0,2.1,2.8,1.0,0.7,0.8,0.6,0.5,0.6,0.8,0.7,0.7,0.2,0.1,0.2,0.1,0.0,0.0,18.0,16.0,16.7,254.0,332.7,302.3,9.1,6.0,7.5,2,2022,DST
7,Ravens,2.4,2.0,2.2,1.0,0.8,0.9,0.8,0.5,0.6,1.2,0.9,1.1,0.2,0.1,0.2,0.1,0.0,0.0,21.2,16.8,19.8,342.0,359.1,351.3,7.9,6.1,7.2,2,2022,DST
8,Colts,2.4,1.4,2.0,1.1,0.8,0.9,1.1,0.5,0.7,1.5,0.8,1.1,0.2,0.1,0.2,0.0,0.0,0.0,20.9,17.9,19.9,317.7,336.3,325.0,7.3,5.8,7.1,2,2022,DST
9,Buccaneers,2.7,2.4,2.6,1.5,0.6,1.1,0.8,0.5,0.6,1.1,0.8,0.9,0.2,0.1,0.2,0.0,0.0,0.0,21.8,20.1,20.9,283.0,342.8,320.9,9.5,6.4,7.0,2,2022,DST
10,Dolphins,3.6,2.3,2.9,1.0,0.7,0.9,0.8,0.4,0.6,1.1,1.0,1.0,0.2,0.1,0.2,0.0,0.0,0.0,24.4,22.6,23.5,342.3,362.1,350.1,8.2,6.1,7.0,2,2022,DST
