,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Jonathan Taylor,IND,26.0,20.6,22.8,130.0,87.9,108.0,1.3,0.8,1.0,4.0,2.0,2.7,27.0,17.0,21.2,0.1,0.0,0.1,0.1,0.2,0.1,19.9,16.5,18.9,2,2022,RB
1,Christian McCaffrey,CAR,21.0,12.6,17.3,93.0,57.5,75.0,1.0,0.3,0.6,6.0,4.0,5.2,53.1,32.0,43.6,0.3,0.0,0.2,0.0,0.2,0.1,18.9,12.2,16.6,2,2022,RB
2,Saquon Barkley,NYG,22.0,16.4,18.5,95.0,69.7,79.8,1.0,0.4,0.6,5.0,3.5,4.1,37.0,25.1,28.8,0.3,0.0,0.2,0.0,0.2,0.1,18.2,13.3,15.4,2,2022,RB
3,Austin Ekeler,LAC,17.0,12.1,13.7,78.0,53.6,60.4,1.0,0.4,0.6,6.0,4.0,4.9,58.0,35.0,44.3,0.3,0.0,0.2,0.0,0.2,0.1,15.5,13.8,15.2,2,2022,RB
4,Derrick Henry,TEN,23.8,20.0,21.9,116.3,78.6,96.5,1.0,0.6,0.7,2.3,1.3,1.8,17.0,8.5,13.7,0.1,0.0,0.0,0.1,0.3,0.1,17.5,12.6,15.2,2,2022,RB
5,Joe Mixon,CIN,20.5,17.5,19.3,90.0,72.6,80.4,1.0,0.5,0.7,4.0,2.6,3.3,31.3,18.0,24.5,0.2,0.0,0.1,0.1,0.2,0.1,18.0,13.9,14.9,2,2022,RB
6,Dalvin Cook,MIN,20.0,16.4,18.5,88.0,72.0,80.1,1.0,0.5,0.7,3.4,2.7,3.1,27.0,16.9,21.6,0.2,0.0,0.1,0.1,0.2,0.1,17.1,12.5,14.8,2,2022,RB
7,Javonte Williams,DEN,18.0,11.1,15.0,102.0,55.4,70.2,1.0,0.3,0.6,4.4,3.0,3.9,36.0,23.2,30.4,0.3,0.0,0.2,0.1,0.2,0.1,17.2,12.3,14.7,2,2022,RB
8,Nick Chubb,CLE,22.0,16.7,18.8,102.0,67.2,89.1,1.3,0.4,0.7,2.0,1.0,1.5,16.0,9.0,12.1,0.1,0.0,0.0,0.1,0.2,0.1,17.0,10.7,14.6,2,2022,RB
9,Antonio Gibson,WAS,18.0,13.9,16.3,73.0,58.5,68.6,1.0,0.5,0.7,4.0,2.3,3.1,33.0,17.7,24.9,0.3,0.0,0.1,0.1,0.2,0.1,15.6,11.6,14.0,2,2022,RB
