,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Cooper Kupp,LAR,9.1,7.1,8.0,125.0,83.9,103.2,1.1,0.8,0.9,0.6,0.2,0.3,3.5,1.0,1.9,0.0,0.0,0.0,0.0,0.1,0.1,19.2,13.0,15.9,2,2022,WR
1,Justin Jefferson,MIN,7.5,6.8,7.1,114.0,92.0,100.6,1.0,0.5,0.7,0.3,0.0,0.2,1.9,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.1,16.3,12.3,14.2,2,2022,WR
2,Davante Adams,LV,8.6,6.7,7.6,106.5,82.0,95.0,1.0,0.5,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,16.1,12.1,14.2,2,2022,WR
3,Deebo Samuel,SF,5.6,3.5,4.4,85.0,50.0,64.0,0.5,0.0,0.3,7.2,3.9,5.2,39.0,24.6,32.5,1.0,0.0,0.4,0.0,0.1,0.1,15.1,12.2,13.8,2,2022,WR
4,Ja'Marr Chase,CIN,8.0,5.0,5.9,112.0,75.6,89.7,1.0,0.5,0.6,1.0,0.3,0.7,8.0,1.0,4.1,0.0,0.0,0.0,0.0,0.1,0.1,15.7,11.2,13.1,2,2022,WR
5,Stefon Diggs,BUF,7.0,6.1,6.6,94.4,76.0,82.8,1.0,0.5,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,14.5,10.9,12.4,2,2022,WR
6,AJ Brown,PHI,7.0,5.0,5.5,92.0,69.6,80.7,1.0,0.4,0.7,0.1,0.0,0.1,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.1,15.2,9.8,12.0,2,2022,WR
7,Tyreek Hill,MIA,6.5,5.6,6.1,93.0,71.3,79.4,1.0,0.3,0.6,0.7,0.4,0.6,5.0,1.1,3.5,0.0,0.0,0.0,0.0,0.1,0.1,15.1,9.4,11.6,2,2022,WR
8,Mike Williams,LAC,7.0,4.3,5.3,93.0,65.3,76.0,1.0,0.3,0.5,1.9,0.0,0.4,11.0,0.0,1.9,0.0,0.0,0.0,0.0,0.1,0.0,14.9,8.3,11.0,2,2022,WR
9,Mike Evans,TB,4.7,4.7,4.7,63.8,63.8,63.8,0.6,0.6,0.6,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,2,2022,WR
10,Gabriel Davis,BUF,5.0,3.0,4.2,78.0,58.4,66.1,1.0,0.5,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,8.6,10.8,2,2022,WR
11,Courtland Sutton,DEN,7.0,3.5,4.7,85.0,48.6,68.9,1.0,0.3,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,6.7,10.3,2,2022,WR
12,DJ Moore,CAR,6.0,4.6,5.2,79.0,52.7,68.4,1.0,0.3,0.5,0.6,0.4,0.5,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.1,0.1,13.3,7.4,10.2,2,2022,WR
13,Brandin Cooks,HOU,6.3,5.5,5.9,79.0,66.6,72.1,1.0,0.2,0.5,0.2,0.1,0.2,1.3,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.1,13.6,8.2,10.1,2,2022,WR
14,Marquise Brown,ARI,6.3,4.9,5.6,75.0,58.3,68.1,1.0,0.3,0.5,0.1,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,14.2,7.8,10.0,2,2022,WR
15,Amon-Ra St,DET,7.0,5.2,6.1,83.0,54.6,65.7,1.0,0.4,0.5,0.8,0.1,0.3,4.8,0.0,2.0,0.1,0.0,0.0,0.0,0.1,0.1,14.3,8.2,10.0,2,2022,WR
16,CeeDee Lamb,DAL,6.0,3.8,5.1,80.0,52.7,67.5,1.0,0.3,0.5,0.7,0.0,0.4,4.5,0.0,2.4,0.0,0.0,0.0,0.0,0.1,0.1,12.7,7.3,9.6,2,2022,WR
17,Jerry Jeudy,DEN,4.9,3.5,4.1,80.1,54.0,64.5,1.0,0.3,0.5,0.3,0.0,0.1,1.7,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,12.8,7.4,9.6,2,2022,WR
18,Tee Higgins,CIN,5.0,3.8,4.5,81.0,55.0,64.4,1.0,0.3,0.5,0.1,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,11.5,8.2,9.6,2,2022,WR
19,Terry McLaurin,WAS,6.0,3.8,4.5,71.0,55.2,64.8,1.0,0.3,0.5,0.1,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,13.1,7.5,9.6,2,2022,WR
20,Jaylen Waddle,MIA,6.1,5.0,5.7,69.0,55.1,63.5,1.0,0.3,0.5,0.5,0.1,0.3,3.4,0.0,1.5,0.1,0.0,0.0,0.0,0.1,0.1,12.9,7.5,9.3,2,2022,WR
21,Diontae Johnson,PIT,6.5,5.0,5.7,69.2,50.0,63.1,1.0,0.3,0.5,0.3,0.2,0.3,2.9,0.4,1.6,0.0,0.0,0.0,0.0,0.1,0.1,12.3,8.2,9.2,2,2022,WR
22,Michael Thomas,NO,6.0,4.8,5.2,72.0,53.5,61.8,1.0,0.2,0.5,0.1,0.0,0.0,0.9,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,13.3,6.4,9.2,2,2022,WR
23,JuJu Smith-Schuster,KC,6.0,4.7,5.3,74.0,47.8,56.6,1.0,0.3,0.6,0.3,0.0,0.1,3.8,0.0,1.2,0.1,0.0,0.0,0.0,0.2,0.1,13.4,7.1,9.1,2,2022,WR
24,Christian Kirk,JAC,6.0,3.9,4.9,76.0,55.2,62.5,1.0,0.3,0.5,0.1,0.0,0.1,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,13.6,7.6,9.0,2,2022,WR
25,DK Metcalf,SEA,5.2,4.0,4.9,67.0,55.0,62.3,1.0,0.3,0.5,0.1,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,12.7,7.6,9.0,2,2022,WR
26,Allen Robinson,LAR,6.0,3.1,4.5,72.0,37.2,55.0,1.0,0.2,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,4.6,8.6,2,2022,WR
27,Rashod Bateman,BAL,5.0,3.5,4.2,74.0,44.0,57.1,1.0,0.2,0.5,0.1,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,13.4,5.6,8.5,2,2022,WR
28,Elijah Moore,NYJ,5.0,3.7,4.3,65.0,45.7,55.9,1.0,0.2,0.4,0.6,0.2,0.4,4.8,1.0,2.9,0.1,0.0,0.0,0.0,0.0,0.0,12.3,6.3,8.5,2,2022,WR
29,Adam Thielen,MIN,5.0,4.1,4.6,58.0,43.7,51.1,1.0,0.4,0.5,0.1,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11.8,6.7,8.3,2,2022,WR
30,Darnell Mooney,CHI,6.0,3.8,4.6,72.0,47.7,59.9,1.0,0.2,0.4,0.4,0.2,0.3,2.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,13.2,6.1,8.3,2,2022,WR
