,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Josh Allen,BUF,38.0,34.3,36.7,24.4,22.1,23.6,301.0,262.3,276.9,3.0,1.8,2.2,0.8,1.2,0.9,7.7,6.6,7.0,42.7,34.0,37.8,0.5,0.0,0.3,0.1,0.3,0.2,30.6,23.0,24.5,3,2022,QB
1,Jalen Hurts,PHI,36.0,31.0,32.4,22.0,19.5,20.5,271.0,233.4,246.9,2.0,1.3,1.6,0.0,0.8,0.6,10.0,9.4,9.7,56.8,48.2,53.1,1.0,0.4,0.6,0.1,0.3,0.2,32.7,20.8,24.5,3,2022,QB
2,Lamar Jackson,BAL,34.9,32.0,33.2,22.1,20.9,21.3,257.0,220.5,241.8,1.8,1.0,1.5,0.6,1.0,0.8,9.5,8.5,9.1,61.5,46.8,54.8,1.0,0.2,0.4,0.1,0.3,0.2,27.9,19.9,22.3,3,2022,QB
3,Patrick Mahomes,KC,40.0,37.7,38.7,27.2,25.0,26.0,335.6,274.4,303.2,2.4,2.0,2.2,0.6,1.0,0.7,4.3,3.0,3.6,21.5,13.0,16.7,0.2,0.0,0.1,0.1,0.3,0.2,25.3,21.1,22.0,3,2022,QB
4,Joe Burrow,CIN,37.0,31.0,33.9,25.2,21.0,23.3,301.0,251.7,281.0,2.1,1.8,1.9,0.5,1.0,0.8,4.3,3.0,3.7,19.3,9.0,15.7,0.2,0.0,0.1,0.1,0.4,0.2,23.1,18.1,19.9,3,2022,QB
5,Kirk Cousins,MIN,37.0,34.7,35.9,25.0,22.8,23.7,301.0,255.9,280.5,2.3,2.0,2.2,0.6,1.0,0.7,3.0,1.6,2.0,7.4,2.0,5.3,0.1,0.0,0.1,0.1,0.3,0.1,22.3,18.1,19.9,3,2022,QB
6,Matthew Stafford,LAR,37.0,33.0,35.6,25.8,23.0,24.4,300.9,270.2,283.9,2.2,1.9,2.1,0.0,1.1,0.8,2.1,1.0,1.7,8.2,1.0,4.9,0.1,0.0,0.1,0.1,0.2,0.2,22.1,17.9,19.4,3,2022,QB
7,Kyler Murray,ARI,38.0,30.0,34.5,25.0,20.0,22.9,258.1,234.0,247.0,1.6,1.0,1.4,0.6,1.1,0.9,7.1,5.7,6.4,37.0,25.3,32.7,0.4,0.0,0.2,0.0,0.3,0.2,19.9,17.1,19.0,3,2022,QB
8,Derek Carr,LV,38.0,32.0,35.8,26.0,21.0,24.1,302.0,269.1,283.2,2.0,1.6,1.8,0.7,1.0,0.9,2.5,1.0,1.9,9.8,3.5,6.4,0.1,0.0,0.1,0.0,0.3,0.2,22.3,17.0,18.3,3,2022,QB
9,Justin Herbert,LAC,39.0,27.1,34.3,26.0,18.2,22.8,276.0,189.0,249.8,2.2,1.3,1.8,0.6,1.0,0.8,3.4,2.5,3.0,15.0,8.0,11.7,0.2,0.0,0.1,0.0,0.2,0.1,23.3,13.2,17.9,3,2022,QB
