,Player,Position,Salary,DK_Points,DK_Value,Points Rank,Value Rank,FPTS,%Drafted,Real_Value
33,Chris Carson,RB,5700,18.88,301.90677966101686,5,1,25.1,52.84,227.09163346613545
34,Dalvin Cook,RB,6000,18.750000000000004,319.99999999999994,6,2,29.0,83.88,206.89655172413796
35,Nick Chubb,RB,6400,19.77,323.72281234193224,3,3,11.5,25.27,556.5217391304348
36,Kerryon Johnson,RB,5800,17.880000000000006,324.38478747203567,8,4,8.2,6.62,707.3170731707318
37,Matt Breida,RB,4000,12.2,327.86885245901635,18,5,3.7,1.76,1081.081081081081
38,Austin Ekeler,RB,5500,16.54,332.5272067714631,11,6,39.4,13.11,139.59390862944164
39,Leonard Fournette,RB,6100,17.380000000000006,350.9781357882623,9,7,12.4,48.61,491.9354838709677
40,Devonta Freeman,RB,5300,14.74,359.5658073270013,14,8,5.1,1.21,1039.2156862745098
41,Miles Sanders,RB,3900,10.590000000000002,368.27195467422086,21,9,3.7,0.17,1054.054054054054
42,Mark Ingram,RB,5100,13.81,369.29761042722663,16,10,25.7,4.54,198.44357976653697
43,Christian McCaffrey,RB,8800,23.090000000000003,381.11736682546547,1,11,45.9,30.75,191.7211328976035
44,Saquon Barkley,RB,9000,22.97,391.815411406182,2,12,20.9,8.82,430.62200956937795
45,Devin Singletary,RB,3600,9.02,399.11308203991126,27,13,14.8,0.16,243.24324324324326
46,Chris Thompson,RB,3500,8.530000000000001,410.31652989449,28,14,14.8,0.1,236.48648648648648
47,Joe Mixon,RB,6700,16.21,413.3251079580505,12,15,3.7,0.46,1810.8108108108108
48,Jordan Howard,RB,4200,10.11,415.43026706231456,22,16,7.5,0.41,560.0
49,David Johnson,RB,7700,18.38,418.9336235038085,7,17,25.7,1.39,299.61089494163417
50,Le'Veon Bell,RB,7100,16.860000000000007,421.1150652431791,10,18,23.2,3.45,306.0344827586207
51,Tevin Coleman,RB,5000,11.8,423.72881355932196,20,19,7.6,0.57,657.8947368421052
52,Justin Jackson,RB,4000,9.250000000000002,432.43243243243234,25,20,7.1,0.16,563.3802816901408
53,Derrick Henry,RB,5900,13.29,443.9428141459745,17,21,28.9,0.38,204.15224913494808
54,Damien Williams,RB,6300,14.06,448.0796586059744,15,22,18.5,0.36,340.5405405405405
55,Marlon Mack,RB,5600,12.01,466.278101582015,19,23,28.4,0.68,197.1830985915493
56,Ezekiel Elliott,RB,9200,19.56,470.34764826175865,4,24,13.3,1.13,691.7293233082705
57,Derrius Guice,RB,4400,9.21,477.74158523344187,26,25,6.8,0.87,647.0588235294118
58,Kenyan Drake,RB,4700,9.46,496.8287526427062,23,26,4.7,0.25,1000.0
59,Peyton Barber,RB,4000,8.05,496.89440993788816,30,27,6.5,0.07,615.3846153846154
60,Todd Gurley,RB,7900,15.869999999999996,497.7945809703845,13,28,11.1,1.67,711.7117117117117
61,Dion Lewis,RB,4700,9.43,498.4093319194062,24,29,4.3,0.1,1093.0232558139535
