,Player,Position,Salary,DK_Points,DK_Value,Points Rank,Value Rank,FPTS,%Drafted,Real_Value
225,Mark Andrews,TE,3000,9.4,319.14893617021283,9,1,27.8,1.06,107.9136690647482
226,Evan Engram,TE,4800,14.0,342.85714285714283,4,2,31.6,17.17,151.8987341772152
227,David Njoku,TE,3700,10.63,348.071495766698,6,3,13.7,0.58,270.07299270073
228,Vernon Davis,TE,2700,7.59,355.73122529644274,13,4,15.9,0.77,169.81132075471697
229,Will Dissly,TE,2900,8.15,355.82822085889575,12,5,2.2,0.21,1318.181818181818
230,Delanie Walker,TE,3500,9.590000000000002,364.96350364963496,8,6,22.5,1.43,155.55555555555554
231,Hunter Henry,TE,3900,10.35,376.8115942028985,7,7,10.0,36.67,390.0
232,O.J. Howard,TE,5000,12.85,389.10505836575874,5,8,6.2,2.04,806.4516129032257
233,Austin Hooper,TE,3200,8.170000000000002,391.6768665850672,11,9,16.7,0.49,191.6167664670659
234,Zach Ertz,TE,6100,15.22,400.7884362680683,3,10,10.4,2.71,586.5384615384615
235,Travis Kelce,TE,7100,17.04,416.66666666666674,1,11,11.8,18.34,601.6949152542372
236,Geoff Swaim,TE,2900,6.9300000000000015,418.47041847041845,15,12,5.7,0.04,508.77192982456137
237,George Kittle,TE,6600,15.740000000000002,419.3138500635324,2,13,13.4,17.98,492.53731343283584
238,T.J. Hockenson,TE,3100,6.8900000000000015,449.92743105950655,16,14,28.1,0.44,110.32028469750891
239,Tyler Eifert,TE,3100,6.84,453.2163742690059,17,15,7.7,0.27,402.59740259740266
240,Kyle Rudolph,TE,3300,7.1800000000000015,459.6100278551532,14,16,0.0,0.54,9999.0
241,Eric Ebron,TE,4100,8.850000000000003,463.276836158192,10,17,1.8,0.54,2277.777777777778
242,Greg Olsen,TE,3200,6.74,474.7774480712167,18,18,7.6,0.64,421.0526315789474
243,Dallas Goedert,TE,2900,6.0200000000000005,481.7275747508305,20,19,3.6,0.07,805.5555555555555
244,Jason Witten,TE,3000,5.8900000000000015,509.33786078098467,21,20,10.5,0.33,285.7142857142857
245,Charles Clay,TE,2700,5.290000000000001,510.39697542533065,23,21,0.0,0.0,9999.0
246,Jack Doyle,TE,3400,6.41,530.4212168486739,19,22,3.0,0.18,1133.3333333333333
247,Mike Gesicki,TE,3000,5.34,561.7977528089888,22,23,5.1,0.05,588.2352941176471
248,Cameron Brate,TE,2800,4.94,566.8016194331982,24,24,2.8,0.02,1000.0
249,Gerald Everett,TE,2900,4.8100000000000005,602.9106029106027,25,25,1.7,0.06,1705.8823529411764
250,Dawson Knox,TE,2500,4.08,612.7450980392158,28,26,0.0,0.0,9999.0
251,Nick Vannett,TE,2700,4.23,638.2978723404252,26,27,3.6,0.01,750.0
252,Ryan Griffin,TE,2700,4.18,645.933014354067,27,28,4.0,0.0,675.0
253,James O'Shaughnessy,TE,2500,3.8,657.8947368421052,29,29,0.0,0.0,9999.0
254,Jesse James,TE,2500,3.52,710.2272727272727,34,30,2.5,0.0,1000.0
255,Tyler Higbee,TE,2600,3.66,710.3825136612022,33,31,12.0,0.02,216.66666666666663
256,Blake Jarwin,TE,2700,3.8,710.5263157894735,30,32,12.9,0.03,209.3023255813953
257,Hayden Hurst,TE,2700,3.76,718.0851063829788,32,33,7.1,0.01,380.2816901408451
258,Drew Sample,TE,2500,3.48,718.3908045977013,36,34,0.0,0.0,9999.0
259,Ian Thomas,TE,2800,3.7900000000000014,738.7862796833772,31,35,0.0,0.01,9999.0
260,C.J. Uzomah,TE,2600,3.51,740.7407407407406,35,36,10.6,0.03,245.28301886792454
261,Nick O'Leary,TE,2500,3.2,781.25,38,37,0.0,0.0,9999.0
262,Jonnu Smith,TE,2700,3.3800000000000003,798.8165680473372,37,38,2.7,0.0,1000.0
263,Garrett Celek,TE,2500,3.1100000000000003,803.8585209003212,39,39,0.0,0.0,9999.0
264,Luke Stocker,TE,2500,3.07,814.3322475570031,40,40,0.0,0.0,9999.0
265,Maxx Williams,TE,2500,2.93,853.2423208191126,41,41,0.0,0.0,9999.0
266,Mo Alie-Cox,TE,2500,2.35,1063.8297872340424,42,42,0.0,0.0,9999.0
267,Rhett Ellison,TE,2500,2.35,1063.8297872340424,43,43,0.0,0.0,9999.0
268,Lee Smith,TE,2500,2.35,1063.8297872340424,44,44,0.0,0.0,9999.0
269,Demetrius Harris,TE,2500,2.3200000000000003,1077.5862068965516,45,45,0.0,0.0,9999.0
270,Virgil Green,TE,2500,2.32,1077.586206896552,46,46,0.0,0.0,9999.0
271,Jeremy Sprinkle,TE,2500,2.26,1106.1946902654865,47,47,0.0,0.0,9999.0
272,Trevon Wesco,TE,2500,2.18,1146.788990825688,48,48,0.0,0.0,9999.0
273,Jordan Leggett,TE,2500,1.94,1288.659793814433,49,49,0.0,0.0,9999.0
274,Nick Boyle,TE,2500,1.92,1302.0833333333335,50,50,5.6,0.0,446.4285714285714
275,Tommy Sweeney,TE,2500,1.9,1315.7894736842104,51,51,5.5,0.0,454.54545454545456
276,Kaden Smith,TE,2500,1.6700000000000002,1497.005988023952,53,52,0.0,0.0,9999.0
277,Tanner Hudson,TE,2500,1.66,1506.024096385542,54,53,0.0,0.0,9999.0
278,Ricky Seals-Jones,TE,2700,1.6800000000000002,1607.1428571428567,52,54,0.0,0.0,9999.0
279,Blake Bell,TE,2500,1.53,1633.9869281045749,55,55,0.0,0.0,9999.0
280,Deon Yelder,TE,2500,1.4300000000000002,1748.251748251748,56,56,0.0,0.0,9999.0
281,Jaeden Graham,TE,2500,1.4,1785.7142857142858,57,57,0.0,0.0,9999.0
