,Player,Position,Salary,DK_Points,DK_Value,Points Rank,Value Rank,FPTS,%Drafted,Real_Value
116,Dede Westbrook,WR,4800,14.090000000000002,340.6671398154719,14,1,14.2,67.94,338.0281690140845
117,Tyler Lockett,WR,6000,16.849999999999998,356.0830860534125,6,2,11.4,28.27,526.3157894736842
118,Tyler Boyd,WR,5800,16.25,356.9230769230768,7,3,14.3,20.72,405.5944055944056
119,Julio Jones,WR,8000,21.62,370.0277520814061,1,4,15.1,7.26,529.8013245033113
120,Curtis Samuel,WR,4200,10.91,384.967919340055,28,5,6.2,40.74,677.4193548387096
121,Adam Thielen,WR,6800,17.57,387.0233352305065,4,6,13.3,35.62,511.27819548872185
122,Albert Wilson,WR,3900,9.7,402.06185567010317,33,7,3.4,0.28,1147.0588235294115
123,Michael Gallup,WR,4300,10.65,403.7558685446009,29,8,25.8,0.87,166.66666666666666
124,Odell Beckham Jr.,WR,8100,20.059999999999995,403.7886340977069,2,9,14.1,4.46,574.468085106383
125,D.J. Moore,WR,5500,13.570000000000002,405.3058216654384,17,10,13.6,1.38,404.4117647058823
126,Cooper Kupp,WR,5700,13.97,408.01717967072295,15,11,11.6,2.41,491.3793103448277
127,Mike Evans,WR,7900,19.35,408.26873385012925,3,12,4.8,3.32,1645.8333333333335
128,Marvin Jones,WR,4800,11.68,410.95890410958907,24,13,10.0,3.14,480.0
129,Brandin Cooks,WR,6500,15.64,415.60102301790283,10,14,5.9,1.34,1101.6949152542372
130,Keenan Allen,WR,7300,17.52,416.66666666666674,5,15,29.3,3.42,249.14675767918092
131,Kenny Golladay,WR,6300,15.02,419.4407456724368,12,16,14.2,6.3,443.66197183098586
132,Zay Jones,WR,3700,8.82,419.5011337868481,38,17,3.8,0.18,973.6842105263157
133,Sterling Shepard,WR,5000,11.79,424.0882103477524,23,18,10.2,3.75,490.1960784313726
134,Marquise Goodwin,WR,4000,9.39,425.98509052183164,35,19,1.7,1.56,2352.9411764705883
135,Christian Kirk,WR,4700,11.000000000000002,427.2727272727272,27,20,10.4,0.87,451.92307692307685
136,Chris Godwin,WR,6200,14.46,428.7690179806362,13,21,14.3,50.13,433.56643356643366
137,Miles Boykin,WR,3000,6.98,429.79942693409737,51,22,7.5,0.01,400.0
138,Robby Anderson,WR,5200,12.04,431.8936877076412,22,23,5.3,0.1,981.1320754716983
139,Mike Williams,WR,5300,12.27,431.94784026079867,21,24,4.9,0.78,1081.6326530612243
140,Amari Cooper,WR,7000,16.04,436.4089775561097,9,25,25.6,1.14,273.4375
141,Dante Pettis,WR,5400,12.36,436.8932038834952,20,26,1.7,1.67,3176.470588235294
142,Larry Fitzgerald,WR,4900,11.18,438.28264758497323,26,27,28.3,1.1,173.14487632508838
143,Jamison Crowder,WR,4100,9.31,440.38668098818476,36,28,24.3,0.4,168.72427983539092
144,Stefon Diggs,WR,6700,15.14,442.53632760898284,11,29,5.7,0.42,1175.438596491228
145,Cole Beasley,WR,3600,8.11,443.8964241676943,41,30,9.0,1.67,400.0
146,Devante Parker,WR,3900,8.77,444.69783352337515,40,31,10.5,0.23,371.4285714285714
147,John Brown,WR,4300,9.66,445.1345755693582,34,32,28.3,0.7,151.9434628975265
148,Danny Amendola,WR,3600,8.08,445.5445544554456,42,33,26.4,0.23,136.36363636363637
149,Alshon Jeffery,WR,5900,13.08,451.0703363914373,18,34,22.1,1.16,266.9683257918552
150,Robert Woods,WR,6400,13.95,458.78136200716835,16,35,16.6,1.49,385.5421686746988
151,Corey Davis,WR,4900,10.4,471.15384615384613,31,36,0.0,0.22,9999.0
152,Tyreek Hill,WR,7600,16.08,472.6368159203981,8,37,4.1,1.91,1853.658536585366
153,Trey Quinn,WR,3400,7.030000000000001,483.64153627311515,49,38,13.3,0.33,255.63909774436092
154,Paul Richardson,WR,3900,8.0,487.5,43,39,7.6,0.01,513.1578947368421
155,Calvin Ridley,WR,5100,10.43,488.9741131351868,30,40,16.4,1.17,310.97560975609764
156,DeSean Jackson,WR,4500,9.16,491.26637554585153,37,41,38.4,1.67,117.1875
157,Quincy Enunwa,WR,3800,7.73,491.59120310478653,46,42,-0.4,0.07,9999.0
158,Sammy Watkins,WR,5000,10.13,493.5834155972359,32,43,49.8,0.8,100.40160642570282
159,Breshad Perriman,WR,3300,6.6400000000000015,496.98795180722885,53,44,3.0,0.03,1100.0
160,Jarvis Landry,WR,5600,11.26,497.3357015985791,25,45,11.7,1.68,478.6324786324786
161,Chris Conley,WR,3100,6.210000000000001,499.19484702093393,57,46,21.7,0.07,142.85714285714286
162,Willie Snead,WR,4000,7.9,506.3291139240506,44,47,12.1,0.23,330.57851239669424
163,Adam Humphries,WR,4000,7.83,510.85568326947634,45,48,1.5,0.3,2666.6666666666665
